t_ur, ur1, ur2, ur3
0.000000, -13.895567, -4.485315, 160.755844
0.020000, -14.917266, -0.908010, 160.244736
0.040000, -11.340232, -0.397064, -0.208014
0.060000, -10.829386, -1.929754, 1.324404
0.080000, -10.828903, -2.441250, -0.208837
0.100000, -10.318610, -1.418833, -0.208471
0.120000, -11.851123, -1.929632, 0.302308
0.140000, -10.318291, -1.929842, 0.302287
0.160000, -10.828937, -0.908078, -0.719563
0.180000, -11.339732, -0.907666, 0.301606
0.200000, -11.851195, -2.440832, -0.208906
0.220000, -10.318628, -2.440325, -0.720005
0.240000, -10.828973, -1.418550, -0.208648
0.260000, -10.318053, -1.418461, -0.209012
0.280000, -10.318254, 0.114171, 0.302491
0.300000, -11.340329, -1.418952, -0.719937
0.320000, -10.828632, -0.908455, 0.813306
0.340000, -10.318033, -1.418723, 0.302065
0.360000, -10.829453, -0.395828, 0.301558
0.380000, -9.807235, -1.418976, 2.345988
0.400000, -11.340261, -3.973449, -0.209106
0.420000, -10.829569, -0.907987, 1.324697
0.440000, -10.829525, -1.419813, 1.324135
0.460000, -10.318242, -2.441394, -0.209281
0.480000, -12.361936, -0.908078, 0.301969
0.500000, -9.807368, -0.907847, -0.208842
0.520000, -11.339707, -1.419150, 1.324456
0.540000, -10.828887, -1.930190, -0.209087
0.560000, -10.829113, -1.929967, 0.812677
0.580000, -10.828773, -0.908135, 1.834317
0.600000, -11.850732, -1.418143, 0.301888
0.620000, -10.828888, -1.419000, 1.323627
0.640000, -11.850690, -1.419255, 0.812570
0.660000, -11.850832, -1.418526, 0.813053
0.680000, -10.829158, -1.929927, 2.346472
0.700000, -10.318279, 2.158751, 0.302526
0.720000, -10.828949, -1.930209, -0.208492
0.740000, -9.807556, -1.930519, 1.324033
0.760000, -10.828829, -1.930002, 0.302520
0.780000, -10.318009, -1.418764, 1.324484
0.800000, -10.318122, -1.419526, 2.346113
0.820000, -10.318533, 0.114473, 0.813175
0.840000, -10.828739, -1.418605, 0.301995
0.860000, -10.829043, -1.418973, 0.813019
0.880000, -11.851247, -0.908147, -0.719733
