t_tm, tm1, tm2, tm3
0.000000, -4.099493, -3.828095, 4.882506
0.020000, -4.098489, -3.859751, 4.901265
0.040000, -4.126350, -3.865302, 4.921927
0.060000, -4.053105, -3.890180, 4.891850
0.080000, -4.088873, -3.865787, 4.899032
0.100000, -4.102676, -3.884614, 4.919112
0.120000, -4.129777, -3.884977, 4.936073
0.140000, -4.091423, -3.882754, 4.911034
0.160000, -4.103690, -3.861341, 4.905410
0.180000, -4.122812, -3.857514, 4.914950
0.200000, -4.054403, -3.911009, 4.905438
0.220000, -4.115673, -3.897748, 4.935225
0.240000, -4.114268, -3.841481, 4.899836
0.260000, -4.106732, -3.877173, 4.916976
0.280000, -4.135415, -3.835550, 4.909278
0.300000, -4.072583, -3.888191, 4.902691
0.320000, -4.117098, -3.849874, 4.906733
0.340000, -4.150609, -3.844465, 4.924119
0.360000, -4.117113, -3.853238, 4.908820
0.380000, -4.106756, -3.889459, 4.924509
0.400000, -4.111103, -3.845136, 4.900096
0.420000, -4.136766, -3.851738, 4.919981
0.440000, -4.090495, -3.873805, 4.904904
0.460000, -4.112789, -3.865191, 4.913397
0.480000, -4.097846, -3.916444, 4.935616
0.500000, 4.210506, 3.818744, -4.945395
0.520000, -4.142974, -3.885798, 4.944783
0.540000, -4.124042, -3.863168, 4.919155
0.560000, -4.046202, -3.902894, 4.895391
0.580000, -4.127179, -3.842397, 4.908323
0.600000, -4.116865, -3.834803, 4.897348
0.620000, -4.114373, -3.856449, 4.909018
0.640000, -4.094581, -3.881017, 4.911877
0.660000, -4.050298, -3.896451, 4.893973
0.680000, -4.162145, -3.848779, 4.933862
0.700000, -4.090445, -3.912722, 4.928734
0.720000, -4.150702, -3.848833, 4.926832
0.740000, -4.109928, -3.883783, 4.923125
0.760000, -4.103474, -3.868575, 4.909771
0.780000, -4.156839, -3.846671, 4.929265
0.800000, -4.115787, -3.889317, 4.930081
0.820000, -4.116166, -3.844504, 4.902862
0.840000, -4.105269, -3.849064, 4.898920
0.860000, -4.098592, -3.874417, 4.910312
0.880000, -4.129812, -3.818738, 4.895460
0.900000, -4.148471, -3.843495, 4.922225
0.920000, -4.132365, -3.854159, 4.918779
0.940000, -4.143312, -3.831770, 4.911846
0.960000, -4.050198, -3.916311, 4.906065
0.980000, -4.097901, -3.891719, 4.920477
1.000000, -4.103679, -3.883395, 4.918901
1.020000, -4.085959, -3.921655, 4.931459
1.040000, 4.150814, 3.856125, -4.931381
1.060000, -4.120580, -3.870984, 4.921806
1.080000, -4.086186, -3.903025, 4.920178
1.100000, -4.106927, -3.863326, 4.908726
1.120000, -4.092013, -3.902357, 4.923371
1.140000, -4.066838, -3.865848, 4.885395
1.159999, -4.078111, -3.895900, 4.910815
1.179999, -4.090282, -3.862458, 4.897877
1.199999, -4.109745, -3.847225, 4.900537
1.219999, -4.130713, -3.858670, 4.920583
1.239999, -4.121677, -3.853483, 4.911777
1.259999, -4.092259, -3.898319, 4.921072
1.279999, -4.093118, -3.886889, 4.914348
1.299999, -4.094085, -3.887757, 4.915749
1.319999, -4.095170, -3.886914, 4.915939
1.339999, -4.095088, -3.885967, 4.915286
1.359999, -4.095494, -3.885193, 4.915002
1.379999, -4.095487, -3.885823, 4.915444
1.399999, -4.095368, -3.885311, 4.915071
1.419999, -4.095690, -3.884314, 4.914584
1.439999, -4.095714, -3.884515, 4.914782
1.459999, -4.095501, -3.884764, 4.914721
1.479999, -4.094937, -3.883869, 4.913547
1.499999, -4.095460, -3.884109, 4.914377
1.519999, -4.095672, -3.883562, 4.914172
1.539999, -4.094758, -3.883910, 4.913761
1.559999, -4.094334, -3.883745, 4.913411
1.579999, -4.094582, -3.883698, 4.913544
1.599999, -4.094753, -3.883260, 4.913381
1.619999, -4.094779, -3.883171, 4.913305
1.639999, -4.094130, -3.882975, 4.912783
1.659999, -4.094297, -3.882489, 4.912604
1.679999, -4.094007, -3.882861, 4.912676
1.699999, -4.093497, -3.882956, 4.912395
1.719999, -4.093901, -3.882188, 4.912137
1.739999, -4.094131, -3.881480, 4.911844
1.759999, -4.095053, -3.881229, 4.912358
1.779999, -4.094864, -3.880312, 4.911619
1.799999, -4.096093, -3.878711, 4.911361
1.819999, -4.096466, -3.879088, 4.911919
1.839999, -4.096081, -3.879726, 4.912036
1.859999, -4.097276, -3.878261, 4.911840
1.879999, -4.098671, -3.877240, 4.912114
1.899999, -4.099094, -3.876370, 4.911879
1.919999, -4.099601, -3.874717, 4.911082
1.939999, -4.099975, -3.874787, 4.911453
1.959999, -4.100406, -3.874462, 4.911424
1.979999, -4.008991, -3.847011, 4.838160
1.999999, -3.919239, -3.819786, 4.765955
2.019999, -3.831359, -3.792652, 4.694931
2.039999, -3.744584, -3.767112, 4.625686
2.059999, -3.659120, -3.741220, 4.556870
2.079999, -3.576068, -3.715652, 4.489804
2.099999, -3.495159, -3.690677, 4.424511
2.119999, -3.415199, -3.665873, 4.359848
2.139999, -3.336468, -3.641577, 4.296236
2.159999, -3.259706, -3.618724, 4.234772
2.179999, -3.184006, -3.596473, 4.174310
2.199999, -3.109660, -3.574448, 4.114779
2.219999, -3.038015, -3.552422, 4.056986
2.239999, -2.967523, -3.531374, 4.000469
2.259999, -2.897864, -3.510348, 3.944509
2.279999, -2.830406, -3.489633, 3.890087
2.299999, -2.763550, -3.469320, 3.836305
2.319999, -2.697601, -3.449422, 3.783295
2.339998, -2.634125, -3.430212, 3.732267
2.359998, -2.571220, -3.410511, 3.681297
2.379998, -2.509919, -3.391895, 3.631968
2.399998, -2.449413, -3.373872, 3.583437
2.419998, -2.391285, -3.355765, 3.536384
2.439998, -2.334352, -3.338226, 3.490493
2.459998, -2.279155, -3.320630, 3.445575
2.479998, -2.223629, -3.303768, 3.400887
2.499998, -2.170053, -3.287163, 3.357518
2.519998, -2.116315, -3.271301, 3.314579
2.539998, -2.063264, -3.256321, 3.272561
2.559998, -2.011582, -3.241335, 3.231422
2.579998, -1.961021, -3.226064, 3.190812
2.599998, -1.912320, -3.210634, 3.151193
2.619998, -1.863964, -3.196024, 3.112319
2.639998, -1.817115, -3.181996, 3.074812
2.659998, -1.771041, -3.167969, 3.037671
2.679998, -1.725021, -3.154302, 3.000805
2.699998, -1.681793, -3.140234, 2.965573
2.719998, -1.638330, -3.125850, 2.929744
2.739998, -1.596847, -3.113139, 2.896400
2.759998, -1.555175, -3.101161, 2.863208
2.779998, -1.513348, -3.088235, 2.829360
2.799998, -1.473593, -3.076218, 2.797436
2.819998, -1.434003, -3.063232, 2.764919
2.839998, -1.395819, -3.051517, 2.734180
2.859998, -1.357157, -3.041080, 2.703915
2.879998, -1.319895, -3.029298, 2.673661
2.899998, -1.283998, -3.017970, 2.644513
2.919998, -1.248377, -3.007808, 2.616200
2.939998, -1.213638, -2.997856, 2.588613
2.959998, -1.179455, -2.986960, 2.560805
2.979998, -1.146190, -2.976696, 2.533961
2.999998, -1.113029, -2.967245, 2.507620
3.019998, -1.080962, -2.957720, 2.481999
3.039998, -1.049303, -2.948264, 2.456582
3.059998, -1.018104, -2.939264, 2.431800
3.079998, -0.988886, -2.929253, 2.407697
3.099998, -0.958088, -2.919705, 2.382644
3.119998, -0.929411, -2.910642, 2.359389
3.139998, -0.900991, -2.901777, 2.336375
3.159998, -0.706868, -2.739308, 2.116704
3.179998, -0.681665, -2.734589, 2.098184
3.199998, -0.657468, -2.729314, 2.079977
3.219998, -0.636246, -2.724211, 2.063769
3.239998, -0.613159, -2.719888, 2.046876
3.259998, -0.590667, -2.714995, 2.029868
3.279998, -0.569647, -2.710380, 2.014037
3.299998, -0.549834, -2.705289, 1.998722
3.319998, -0.529396, -2.700673, 1.983252
3.339998, -0.508269, -2.696259, 1.967418
3.359998, -0.488352, -2.692582, 1.952891
3.379997, -0.468225, -2.688810, 1.938145
3.399997, -0.447525, -2.684513, 1.922648
3.419997, -0.428878, -2.680588, 1.908783
3.439997, -0.409970, -2.676817, 1.894725
3.459997, -0.392045, -2.674085, 1.882061
3.479997, -0.373653, -2.669087, 1.867427
3.499997, -0.357572, -2.664668, 1.854906
3.519997, -0.340300, -2.661590, 1.842336
3.539997, -0.323911, -2.657519, 1.829690
3.559997, -0.141883, -2.499891, 1.620526
3.579997, -0.128225, -2.499803, 1.611933
3.599997, -0.115521, -2.499162, 1.603668
3.619997, -0.103743, -2.497998, 1.595693
3.639997, -0.092534, -2.496973, 1.588193
3.659997, -0.080189, -2.496400, 1.580161
3.679997, -0.068826, -2.495386, 1.572534
3.699997, -0.056448, -2.495462, 1.564864
3.719997, -0.044526, -2.495853, 1.557730
3.739997, -0.033248, -2.495306, 1.550434
3.759997, -0.023528, -2.494707, 1.544063
3.779997, 0.152459, -2.340080, 1.340453
3.799997, 0.158643, -2.343349, 1.338707
3.819997, 0.165696, -2.346516, 1.336250
3.839997, 0.171932, -2.349093, 1.333898
3.859997, 0.178118, -2.351185, 1.331355
3.879997, 0.184348, -2.353595, 1.328979
3.899997, 0.190701, -2.355118, 1.325998
3.919997, 0.197140, -2.358370, 1.324032
3.939997, 0.202701, -2.359933, 1.321551
3.959997, 0.202155, -2.355141, 1.318951
3.979997, 0.206126, -2.353194, 1.315256
3.999997, 0.373112, -2.199284, 1.117660
4.019997, 0.371118, -2.200608, 1.119667
4.039997, 0.376157, -2.208313, 1.121275
4.059997, 0.379534, -2.215573, 1.123652
4.079997, 0.545381, -2.064651, 0.928608
4.099997, 0.544715, -2.074018, 0.934763
4.119997, 0.545273, -2.083852, 0.940395
4.139997, 0.541959, -2.089902, 0.946168
4.159997, 0.541782, -2.098331, 0.951446
4.179997, 0.540791, -2.105404, 0.956469
4.199997, 0.540790, -2.112742, 0.960834
4.219997, 0.539268, -2.119966, 0.966242
4.239997, 0.537943, -2.127388, 0.971650
4.259997, 0.537212, -2.133999, 0.976103
4.279997, 0.537074, -2.141587, 0.980878
4.299997, 0.537600, -2.149295, 0.985240
4.319997, 0.537421, -2.157677, 0.990551
4.339997, 0.536403, -2.163397, 0.994581
4.359997, 0.535181, -2.170999, 1.000105
4.379997, 0.534944, -2.177903, 1.004461
4.399997, 0.700444, -2.030419, 0.811678
4.419997, 0.695846, -2.038424, 0.819430
4.439997, 0.691036, -2.047335, 0.827868
4.459997, 0.852919, -1.901497, 0.638333
4.479997, 0.845420, -1.913570, 0.650409
4.499997, 0.837818, -1.923667, 0.661265
4.519997, 0.832060, -1.935378, 0.671960
4.539997, 0.825260, -1.946379, 0.682933
4.559997, 0.819228, -1.957625, 0.693581
4.579997, 0.812087, -1.968629, 0.704745
4.599997, 0.806135, -1.977701, 0.713942
4.619997, 0.799903, -1.989215, 0.724925
4.639997, 0.793400, -1.999080, 0.734949
4.659997, 0.787477, -2.007982, 0.744056
4.679996, 0.781036, -2.017164, 0.753669
4.699996, 0.775803, -2.027055, 0.763030
4.719996, 0.769325, -2.035365, 0.772206
4.739996, 0.764037, -2.044446, 0.781007
4.759996, 0.759574, -2.052604, 0.788663
4.779996, 0.754010, -2.060649, 0.797060
4.799996, 0.747479, -2.070699, 0.807680
4.819996, 0.743001, -2.078131, 0.814647
4.839996, 0.738321, -2.086740, 0.822759
4.859996, 0.733891, -2.095190, 0.830740
4.879996, 0.729303, -2.102904, 0.838247
4.899996, 0.723968, -2.111437, 0.846861
4.919996, 0.719897, -2.118855, 0.853867
4.939996, 0.716051, -2.126503, 0.860972
4.959996, 0.711599, -2.133274, 0.867825
4.979996, 0.872729, -1.985518, 0.677593
4.999996, 0.865226, -1.995767, 0.688481
5.019996, 0.857893, -2.006225, 0.699465
5.039996, 0.850855, -2.017054, 0.710502
5.059996, 0.844087, -2.026662, 0.720571
5.079996, 0.837855, -2.035674, 0.729913
5.099996, 0.831375, -2.044696, 0.739467
5.119996, 0.825703, -2.052592, 0.747756
5.139996, 0.985851, -1.908581, 0.560421
5.159996, 1.141272, -1.765397, 0.376486
5.179996, 1.127804, -1.780664, 0.394251
5.199996, 1.115329, -1.794644, 0.410440
5.219996, 1.104037, -1.809260, 0.426423
5.239996, 1.257237, -1.668090, 0.245150
5.259996, 1.240399, -1.682772, 0.264571
5.279996, 1.226506, -1.698782, 0.282905
5.299996, 1.213124, -1.715599, 0.301567
5.319996, 1.200195, -1.731570, 0.319350
5.339996, 1.186156, -1.746432, 0.337160
5.359996, 1.172011, -1.759187, 0.353630
5.379996, 1.325906, -1.623161, 0.175102
5.399996, 1.307869, -1.638435, 0.195728
5.419996, 1.289861, -1.653398, 0.215993
5.439996, 1.274130, -1.670112, 0.235971
5.459996, 1.260460, -1.687932, 0.255299
5.479996, 1.245437, -1.702973, 0.273804
5.499996, 1.229192, -1.718208, 0.293260
5.519996, 1.214952, -1.733909, 0.311694
5.539996, 1.199197, -1.748063, 0.330139
5.559996, 1.185791, -1.762501, 0.347237
5.579996, 1.172315, -1.778103, 0.365174
5.599996, 1.158153, -1.790345, 0.381364
5.619996, 1.312268, -1.651547, 0.200986
5.639996, 1.296004, -1.667118, 0.220592
5.659996, 1.279784, -1.683801, 0.240852
5.679996, 1.263899, -1.700943, 0.261163
5.699996, 1.248954, -1.717845, 0.280815
5.719995, 1.233926, -1.732621, 0.299109
5.739995, 1.218314, -1.746992, 0.317590
5.759995, 1.204138, -1.762381, 0.335816
5.779995, 1.188170, -1.774522, 0.353121
5.799995, 1.174462, -1.784455, 0.367620
5.819995, 1.159614, -1.796500, 0.384234
5.839995, 1.145628, -1.808477, 0.400227
5.859995, 1.133202, -1.823880, 0.417431
5.879995, 1.122595, -1.842221, 0.435199
5.899995, 1.112691, -1.855699, 0.449588
5.919995, 1.100134, -1.862885, 0.461760
5.939995, 1.250113, -1.703043, 0.271023
5.959995, 1.226881, -1.622957, 0.236340
5.979995, 1.210418, -1.528495, 0.188579
5.999995, 1.383843, -1.298791, -0.059549
6.019995, 1.396726, -1.262455, -0.089753
6.039995, 1.403603, -1.236638, -0.109910
6.059995, 1.391288, -1.201924, -0.123610
6.079995, 1.359922, -1.152932, -0.134249
6.099995, 1.310789, -1.088264, -0.143583
6.119995, 1.263337, -1.016045, -0.158413
6.139995, 1.233762, -0.944034, -0.184282
6.159995, 1.227697, -0.898854, -0.208250
6.179995, 1.236414, -0.875469, -0.227916
6.199995, 1.230297, -0.844268, -0.243320
6.219995, 1.190926, -0.813651, -0.237717
6.239995, 1.156465, -0.800330, -0.224591
6.259995, 1.136409, -0.785893, -0.221061
6.279995, 1.126112, -0.764627, -0.227643
6.299995, 1.126785, -0.746270, -0.239310
6.319995, 1.123213, -0.735014, -0.244000
6.339995, 1.109476, -0.720206, -0.244646
