t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, 467.000000, -4057.000000, -3736.000000, -64.000000, 135.000000, 27.000000, 0.020000, 443.000000, -4318.000000, -13024.000000, -265.000000, 206.000000, -15.000000, 0.020000, -15538.000000, -31.000000, -3260.000000, -56.000000, 166.000000, 95.000000, 0.020000, -15611.000000, 436.000000, -3585.000000, 26.000000, 70.000000, -85.000000, 0.020000, -4039.000000, -15795.000000, 939.000000, -82.000000, 87.000000, 185.000000, 0.020000, -3905.000000, -15724.000000, 2485.000000, 22.000000, 101.000000, 119.000000
0.040000, 498.000000, -4056.000000, -3747.000000, -68.000000, 131.000000, 14.000000, 0.040000, 427.000000, -4358.000000, -12954.000000, -268.000000, 211.000000, -7.000000, 0.040000, -15535.000000, -25.000000, -3260.000000, -38.000000, 164.000000, 86.000000, 0.040000, -15608.000000, 429.000000, -3566.000000, 25.000000, 82.000000, -101.000000, 0.040000, -4040.000000, -15773.000000, 975.000000, -77.000000, 84.000000, 183.000000, 0.040000, -3909.000000, -15747.000000, 2429.000000, 20.000000, 106.000000, 120.000000
0.060000, 472.000000, -4026.000000, -3727.000000, -64.000000, 139.000000, 18.000000, 0.060000, 443.000000, -4359.000000, -12965.000000, -265.000000, 204.000000, -3.000000, 0.060000, -15548.000000, -3.000000, -3266.000000, -48.000000, 168.000000, 91.000000, 0.060000, -15594.000000, 474.000000, -3583.000000, 25.000000, 71.000000, -99.000000, 0.060000, -4074.000000, -15808.000000, 962.000000, -74.000000, 80.000000, 200.000000, 0.060000, -3902.000000, -15720.000000, 2456.000000, 29.000000, 101.000000, 115.000000
0.080000, 485.000000, -4051.000000, -3731.000000, -67.000000, 147.000000, 13.000000, 0.080000, 435.000000, -4357.000000, -12971.000000, -260.000000, 210.000000, -23.000000, 0.080000, -15548.000000, -21.000000, -3252.000000, -45.000000, 172.000000, 92.000000, 0.080000, -15607.000000, 466.000000, -3581.000000, 24.000000, 70.000000, -102.000000, 0.080000, -4069.000000, -15786.000000, 933.000000, -71.000000, 91.000000, 182.000000, 0.080000, -3880.000000, -15720.000000, 2459.000000, 24.000000, 99.000000, 111.000000
0.100000, 466.000000, -4037.000000, -3745.000000, -72.000000, 132.000000, 22.000000, 0.100000, 426.000000, -4366.000000, -12995.000000, -259.000000, 210.000000, -5.000000, 0.100000, -15543.000000, -17.000000, -3244.000000, -48.000000, 179.000000, 97.000000, 0.100000, -15623.000000, 472.000000, -3595.000000, 24.000000, 58.000000, -93.000000, 0.100000, -4074.000000, -15769.000000, 937.000000, -75.000000, 75.000000, 184.000000, 0.100000, -3920.000000, -15745.000000, 2413.000000, 40.000000, 97.000000, 105.000000
0.120000, 451.000000, -4034.000000, -3743.000000, -68.000000, 140.000000, 18.000000, 0.120000, 425.000000, -4339.000000, -12994.000000, -259.000000, 211.000000, -11.000000, 0.120000, -15545.000000, 21.000000, -3309.000000, -52.000000, 170.000000, 94.000000, 0.120000, -15603.000000, 457.000000, -3551.000000, 17.000000, 60.000000, -93.000000, 0.120000, -4076.000000, -15760.000000, 934.000000, -87.000000, 81.000000, 191.000000, 0.120000, -3894.000000, -15708.000000, 2456.000000, 19.000000, 104.000000, 108.000000
0.140000, 449.000000, -4042.000000, -3718.000000, -63.000000, 145.000000, 17.000000, 0.140000, 424.000000, -4346.000000, -12994.000000, -260.000000, 207.000000, -18.000000, 0.140000, -15542.000000, -23.000000, -3287.000000, -48.000000, 167.000000, 84.000000, 0.140000, -15617.000000, 433.000000, -3556.000000, 10.000000, 64.000000, -95.000000, 0.140000, -4046.000000, -15789.000000, 949.000000, -83.000000, 85.000000, 182.000000, 0.140000, -3895.000000, -15728.000000, 2399.000000, 28.000000, 93.000000, 105.000000
0.160000, 485.000000, -4027.000000, -3759.000000, -75.000000, 136.000000, 24.000000, 0.160000, 426.000000, -4358.000000, -12993.000000, -260.000000, 217.000000, -17.000000, 0.160000, -15552.000000, -23.000000, -3247.000000, -50.000000, 182.000000, 82.000000, 0.160000, -15605.000000, 456.000000, -3576.000000, 21.000000, 60.000000, -90.000000, 0.160000, -4051.000000, -15774.000000, 948.000000, -77.000000, 83.000000, 183.000000, 0.160000, -3913.000000, -15739.000000, 2431.000000, 23.000000, 103.000000, 108.000000
0.180000, 472.000000, -4033.000000, -3741.000000, -70.000000, 144.000000, 25.000000, 0.180000, 435.000000, -4360.000000, -12978.000000, -269.000000, 204.000000, -10.000000, 0.180000, -15551.000000, -31.000000, -3246.000000, -55.000000, 172.000000, 82.000000, 0.180000, -15597.000000, 436.000000, -3592.000000, 25.000000, 78.000000, -93.000000, 0.180000, -4067.000000, -15760.000000, 973.000000, -77.000000, 86.000000, 188.000000, 0.180000, -3934.000000, -15752.000000, 2428.000000, 24.000000, 101.000000, 114.000000
0.200000, 459.000000, -4036.000000, -3752.000000, -71.000000, 137.000000, 28.000000, 0.200000, 432.000000, -4335.000000, -12973.000000, -261.000000, 215.000000, -7.000000, 0.200000, -15586.000000, 11.000000, -3268.000000, -52.000000, 165.000000, 85.000000, 0.200000, -15600.000000, 450.000000, -3587.000000, 7.000000, 62.000000, -96.000000, 0.200000, -4059.000000, -15787.000000, 926.000000, -84.000000, 81.000000, 185.000000, 0.200000, -3905.000000, -15729.000000, 2434.000000, 25.000000, 104.000000, 108.000000
