t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, -3822.000000, -15599.000000, 12742.000000, -32.000000, 132.000000, -2.000000
0.020000, -3805.000000, -15600.000000, 12722.000000, -44.000000, 136.000000, -10.000000
0.040000, -3801.000000, -15615.000000, 12764.000000, -39.000000, 132.000000, 1.000000
0.060000, -3809.000000, -15620.000000, 12729.000000, -43.000000, 132.000000, 2.000000
0.080000, -3830.000000, -15607.000000, 12737.000000, -36.000000, 117.000000, 4.000000
0.100000, -3807.000000, -15592.000000, 12735.000000, -54.000000, 127.000000, 7.000000
0.120000, -3839.000000, -15611.000000, 12741.000000, -40.000000, 123.000000, 3.000000
0.140000, -3813.000000, -15589.000000, 12742.000000, -50.000000, 132.000000, 6.000000
0.160000, -3829.000000, -15605.000000, 12732.000000, -50.000000, 137.000000, 5.000000
0.180000, -3805.000000, -15626.000000, 12749.000000, -43.000000, 133.000000, -4.000000
0.200000, -3828.000000, -15618.000000, 12744.000000, -34.000000, 124.000000, 0.000000
0.220000, -3801.000000, -15613.000000, 12751.000000, -34.000000, 134.000000, 13.000000
0.240000, -3807.000000, -15599.000000, 12718.000000, -41.000000, 133.000000, 15.000000
0.260000, -3812.000000, -15628.000000, 12751.000000, -41.000000, 139.000000, 7.000000
0.280000, -3818.000000, -15589.000000, 12754.000000, -57.000000, 128.000000, 12.000000
0.300000, -3826.000000, -15609.000000, 12738.000000, -47.000000, 136.000000, 8.000000
0.320000, -3809.000000, -15599.000000, 12742.000000, -46.000000, 126.000000, 3.000000
0.340000, -3807.000000, -15605.000000, 12781.000000, -50.000000, 133.000000, 4.000000
0.360000, -3829.000000, -15626.000000, 12732.000000, -57.000000, 134.000000, 9.000000
0.380000, -3811.000000, -15615.000000, 12735.000000, -45.000000, 131.000000, -5.000000
0.400000, -3826.000000, -15585.000000, 12762.000000, -51.000000, 144.000000, 13.000000
0.420000, -3833.000000, -15621.000000, 12736.000000, -42.000000, 138.000000, 11.000000
0.440000, -3828.000000, -15621.000000, 12753.000000, -40.000000, 132.000000, 3.000000
0.460000, -3811.000000, -15613.000000, 12744.000000, -43.000000, 127.000000, 13.000000
0.480000, -3835.000000, -15596.000000, 12747.000000, -40.000000, 140.000000, 12.000000
0.500000, -3806.000000, -15602.000000, 12727.000000, -39.000000, 126.000000, 4.000000
0.520000, -3807.000000, -15594.000000, 12738.000000, -48.000000, 129.000000, 15.000000
0.540000, -3837.000000, -15609.000000, 12703.000000, -32.000000, 128.000000, 11.000000
0.560000, -3836.000000, -15602.000000, 12736.000000, -35.000000, 129.000000, 4.000000
0.580000, -3795.000000, -15619.000000, 12758.000000, -34.000000, 137.000000, 7.000000
0.600000, -3828.000000, -15623.000000, 12733.000000, -39.000000, 128.000000, 12.000000
0.620000, -3823.000000, -15625.000000, 12736.000000, -43.000000, 141.000000, 8.000000
0.640000, -3805.000000, -15601.000000, 12746.000000, -48.000000, 131.000000, 7.000000
0.660000, -3811.000000, -15615.000000, 12725.000000, -39.000000, 132.000000, 11.000000
0.680000, -3812.000000, -15590.000000, 12719.000000, -47.000000, 123.000000, 0.000000
0.700000, -3813.000000, -15596.000000, 12735.000000, -38.000000, 125.000000, 2.000000
0.720000, -3808.000000, -15601.000000, 12725.000000, -43.000000, 131.000000, 8.000000
0.740000, -3827.000000, -15598.000000, 12733.000000, -46.000000, 138.000000, 7.000000
0.760000, -3806.000000, -15607.000000, 12786.000000, -45.000000, 132.000000, 9.000000
0.780000, -3808.000000, -15575.000000, 12748.000000, -37.000000, 127.000000, 1.000000
0.800000, -3826.000000, -15590.000000, 12742.000000, -50.000000, 136.000000, 6.000000
0.820000, -3804.000000, -15593.000000, 12753.000000, -37.000000, 132.000000, 9.000000
0.840000, -3824.000000, -15592.000000, 12723.000000, -47.000000, 136.000000, 11.000000
0.860000, -3826.000000, -15610.000000, 12730.000000, -45.000000, 129.000000, -1.000000
0.880000, -3799.000000, -15618.000000, 12745.000000, -49.000000, 134.000000, 4.000000
0.900000, -3827.000000, -15605.000000, 12756.000000, -33.000000, 135.000000, 15.000000
0.920000, -3821.000000, -15633.000000, 12727.000000, -53.000000, 135.000000, 1.000000
0.940000, -3813.000000, -15624.000000, 12747.000000, -38.000000, 132.000000, 8.000000
0.960000, -3822.000000, -15591.000000, 12745.000000, -53.000000, 129.000000, 15.000000
0.980000, -3805.000000, -15607.000000, 12752.000000, -29.000000, 130.000000, 6.000000
1.000000, -3813.000000, -15602.000000, 12746.000000, -43.000000, 137.000000, 16.000000
1.020000, -3824.000000, -15602.000000, 12772.000000, -45.000000, 129.000000, 4.000000
1.040000, -3813.000000, -15607.000000, 12751.000000, -40.000000, 128.000000, 1.000000
1.060000, -3815.000000, -15611.000000, 12722.000000, -40.000000, 134.000000, 5.000000
1.080000, -3823.000000, -15615.000000, 12729.000000, -35.000000, 138.000000, 14.000000
1.100000, -3814.000000, -15622.000000, 12742.000000, -57.000000, 130.000000, 0.000000
1.120000, -3831.000000, -15601.000000, 12747.000000, -48.000000, 134.000000, 3.000000
1.140000, -3845.000000, -15610.000000, 12749.000000, -41.000000, 136.000000, 17.000000
1.159999, -3833.000000, -15610.000000, 12724.000000, -43.000000, 118.000000, -3.000000
1.179999, -3808.000000, -15587.000000, 12730.000000, -32.000000, 131.000000, 6.000000
1.199999, -3834.000000, -15612.000000, 12664.000000, -36.000000, 141.000000, 14.000000
1.219999, -3820.000000, -15636.000000, 12797.000000, -53.000000, 126.000000, 9.000000
1.239999, -3831.000000, -15618.000000, 12749.000000, -50.000000, 135.000000, 7.000000
1.259999, -3814.000000, -15584.000000, 12709.000000, -48.000000, 136.000000, -4.000000
1.279999, -3824.000000, -15597.000000, 12733.000000, -45.000000, 124.000000, 6.000000
1.299999, -3809.000000, -15590.000000, 12771.000000, -44.000000, 132.000000, 15.000000
1.319999, -3838.000000, -15601.000000, 12724.000000, -46.000000, 129.000000, 9.000000
1.339999, -3826.000000, -15592.000000, 12750.000000, -37.000000, 132.000000, 12.000000
1.359999, -3809.000000, -15594.000000, 12712.000000, -49.000000, 130.000000, 5.000000
1.379999, -3800.000000, -15593.000000, 12736.000000, -46.000000, 123.000000, 25.000000
