t, ur1, ur2, ur3
0.000000, 0.408914, 1.131071, -0.722922
0.020000, 0.920266, 0.620639, -0.722501
0.040000, 0.919600, 0.620928, -0.211514
0.060000, 0.919778, 0.620462, 0.809948
0.080000, 0.919845, 0.109287, -0.211315
0.100000, 0.408692, 0.620462, -0.212003
0.120000, 0.409158, 0.109531, 0.299516
0.140000, 0.408625, 0.620395, -0.212091
0.160000, 0.408803, 0.621105, -0.211603
0.180000, 0.408781, 0.109686, -0.722412
0.200000, 0.408670, 0.620661, -0.211137
0.220000, 0.408470, 0.620750, -0.722767
0.240000, 0.408936, 0.620661, 0.810081
0.260000, 0.408869, 0.109664, -0.722567
0.280000, 0.408536, 0.109997, 0.299294
0.300000, 0.919356, 0.620972, 0.299095
0.320000, 0.919623, 0.109575, -0.211625
0.340000, 0.919689, 0.620905, -0.722256
0.360000, 0.408448, 0.109020, -0.211426
0.380000, 0.409247, 0.109575, -0.211514
0.400000, 0.920155, 0.620395, -1.233687
0.420000, 0.408647, 1.132447, -0.211248
0.440000, 0.919134, 0.109176, -0.722434
0.460000, 0.920066, 0.109930, -0.211492
0.480000, 0.408248, 0.620550, 0.298606
0.500000, 0.408936, 0.109797, -0.211470
0.520000, 0.408603, 0.109708, 0.300404
0.540000, 0.408980, -0.401212, 0.299161
0.560000, 0.408958, 0.620417, -0.722723
0.580000, 0.408448, 0.109331, -0.722367
0.600000, 0.919933, 0.109442, -0.211381
0.620000, 0.408936, 0.109398, -0.211892
0.640000, 0.919889, 1.131448, -1.233154
0.660000, 0.408581, 0.109553, -0.722390
0.680000, 0.919334, 0.620195, -0.723277
0.700000, 0.408270, 0.109375, 0.810370
0.720000, 0.919933, 0.109398, -1.233709
0.740000, 0.408692, 0.620794, 0.809926
0.760000, 0.408714, 0.109087, -0.211914
0.780000, 0.919489, 0.620772, -0.212180
0.800000, 0.408758, 0.620217, -0.211470
0.820000, 0.408536, 0.620661, 0.299184
0.840000, 0.408625, 0.620417, -1.233753
0.860000, 0.919512, 0.109619, 0.299383
0.880000, -0.101962, 0.620328, -0.211647
0.900000, 0.409424, 0.620106, -1.744429
0.920000, 0.919645, 0.109109, 0.299428
0.940000, 0.408470, 0.620972, -0.722589
0.960000, 0.408847, 0.621016, -0.722256
0.980000, 0.407937, -0.401322, -0.722456
1.000000, 0.408514, 0.620528, -0.722634
1.020000, 0.408625, 0.109797, -0.721901
1.040000, 0.408226, 1.131093, -0.722745
1.060000, 0.408714, 0.620861, 0.299605
1.080000, 0.408825, 0.109886, -0.722501
1.100000, 0.408425, 0.620550, -0.211670
1.120000, 0.408625, 1.131736, -0.211692
1.140000, 0.919845, 0.109508, -0.722922
1.159999, 0.408559, 0.621549, -0.212114
1.179999, 0.920000, 1.642567, -0.722456
1.199999, 0.919711, 0.108643, -0.211692
1.219999, 0.919578, -0.400967, -0.211514
1.239999, 0.408581, 0.109442, -0.211581
1.259999, 0.919334, 1.131603, 0.810192
1.279999, 0.409047, 4.197588, -0.722944
1.299999, 0.408847, 0.620772, 0.299250
1.319999, 0.920089, 0.109819, -0.211958
1.339999, 0.408670, 0.620728, -0.211670
1.359999, 0.408692, 0.109619, 0.299605
1.379999, 0.408758, 0.109864, -0.722589
1.399999, 0.408758, 0.620550, -0.211958
1.419999, 0.919845, 0.109131, -0.212047
1.439999, 0.919334, 0.620661, -0.722856
1.459999, 0.408292, 0.109797, -2.255371
1.479999, 0.920111, 0.110019, -0.211536
