t, adc1, adc2, adc3
0.000000, 2238.000000, 2208.000000, 2226.000000
0.020000, 2235.000000, 2219.000000, 2222.000000
0.040000, 2037.000000, 2045.000000, 2037.000000
0.060000, 2035.000000, 2049.000000, 2039.000000
0.080000, 2040.000000, 2066.000000, 2019.000000
0.100000, 2016.000000, 2023.000000, 2016.000000
0.120000, 1979.000000, 1945.000000, 1940.000000
0.140000, 1958.000000, 1959.000000, 1961.000000
0.160000, 1950.000000, 1932.000000, 1957.000000
0.180000, 1965.000000, 1902.000000, 1921.000000
0.200000, 1907.000000, 1872.000000, 1900.000000
0.220000, 1872.000000, 1877.000000, 1918.000000
0.240000, 1867.000000, 1897.000000, 1924.000000
0.260000, 1883.000000, 1903.000000, 1920.000000
0.280000, 1890.000000, 1911.000000, 1919.000000
0.300000, 1894.000000, 1913.000000, 1920.000000
0.320000, 1896.000000, 1905.000000, 1907.000000
0.340000, 1884.000000, 1918.000000, 1890.000000
0.360000, 1914.000000, 1919.000000, 1885.000000
0.380000, 1869.000000, 1869.000000, 1838.000000
0.400000, 1877.000000, 1873.000000, 1825.000000
0.420000, 1887.000000, 1838.000000, 1813.000000
0.440000, 1874.000000, 1857.000000, 1811.000000
0.460000, 1861.000000, 1831.000000, 1820.000000
0.480000, 1773.000000, 1773.000000, 1792.000000
0.500000, 1744.000000, 1746.000000, 1792.000000
0.520000, 1733.000000, 1754.000000, 1775.000000
0.540000, 1735.000000, 1741.000000, 1791.000000
0.560000, 1733.000000, 1725.000000, 1763.000000
0.580000, 1710.000000, 1728.000000, 1750.000000
0.600000, 1734.000000, 1733.000000, 1746.000000
0.620000, 1721.000000, 1718.000000, 1729.000000
0.640000, 1742.000000, 1763.000000, 1702.000000
0.660000, 1715.000000, 1741.000000, 1698.000000
0.680000, 1733.000000, 1743.000000, 1695.000000
0.700000, 1731.000000, 1704.000000, 1674.000000
0.720000, 1687.000000, 1639.000000, 1668.000000
0.740000, 1645.000000, 1640.000000, 1667.000000
0.760000, 1626.000000, 1639.000000, 1661.000000
0.780000, 1644.000000, 1641.000000, 1665.000000
0.800000, 1654.000000, 1641.000000, 1660.000000
0.820000, 1636.000000, 1638.000000, 1653.000000
0.840000, 1654.000000, 1659.000000, 1662.000000
0.860000, 1669.000000, 1667.000000, 1663.000000
0.880000, 1687.000000, 1674.000000, 1674.000000
0.900000, 1672.000000, 1686.000000, 1675.000000
0.920000, 1681.000000, 1691.000000, 1674.000000
0.940000, 1686.000000, 1701.000000, 1669.000000
0.960000, 1692.000000, 1699.000000, 1673.000000
0.980000, 1689.000000, 1685.000000, 1675.000000
1.000000, 1679.000000, 1675.000000, 1673.000000
1.020000, 1663.000000, 1651.000000, 1672.000000
1.040000, 1649.000000, 1659.000000, 1669.000000
1.060000, 1651.000000, 1657.000000, 1669.000000
1.080000, 1654.000000, 1649.000000, 1675.000000
1.100000, 1665.000000, 1648.000000, 1663.000000
1.120000, 1642.000000, 1662.000000, 1664.000000
1.140000, 1661.000000, 1653.000000, 1656.000000
1.159999, 1665.000000, 1655.000000, 1661.000000
1.179999, 1675.000000, 1663.000000, 1675.000000
1.199999, 1671.000000, 1672.000000, 1665.000000
1.219999, 1662.000000, 1665.000000, 1666.000000
1.239999, 1681.000000, 1664.000000, 1667.000000
1.259999, 1677.000000, 1657.000000, 1672.000000
1.279999, 1674.000000, 1668.000000, 1670.000000
1.299999, 1679.000000, 1680.000000, 1671.000000
1.319999, 1665.000000, 1675.000000, 1669.000000
1.339999, 1670.000000, 1679.000000, 1669.000000
1.359999, 1671.000000, 1685.000000, 1675.000000
1.379999, 1673.000000, 1673.000000, 1670.000000
1.399999, 1663.000000, 1657.000000, 1662.000000
1.419999, 1660.000000, 1654.000000, 1666.000000
1.439999, 1658.000000, 1657.000000, 1670.000000
1.459999, 1658.000000, 1653.000000, 1650.000000
1.479999, 1676.000000, 1659.000000, 1674.000000
1.499999, 1667.000000, 1653.000000, 1677.000000
1.519999, 1674.000000, 1654.000000, 1666.000000
1.539999, 1674.000000, 1659.000000, 1671.000000
1.559999, 1665.000000, 1669.000000, 1667.000000
1.579999, 1665.000000, 1667.000000, 1661.000000
1.599999, 1661.000000, 1675.000000, 1671.000000
1.619999, 1676.000000, 1671.000000, 1680.000000
1.639999, 1674.000000, 1664.000000, 1672.000000
1.659999, 1668.000000, 1669.000000, 1667.000000
1.679999, 1662.000000, 1656.000000, 1669.000000
1.699999, 1664.000000, 1655.000000, 1681.000000
1.719999, 1672.000000, 1666.000000, 1665.000000
1.739999, 1674.000000, 1649.000000, 1676.000000
1.759999, 1672.000000, 1656.000000, 1661.000000
1.779999, 1661.000000, 1670.000000, 1666.000000
1.799999, 1674.000000, 1665.000000, 1668.000000
1.819999, 1667.000000, 1652.000000, 1676.000000
1.839999, 1669.000000, 1653.000000, 1673.000000
1.859999, 1674.000000, 1661.000000, 1660.000000
1.879999, 1654.000000, 1667.000000, 1669.000000
1.899999, 1667.000000, 1665.000000, 1677.000000
1.919999, 1667.000000, 1673.000000, 1673.000000
1.939999, 1674.000000, 1665.000000, 1663.000000
1.959999, 1665.000000, 1668.000000, 1671.000000
1.979999, 1666.000000, 1664.000000, 1677.000000
1.999999, 1669.000000, 1670.000000, 1676.000000
2.019999, 1667.000000, 1662.000000, 1669.000000
2.039999, 1675.000000, 1666.000000, 1669.000000
2.059999, 1676.000000, 1667.000000, 1668.000000
2.079999, 1655.000000, 1658.000000, 1671.000000
2.099999, 1665.000000, 1661.000000, 1674.000000
2.119999, 1671.000000, 1657.000000, 1670.000000
2.139999, 1670.000000, 1660.000000, 1667.000000
2.159999, 1675.000000, 1670.000000, 1674.000000
2.179999, 1660.000000, 1673.000000, 1677.000000
2.199999, 1673.000000, 1656.000000, 1670.000000
2.219999, 1669.000000, 1653.000000, 1669.000000
2.239999, 1673.000000, 1658.000000, 1669.000000
2.259999, 1682.000000, 1660.000000, 1662.000000
2.279999, 1679.000000, 1662.000000, 1668.000000
2.299999, 1667.000000, 1661.000000, 1678.000000
2.319999, 1662.000000, 1668.000000, 1674.000000
2.339998, 1665.000000, 1661.000000, 1657.000000
2.359998, 1661.000000, 1661.000000, 1668.000000
2.379998, 1675.000000, 1663.000000, 1664.000000
2.399998, 1676.000000, 1676.000000, 1669.000000
2.419998, 1661.000000, 1669.000000, 1670.000000
2.439998, 1653.000000, 1670.000000, 1672.000000
2.459998, 1669.000000, 1676.000000, 1661.000000
2.479998, 1667.000000, 1669.000000, 1665.000000
2.499998, 1672.000000, 1662.000000, 1662.000000
2.519998, 1676.000000, 1664.000000, 1672.000000
2.539998, 1661.000000, 1659.000000, 1678.000000
2.559998, 1651.000000, 1660.000000, 1668.000000
2.579998, 1670.000000, 1658.000000, 1665.000000
2.599998, 1673.000000, 1663.000000, 1667.000000
2.619998, 1674.000000, 1667.000000, 1666.000000
2.639998, 1663.000000, 1681.000000, 1671.000000
2.659998, 1660.000000, 1667.000000, 1673.000000
2.679998, 1676.000000, 1660.000000, 1670.000000
2.699998, 1666.000000, 1660.000000, 1668.000000
2.719998, 1678.000000, 1674.000000, 1667.000000
2.739998, 1665.000000, 1659.000000, 1687.000000
2.759998, 1653.000000, 1666.000000, 1673.000000
2.779998, 1664.000000, 1676.000000, 1661.000000
2.799998, 1665.000000, 1686.000000, 1668.000000
2.819998, 1680.000000, 1671.000000, 1668.000000
2.839998, 1648.000000, 1664.000000, 1678.000000
2.859998, 1658.000000, 1657.000000, 1663.000000
2.879998, 1663.000000, 1664.000000, 1664.000000
2.899998, 1666.000000, 1669.000000, 1674.000000
2.919998, 1672.000000, 1663.000000, 1667.000000
2.939998, 1679.000000, 1666.000000, 1657.000000
2.959998, 1652.000000, 1656.000000, 1666.000000
2.979998, 1664.000000, 1661.000000, 1673.000000
2.999998, 1677.000000, 1665.000000, 1665.000000
3.019998, 1675.000000, 1653.000000, 1660.000000
3.039998, 1673.000000, 1664.000000, 1663.000000
3.059998, 1659.000000, 1672.000000, 1660.000000
3.079998, 1674.000000, 1653.000000, 1670.000000
3.099998, 1671.000000, 1660.000000, 1662.000000
3.119998, 1675.000000, 1673.000000, 1666.000000
3.139998, 1682.000000, 1664.000000, 1675.000000
3.159998, 1649.000000, 1658.000000, 1672.000000
3.179998, 1660.000000, 1671.000000, 1667.000000
