t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, 308.000000, 310.000000, -4057.000000, -80.000000, 141.000000, 16.000000, 0.020000, 307.000000, -37.000000, -13514.000000, -249.000000, 196.000000, -14.000000, 0.020000, -16173.000000, -104.000000, 981.000000, -43.000000, 177.000000, 91.000000, 0.020000, -16152.000000, 259.000000, 853.000000, 12.000000, 48.000000, -78.000000, 0.020000, 309.000000, -16391.000000, 819.000000, -105.000000, 97.000000, 197.000000, 0.020000, 448.000000, -16299.000000, 2320.000000, 26.000000, 116.000000, 116.000000
0.040000, 356.000000, 327.000000, -3968.000000, -60.000000, 133.000000, 30.000000, 0.040000, 286.000000, -46.000000, -13579.000000, -259.000000, 202.000000, -29.000000, 0.040000, -16173.000000, -114.000000, 1061.000000, -53.000000, 169.000000, 90.000000, 0.040000, -16187.000000, 289.000000, 907.000000, 27.000000, 64.000000, -105.000000, 0.040000, 323.000000, -16384.000000, 850.000000, -87.000000, 92.000000, 176.000000, 0.040000, 461.000000, -16329.000000, 2345.000000, 29.000000, 109.000000, 117.000000
0.060000, 345.000000, 251.000000, -4004.000000, -72.000000, 119.000000, 33.000000, 0.060000, 320.000000, 0.000000, -13554.000000, -259.000000, 198.000000, -21.000000, 0.060000, -16168.000000, -157.000000, 1027.000000, -52.000000, 176.000000, 83.000000, 0.060000, -16173.000000, 300.000000, 776.000000, 13.000000, 89.000000, -101.000000, 0.060000, 273.000000, -16396.000000, 866.000000, -81.000000, 79.000000, 185.000000, 0.060000, 453.000000, -16320.000000, 2277.000000, 14.000000, 105.000000, 113.000000
0.080000, 344.000000, 321.000000, -4061.000000, -77.000000, 116.000000, 43.000000, 0.080000, 309.000000, -82.000000, -13525.000000, -269.000000, 202.000000, -23.000000, 0.080000, -16105.000000, -125.000000, 1027.000000, -38.000000, 169.000000, 86.000000, 0.080000, -16126.000000, 278.000000, 850.000000, 30.000000, 70.000000, -125.000000, 0.080000, 245.000000, -16396.000000, 858.000000, -97.000000, 59.000000, 205.000000, 0.080000, 459.000000, -16306.000000, 2316.000000, 9.000000, 116.000000, 125.000000
0.100000, 314.000000, 303.000000, -4020.000000, -96.000000, 130.000000, 37.000000, 0.100000, 336.000000, -27.000000, -13478.000000, -247.000000, 195.000000, -11.000000, 0.100000, -16182.000000, -132.000000, 1043.000000, -42.000000, 173.000000, 86.000000, 0.100000, -16202.000000, 276.000000, 809.000000, 23.000000, 64.000000, -92.000000, 0.100000, 307.000000, -16411.000000, 878.000000, -94.000000, 58.000000, 209.000000, 0.100000, 426.000000, -16315.000000, 2260.000000, 15.000000, 109.000000, 124.000000
0.120000, 317.000000, 310.000000, -4033.000000, -71.000000, 129.000000, 15.000000, 0.120000, 252.000000, -23.000000, -13526.000000, -251.000000, 209.000000, -32.000000, 0.120000, -16132.000000, -157.000000, 1102.000000, -61.000000, 165.000000, 85.000000, 0.120000, -16128.000000, 307.000000, 798.000000, 21.000000, 74.000000, -111.000000, 0.120000, 297.000000, -16378.000000, 926.000000, -73.000000, 70.000000, 185.000000, 0.120000, 433.000000, -16300.000000, 2363.000000, 33.000000, 96.000000, 102.000000
0.140000, 330.000000, 289.000000, -4050.000000, -71.000000, 132.000000, 30.000000, 0.140000, 298.000000, -18.000000, -13569.000000, -256.000000, 204.000000, -23.000000, 0.140000, -16204.000000, -180.000000, 912.000000, -53.000000, 181.000000, 102.000000, 0.140000, -16156.000000, 356.000000, 788.000000, 24.000000, 77.000000, -124.000000, 0.140000, 266.000000, -16412.000000, 878.000000, -94.000000, 76.000000, 186.000000, 0.140000, 423.000000, -16322.000000, 2271.000000, 24.000000, 103.000000, 98.000000
0.160000, 324.000000, 268.000000, -4043.000000, -106.000000, 131.000000, 30.000000, 0.160000, 330.000000, -88.000000, -13498.000000, -249.000000, 221.000000, -24.000000, 0.160000, -16172.000000, -143.000000, 1050.000000, -39.000000, 178.000000, 105.000000, 0.160000, -16169.000000, 301.000000, 888.000000, 11.000000, 67.000000, -121.000000, 0.160000, 322.000000, -16363.000000, 883.000000, -98.000000, 76.000000, 176.000000, 0.160000, 423.000000, -16295.000000, 2344.000000, 10.000000, 139.000000, 130.000000
0.180000, 342.000000, 306.000000, -4022.000000, -81.000000, 120.000000, 43.000000, 0.180000, 363.000000, -58.000000, -13514.000000, -267.000000, 199.000000, -8.000000, 0.180000, -16124.000000, -101.000000, 1033.000000, -45.000000, 188.000000, 90.000000, 0.180000, -16129.000000, 310.000000, 824.000000, 24.000000, 73.000000, -109.000000, 0.180000, 277.000000, -16390.000000, 838.000000, -91.000000, 96.000000, 181.000000, 0.180000, 403.000000, -16327.000000, 2316.000000, 14.000000, 117.000000, 83.000000
0.200000, 312.000000, 314.000000, -4002.000000, -82.000000, 123.000000, 29.000000, 0.200000, 335.000000, -42.000000, -13524.000000, -266.000000, 201.000000, -17.000000, 0.200000, -16192.000000, -98.000000, 1001.000000, -58.000000, 157.000000, 115.000000, 0.200000, -16132.000000, 276.000000, 818.000000, 25.000000, 77.000000, -101.000000, 0.200000, 318.000000, -16393.000000, 862.000000, -84.000000, 86.000000, 185.000000, 0.200000, 477.000000, -16333.000000, 2329.000000, 19.000000, 82.000000, 103.000000
0.220000, 327.000000, 303.000000, -4086.000000, -70.000000, 128.000000, 30.000000, 0.220000, 316.000000, -15.000000, -13551.000000, -248.000000, 190.000000, -25.000000, 0.220000, -16159.000000, -59.000000, 1016.000000, -37.000000, 164.000000, 98.000000, 0.220000, -16185.000000, 291.000000, 776.000000, 18.000000, 69.000000, -98.000000, 0.220000, 315.000000, -16385.000000, 835.000000, -88.000000, 95.000000, 197.000000, 0.220000, 467.000000, -16308.000000, 2379.000000, 34.000000, 97.000000, 127.000000
0.240000, 334.000000, 264.000000, -3997.000000, -70.000000, 118.000000, 33.000000, 0.240000, 277.000000, -17.000000, -13520.000000, -261.000000, 206.000000, 3.000000, 0.240000, -16147.000000, -159.000000, 1059.000000, -38.000000, 170.000000, 96.000000, 0.240000, -16146.000000, 324.000000, 762.000000, 26.000000, 70.000000, -98.000000, 0.240000, 348.000000, -16440.000000, 809.000000, -93.000000, 70.000000, 187.000000, 0.240000, 474.000000, -16304.000000, 2349.000000, 23.000000, 101.000000, 119.000000
0.260000, 388.000000, 288.000000, -4073.000000, -84.000000, 135.000000, 31.000000, 0.260000, 371.000000, -30.000000, -13520.000000, -252.000000, 196.000000, -14.000000, 0.260000, -16194.000000, -82.000000, 973.000000, -49.000000, 177.000000, 77.000000, 0.260000, -16123.000000, 314.000000, 891.000000, 23.000000, 73.000000, -100.000000, 0.260000, 296.000000, -16391.000000, 869.000000, -99.000000, 76.000000, 170.000000, 0.260000, 448.000000, -16302.000000, 2305.000000, 23.000000, 117.000000, 106.000000
0.280000, 367.000000, 316.000000, -4021.000000, -88.000000, 127.000000, 25.000000, 0.280000, 365.000000, -35.000000, -13518.000000, -256.000000, 203.000000, -9.000000, 0.280000, -16097.000000, -153.000000, 1084.000000, -55.000000, 183.000000, 108.000000, 0.280000, -16168.000000, 347.000000, 826.000000, 15.000000, 78.000000, -98.000000, 0.280000, 275.000000, -16387.000000, 807.000000, -92.000000, 65.000000, 189.000000, 0.280000, 418.000000, -16358.000000, 2348.000000, 21.000000, 121.000000, 135.000000
0.300000, 306.000000, 318.000000, -4063.000000, -49.000000, 128.000000, 21.000000, 0.300000, 347.000000, -79.000000, -13571.000000, -250.000000, 195.000000, -8.000000, 0.300000, -16182.000000, -93.000000, 1010.000000, -59.000000, 178.000000, 92.000000, 0.300000, -16149.000000, 291.000000, 853.000000, 12.000000, 83.000000, -112.000000, 0.300000, 319.000000, -16410.000000, 843.000000, -88.000000, 88.000000, 188.000000, 0.300000, 389.000000, -16311.000000, 2318.000000, 17.000000, 120.000000, 99.000000
0.320000, 296.000000, 311.000000, -4069.000000, -81.000000, 121.000000, 34.000000, 0.320000, 325.000000, -31.000000, -13446.000000, -235.000000, 202.000000, -31.000000, 0.320000, -16153.000000, -124.000000, 1047.000000, -34.000000, 159.000000, 91.000000, 0.320000, -16169.000000, 313.000000, 846.000000, 28.000000, 66.000000, -89.000000, 0.320000, 314.000000, -16347.000000, 890.000000, -83.000000, 84.000000, 207.000000, 0.320000, 465.000000, -16318.000000, 2309.000000, 21.000000, 126.000000, 116.000000
0.340000, 334.000000, 294.000000, -4084.000000, -69.000000, 131.000000, 40.000000, 0.340000, 332.000000, 20.000000, -13554.000000, -261.000000, 216.000000, -34.000000, 0.340000, -16119.000000, -102.000000, 975.000000, -54.000000, 171.000000, 90.000000, 0.340000, -16181.000000, 312.000000, 798.000000, 32.000000, 90.000000, -78.000000, 0.340000, 279.000000, -16343.000000, 807.000000, -92.000000, 83.000000, 209.000000, 0.340000, 452.000000, -16300.000000, 2352.000000, 36.000000, 100.000000, 125.000000
0.360000, 300.000000, 286.000000, -4034.000000, -85.000000, 130.000000, 44.000000, 0.360000, 333.000000, -23.000000, -13520.000000, -260.000000, 200.000000, -11.000000, 0.360000, -16154.000000, -141.000000, 943.000000, -61.000000, 190.000000, 92.000000, 0.360000, -16209.000000, 357.000000, 958.000000, 2.000000, 63.000000, -101.000000, 0.360000, 280.000000, -16382.000000, 907.000000, -90.000000, 71.000000, 193.000000, 0.360000, 438.000000, -16304.000000, 2379.000000, 28.000000, 121.000000, 102.000000
0.380000, 284.000000, 277.000000, -4024.000000, -82.000000, 126.000000, 29.000000, 0.380000, 323.000000, -78.000000, -13570.000000, -246.000000, 213.000000, -22.000000, 0.380000, -16168.000000, -103.000000, 1005.000000, -55.000000, 188.000000, 86.000000, 0.380000, -16162.000000, 301.000000, 854.000000, 11.000000, 87.000000, -110.000000, 0.380000, 286.000000, -16412.000000, 804.000000, -92.000000, 97.000000, 178.000000, 0.380000, 457.000000, -16319.000000, 2298.000000, 17.000000, 95.000000, 93.000000
0.400000, 292.000000, 315.000000, -4003.000000, -107.000000, 132.000000, 28.000000, 0.400000, 331.000000, -10.000000, -13533.000000, -261.000000, 206.000000, -5.000000, 0.400000, -16136.000000, -146.000000, 1079.000000, -53.000000, 194.000000, 81.000000, 0.400000, -16126.000000, 304.000000, 842.000000, 15.000000, 83.000000, -88.000000, 0.400000, 293.000000, -16349.000000, 830.000000, -81.000000, 74.000000, 194.000000, 0.400000, 503.000000, -16334.000000, 2318.000000, 23.000000, 115.000000, 116.000000
0.420000, 310.000000, 284.000000, -4024.000000, -85.000000, 140.000000, 12.000000, 0.420000, 324.000000, -52.000000, -13565.000000, -240.000000, 229.000000, -10.000000, 0.420000, -16142.000000, -118.000000, 1038.000000, -29.000000, 177.000000, 96.000000, 0.420000, -16165.000000, 314.000000, 787.000000, 12.000000, 74.000000, -110.000000, 0.420000, 265.000000, -16442.000000, 864.000000, -84.000000, 83.000000, 194.000000, 0.420000, 456.000000, -16281.000000, 2326.000000, 4.000000, 110.000000, 111.000000
0.440000, 298.000000, 283.000000, -4037.000000, -80.000000, 124.000000, 21.000000, 0.440000, 332.000000, -18.000000, -13570.000000, -265.000000, 201.000000, -45.000000, 0.440000, -16131.000000, -83.000000, 987.000000, -25.000000, 165.000000, 100.000000, 0.440000, -16164.000000, 303.000000, 808.000000, 19.000000, 63.000000, -101.000000, 0.440000, 267.000000, -16432.000000, 896.000000, -83.000000, 81.000000, 202.000000, 0.440000, 459.000000, -16283.000000, 2306.000000, 41.000000, 110.000000, 103.000000
0.460000, 323.000000, 294.000000, -4041.000000, -73.000000, 114.000000, 44.000000, 0.460000, 359.000000, -35.000000, -13599.000000, -246.000000, 199.000000, -11.000000, 0.460000, -16123.000000, -154.000000, 1107.000000, -41.000000, 182.000000, 90.000000, 0.460000, -16208.000000, 312.000000, 783.000000, 18.000000, 53.000000, -103.000000, 0.460000, 299.000000, -16428.000000, 838.000000, -76.000000, 77.000000, 207.000000, 0.460000, 443.000000, -16319.000000, 2400.000000, 21.000000, 97.000000, 99.000000
0.480000, 290.000000, 291.000000, -4122.000000, -89.000000, 125.000000, 14.000000, 0.480000, 348.000000, -32.000000, -13542.000000, -247.000000, 215.000000, -19.000000, 0.480000, -16122.000000, -178.000000, 1051.000000, -53.000000, 175.000000, 82.000000, 0.480000, -16167.000000, 309.000000, 823.000000, 20.000000, 57.000000, -92.000000, 0.480000, 274.000000, -16420.000000, 813.000000, -93.000000, 71.000000, 205.000000, 0.480000, 463.000000, -16312.000000, 2325.000000, 23.000000, 93.000000, 121.000000
0.500000, 302.000000, 265.000000, -4033.000000, -76.000000, 135.000000, 39.000000, 0.500000, 325.000000, -31.000000, -13559.000000, -256.000000, 223.000000, -9.000000, 0.500000, -16143.000000, -151.000000, 1040.000000, -57.000000, 178.000000, 89.000000, 0.500000, -16164.000000, 310.000000, 889.000000, 17.000000, 63.000000, -92.000000, 0.500000, 359.000000, -16345.000000, 828.000000, -80.000000, 79.000000, 181.000000, 0.500000, 441.000000, -16294.000000, 2340.000000, 14.000000, 112.000000, 106.000000
0.520000, 369.000000, 282.000000, -3985.000000, -79.000000, 123.000000, 21.000000, 0.520000, 316.000000, -24.000000, -13560.000000, -257.000000, 202.000000, -27.000000, 0.520000, -16186.000000, -114.000000, 1055.000000, -58.000000, 189.000000, 85.000000, 0.520000, -16121.000000, 304.000000, 885.000000, 21.000000, 64.000000, -86.000000, 0.520000, 241.000000, -16411.000000, 888.000000, -81.000000, 71.000000, 186.000000, 0.520000, 441.000000, -16293.000000, 2345.000000, 22.000000, 113.000000, 131.000000
0.540000, 317.000000, 273.000000, -4081.000000, -77.000000, 131.000000, 23.000000, 0.540000, 324.000000, -41.000000, -13538.000000, -256.000000, 215.000000, -16.000000, 0.540000, -16222.000000, -94.000000, 1028.000000, -44.000000, 182.000000, 71.000000, 0.540000, -16176.000000, 339.000000, 853.000000, 29.000000, 91.000000, -98.000000, 0.540000, 284.000000, -16414.000000, 881.000000, -82.000000, 98.000000, 207.000000, 0.540000, 444.000000, -16301.000000, 2340.000000, 19.000000, 128.000000, 132.000000
0.560000, 292.000000, 298.000000, -3996.000000, -78.000000, 135.000000, 30.000000, 0.560000, 355.000000, -38.000000, -13511.000000, -248.000000, 213.000000, -15.000000, 0.560000, -16170.000000, -119.000000, 1035.000000, -39.000000, 171.000000, 115.000000, 0.560000, -16164.000000, 302.000000, 747.000000, 38.000000, 66.000000, -101.000000, 0.560000, 310.000000, -16372.000000, 828.000000, -86.000000, 80.000000, 179.000000, 0.560000, 466.000000, -16318.000000, 2363.000000, 15.000000, 106.000000, 105.000000
0.580000, 298.000000, 287.000000, -3969.000000, -102.000000, 126.000000, 33.000000, 0.580000, 331.000000, -65.000000, -13582.000000, -258.000000, 211.000000, -5.000000, 0.580000, -16206.000000, -111.000000, 1038.000000, -39.000000, 172.000000, 101.000000, 0.580000, -16168.000000, 331.000000, 793.000000, 21.000000, 69.000000, -101.000000, 0.580000, 286.000000, -16395.000000, 852.000000, -79.000000, 78.000000, 194.000000, 0.580000, 429.000000, -16299.000000, 2289.000000, 34.000000, 108.000000, 119.000000
