t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, 545.000000, -11346.000000, 1143.000000, -62.000000, 119.000000, 27.000000, 0.020000, 468.000000, -11762.000000, -8637.000000, -243.000000, 207.000000, -21.000000, 0.020000, -11303.000000, 19.000000, -10788.000000, -44.000000, 192.000000, 102.000000, 0.020000, -11398.000000, 485.000000, -10885.000000, 30.000000, 66.000000, -114.000000, 0.020000, -11295.000000, -11523.000000, 963.000000, -90.000000, 92.000000, 190.000000, 0.020000, -11214.000000, -11585.000000, 2441.000000, 6.000000, 101.000000, 79.000000
0.040000, 598.000000, -11406.000000, 1124.000000, -61.000000, 126.000000, 3.000000, 0.040000, 498.000000, -11718.000000, -8638.000000, -269.000000, 200.000000, -2.000000, 0.040000, -11323.000000, 96.000000, -10776.000000, -42.000000, 196.000000, 84.000000, 0.040000, -11343.000000, 458.000000, -10863.000000, 31.000000, 86.000000, -102.000000, 0.040000, -11276.000000, -11539.000000, 963.000000, -91.000000, 92.000000, 169.000000, 0.040000, -11216.000000, -11588.000000, 2456.000000, 14.000000, 98.000000, 123.000000
0.060000, 540.000000, -11353.000000, 1131.000000, -97.000000, 139.000000, 5.000000, 0.060000, 407.000000, -11735.000000, -8606.000000, -259.000000, 222.000000, 8.000000, 0.060000, -11334.000000, 68.000000, -10794.000000, -40.000000, 182.000000, 98.000000, 0.060000, -11366.000000, 470.000000, -10850.000000, 47.000000, 80.000000, -101.000000, 0.060000, -11327.000000, -11534.000000, 989.000000, -86.000000, 85.000000, 167.000000, 0.060000, -11242.000000, -11563.000000, 2406.000000, 18.000000, 96.000000, 92.000000
0.080000, 572.000000, -11386.000000, 1116.000000, -65.000000, 120.000000, 16.000000, 0.080000, 477.000000, -11698.000000, -8593.000000, -273.000000, 211.000000, -4.000000, 0.080000, -11326.000000, 72.000000, -10781.000000, -56.000000, 174.000000, 94.000000, 0.080000, -11383.000000, 471.000000, -10787.000000, 28.000000, 62.000000, -101.000000, 0.080000, -11319.000000, -11490.000000, 1028.000000, -81.000000, 67.000000, 200.000000, 0.080000, -11274.000000, -11551.000000, 2423.000000, 42.000000, 101.000000, 101.000000
0.100000, 580.000000, -11365.000000, 1208.000000, -81.000000, 147.000000, 8.000000, 0.100000, 425.000000, -11745.000000, -8639.000000, -268.000000, 211.000000, -15.000000, 0.100000, -11311.000000, 51.000000, -10783.000000, -33.000000, 186.000000, 94.000000, 0.100000, -11355.000000, 468.000000, -10898.000000, 26.000000, 89.000000, -110.000000, 0.100000, -11290.000000, -11472.000000, 966.000000, -96.000000, 78.000000, 185.000000, 0.100000, -11246.000000, -11571.000000, 2461.000000, 13.000000, 93.000000, 113.000000
0.120000, 545.000000, -11348.000000, 1231.000000, -72.000000, 134.000000, 16.000000, 0.120000, 465.000000, -11734.000000, -8607.000000, -263.000000, 196.000000, -13.000000, 0.120000, -11304.000000, 61.000000, -10763.000000, -54.000000, 177.000000, 104.000000, 0.120000, -11387.000000, 471.000000, -11001.000000, 39.000000, 105.000000, -97.000000, 0.120000, -11296.000000, -11536.000000, 914.000000, -91.000000, 71.000000, 178.000000, 0.120000, -11246.000000, -11583.000000, 2462.000000, 24.000000, 115.000000, 97.000000
0.140000, 502.000000, -11348.000000, 1166.000000, -70.000000, 138.000000, 1.000000, 0.140000, 438.000000, -11693.000000, -8551.000000, -262.000000, 208.000000, -24.000000, 0.140000, -11328.000000, 41.000000, -10803.000000, -43.000000, 193.000000, 78.000000, 0.140000, -11371.000000, 484.000000, -10915.000000, 36.000000, 74.000000, -98.000000, 0.140000, -11318.000000, -11526.000000, 908.000000, -91.000000, 79.000000, 189.000000, 0.140000, -11220.000000, -11591.000000, 2434.000000, 23.000000, 113.000000, 87.000000
0.160000, 499.000000, -11407.000000, 1134.000000, -76.000000, 130.000000, 8.000000, 0.160000, 438.000000, -11702.000000, -8637.000000, -244.000000, 210.000000, -16.000000, 0.160000, -11320.000000, 71.000000, -10756.000000, -43.000000, 169.000000, 93.000000, 0.160000, -11370.000000, 504.000000, -10930.000000, 42.000000, 88.000000, -112.000000, 0.160000, -11306.000000, -11527.000000, 952.000000, -81.000000, 66.000000, 171.000000, 0.160000, -11231.000000, -11607.000000, 2385.000000, 16.000000, 112.000000, 125.000000
0.180000, 505.000000, -11354.000000, 1197.000000, -43.000000, 144.000000, 17.000000, 0.180000, 447.000000, -11710.000000, -8609.000000, -258.000000, 201.000000, -26.000000, 0.180000, -11298.000000, 34.000000, -10816.000000, -58.000000, 185.000000, 95.000000, 0.180000, -11314.000000, 471.000000, -10881.000000, 36.000000, 69.000000, -104.000000, 0.180000, -11296.000000, -11494.000000, 881.000000, -73.000000, 100.000000, 193.000000, 0.180000, -11210.000000, -11604.000000, 2453.000000, 30.000000, 95.000000, 123.000000
0.200000, 563.000000, -11318.000000, 1139.000000, -62.000000, 150.000000, 8.000000, 0.200000, 474.000000, -11680.000000, -8644.000000, -255.000000, 217.000000, -18.000000, 0.200000, -11315.000000, 63.000000, -10760.000000, -48.000000, 177.000000, 74.000000, 0.200000, -11391.000000, 477.000000, -10918.000000, 45.000000, 76.000000, -99.000000, 0.200000, -11311.000000, -11531.000000, 901.000000, -88.000000, 71.000000, 160.000000, 0.200000, -11242.000000, -11559.000000, 2419.000000, 39.000000, 97.000000, 95.000000
