t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, -16093.000000, -8.000000, 12949.000000, -62.000000, 121.000000, 14.000000, 0.020000, -16089.000000, -104.000000, 3007.000000, -250.000000, 198.000000, -17.000000, 0.020000, 372.000000, -16279.000000, 1025.000000, -40.000000, 177.000000, 102.000000, 0.020000, 35.000000, -16190.000000, 586.000000, 33.000000, 71.000000, -96.000000, 0.020000, 355.000000, -71.000000, -15703.000000, -82.000000, 89.000000, 177.000000, 0.020000, 192.000000, -118.000000, -14349.000000, 24.000000, 94.000000, 116.000000
0.040000, -16072.000000, 27.000000, 12879.000000, -29.000000, 132.000000, -10.000000, 0.040000, -16079.000000, -105.000000, 2936.000000, -240.000000, 211.000000, -26.000000, 0.040000, 403.000000, -16275.000000, 1000.000000, -48.000000, 173.000000, 119.000000, 0.040000, 9.000000, -16219.000000, 611.000000, 18.000000, 96.000000, -107.000000, 0.040000, 318.000000, -109.000000, -15787.000000, -82.000000, 59.000000, 176.000000, 0.040000, 195.000000, -60.000000, -14352.000000, 19.000000, 115.000000, 110.000000
0.060000, -16088.000000, 26.000000, 12917.000000, -70.000000, 121.000000, 25.000000, 0.060000, -16086.000000, -143.000000, 2954.000000, -247.000000, 206.000000, -3.000000, 0.060000, 384.000000, -16276.000000, 982.000000, -54.000000, 190.000000, 72.000000, 0.060000, 56.000000, -16170.000000, 585.000000, 25.000000, 65.000000, -89.000000, 0.060000, 304.000000, -92.000000, -15734.000000, -81.000000, 74.000000, 185.000000, 0.060000, 176.000000, -63.000000, -14361.000000, 22.000000, 111.000000, 115.000000
0.080000, -16046.000000, 7.000000, 12961.000000, -49.000000, 117.000000, 10.000000, 0.080000, -16083.000000, -170.000000, 2996.000000, -244.000000, 202.000000, -14.000000, 0.080000, 367.000000, -16287.000000, 1006.000000, -50.000000, 180.000000, 89.000000, 0.080000, -14.000000, -16205.000000, 635.000000, 23.000000, 75.000000, -98.000000, 0.080000, 287.000000, -12.000000, -15738.000000, -80.000000, 80.000000, 189.000000, 0.080000, 223.000000, -53.000000, -14354.000000, 28.000000, 103.000000, 111.000000
0.100000, -16108.000000, -12.000000, 12906.000000, -57.000000, 137.000000, 13.000000, 0.100000, -16102.000000, -126.000000, 2944.000000, -257.000000, 194.000000, -12.000000, 0.100000, 360.000000, -16279.000000, 1004.000000, -38.000000, 162.000000, 99.000000, 0.100000, -13.000000, -16169.000000, 614.000000, 23.000000, 72.000000, -85.000000, 0.100000, 313.000000, -68.000000, -15784.000000, -89.000000, 88.000000, 180.000000, 0.100000, 195.000000, -51.000000, -14355.000000, 27.000000, 85.000000, 93.000000
0.120000, -16093.000000, -5.000000, 12906.000000, -48.000000, 132.000000, -9.000000, 0.120000, -16092.000000, -135.000000, 2967.000000, -247.000000, 209.000000, -13.000000, 0.120000, 354.000000, -16316.000000, 996.000000, -28.000000, 185.000000, 106.000000, 0.120000, 18.000000, -16216.000000, 637.000000, 25.000000, 72.000000, -97.000000, 0.120000, 357.000000, -80.000000, -15778.000000, -89.000000, 85.000000, 205.000000, 0.120000, 155.000000, -98.000000, -14322.000000, 26.000000, 112.000000, 105.000000
0.140000, -16090.000000, 1.000000, 12930.000000, -72.000000, 124.000000, 3.000000, 0.140000, -16055.000000, -121.000000, 2967.000000, -266.000000, 217.000000, -7.000000, 0.140000, 333.000000, -16326.000000, 988.000000, -38.000000, 152.000000, 86.000000, 0.140000, 48.000000, -16206.000000, 713.000000, 29.000000, 71.000000, -92.000000, 0.140000, 331.000000, -84.000000, -15703.000000, -90.000000, 87.000000, 172.000000, 0.140000, 224.000000, -61.000000, -14319.000000, 14.000000, 100.000000, 113.000000
0.160000, -16122.000000, -15.000000, 12882.000000, -52.000000, 124.000000, 8.000000, 0.160000, -16109.000000, -122.000000, 2913.000000, -262.000000, 207.000000, -1.000000, 0.160000, 330.000000, -16270.000000, 926.000000, -42.000000, 155.000000, 108.000000, 0.160000, 65.000000, -16207.000000, 648.000000, 15.000000, 69.000000, -109.000000, 0.160000, 352.000000, -80.000000, -15780.000000, -78.000000, 66.000000, 201.000000, 0.160000, 213.000000, -78.000000, -14351.000000, 2.000000, 107.000000, 107.000000
0.180000, -16094.000000, 40.000000, 12906.000000, -49.000000, 127.000000, 5.000000, 0.180000, -16120.000000, -143.000000, 2964.000000, -248.000000, 211.000000, 16.000000, 0.180000, 371.000000, -16305.000000, 1026.000000, -38.000000, 190.000000, 70.000000, 0.180000, 62.000000, -16184.000000, 623.000000, 20.000000, 70.000000, -88.000000, 0.180000, 335.000000, -82.000000, -15704.000000, -85.000000, 74.000000, 190.000000, 0.180000, 163.000000, -108.000000, -14360.000000, 9.000000, 112.000000, 88.000000
0.200000, -16068.000000, -1.000000, 12988.000000, -59.000000, 135.000000, 11.000000, 0.200000, -16131.000000, -196.000000, 2928.000000, -264.000000, 223.000000, -10.000000, 0.200000, 385.000000, -16274.000000, 941.000000, -58.000000, 188.000000, 91.000000, 0.200000, 18.000000, -16239.000000, 568.000000, 36.000000, 82.000000, -92.000000, 0.200000, 294.000000, -94.000000, -15708.000000, -79.000000, 65.000000, 164.000000, 0.200000, 209.000000, -50.000000, -14263.000000, 27.000000, 95.000000, 92.000000
