time, x1__dd, x2__dd, y1__dd, y2__dd, phi1__d, phi2__d
0.020000, -10846.000000, -10772.000000, 11744.000000, 11714.000000, -151.000000, 23.000000
0.040000, -10878.000000, -10792.000000, 11706.000000, 11676.000000, -145.000000, 30.000000
0.060000, -10854.000000, -10580.000000, 11750.000000, 11696.000000, -138.000000, 22.000000
0.080000, -10828.000000, -10768.000000, 11706.000000, 11650.000000, -136.000000, 33.000000
0.100000, -10796.000000, -10658.000000, 11726.000000, 11632.000000, -135.000000, 48.000000
0.120000, -10832.000000, -10766.000000, 11694.000000, 11734.000000, -133.000000, 36.000000
0.140000, -10780.000000, -10632.000000, 11676.000000, 11744.000000, -118.000000, 25.000000
0.160000, -10800.000000, -10736.000000, 11688.000000, 11648.000000, -149.000000, 26.000000
0.180000, -10806.000000, -10684.000000, 11798.000000, 11694.000000, -136.000000, 26.000000
0.200000, -10814.000000, -10782.000000, 11740.000000, 11670.000000, -135.000000, 27.000000
0.220000, -10892.000000, -10584.000000, 11698.000000, 11736.000000, -134.000000, 31.000000
0.240000, -10770.000000, -10668.000000, 11712.000000, 11694.000000, -127.000000, 32.000000
0.260000, -10894.000000, -10674.000000, 11726.000000, 11656.000000, -134.000000, 24.000000
0.280000, -10744.000000, -10722.000000, 11732.000000, 11660.000000, -130.000000, 29.000000
0.300000, -10882.000000, -10674.000000, 11744.000000, 11716.000000, -137.000000, 21.000000
0.320000, -10854.000000, -10620.000000, 11742.000000, 11754.000000, -131.000000, 31.000000
0.340000, -10780.000000, -10716.000000, 11724.000000, 11666.000000, -141.000000, 35.000000
0.360000, -10850.000000, -10704.000000, 11696.000000, 11778.000000, -138.000000, 36.000000
0.380000, -10840.000000, -10762.000000, 11782.000000, 11770.000000, -130.000000, 27.000000
0.400000, -10904.000000, -10636.000000, 11708.000000, 11744.000000, -152.000000, 19.000000
0.420000, -10906.000000, -10794.000000, 11674.000000, 11644.000000, -144.000000, 31.000000
0.440000, -10826.000000, -10654.000000, 11714.000000, 11682.000000, -146.000000, 22.000000
0.460000, -10820.000000, -10726.000000, 11692.000000, 11706.000000, -138.000000, 22.000000
0.480000, -10798.000000, -10666.000000, 11710.000000, 11692.000000, -135.000000, 27.000000
0.500000, -10842.000000, -10860.000000, 11744.000000, 11714.000000, -135.000000, 33.000000
0.520000, -10796.000000, -10744.000000, 11708.000000, 11652.000000, -131.000000, 32.000000
0.540000, -10900.000000, -10686.000000, 11682.000000, 11732.000000, -133.000000, 35.000000
0.560000, -10860.000000, -10712.000000, 11678.000000, 11760.000000, -143.000000, 36.000000
0.580000, -10820.000000, -10782.000000, 11724.000000, 11668.000000, -140.000000, 28.000000
0.600000, -10820.000000, -10702.000000, 11658.000000, 11646.000000, -133.000000, 22.000000
0.620000, -10882.000000, -10680.000000, 11750.000000, 11688.000000, -140.000000, 37.000000
0.640000, -10812.000000, -10692.000000, 11684.000000, 11702.000000, -138.000000, 27.000000
0.660000, -10906.000000, -10706.000000, 11680.000000, 11742.000000, -136.000000, 31.000000
0.680000, -10830.000000, -10732.000000, 11666.000000, 11726.000000, -135.000000, 32.000000
0.700000, -10846.000000, -10836.000000, 11670.000000, 11702.000000, -133.000000, 35.000000
0.720000, -10770.000000, -10788.000000, 11680.000000, 11646.000000, -145.000000, 24.000000
0.740000, -10846.000000, -10782.000000, 11674.000000, 11706.000000, -138.000000, 24.000000
0.760000, -10802.000000, -10718.000000, 11704.000000, 11710.000000, -128.000000, 30.000000
0.780000, -10904.000000, -10762.000000, 11766.000000, 11650.000000, -128.000000, 32.000000
0.800000, -10742.000000, -10626.000000, 11678.000000, 11726.000000, -127.000000, 23.000000
0.820000, -10810.000000, -10754.000000, 11696.000000, 11634.000000, -122.000000, 24.000000
0.840000, -10880.000000, -10564.000000, 11688.000000, 11684.000000, -136.000000, 24.000000
0.860000, -10808.000000, -10732.000000, 11744.000000, 11694.000000, -127.000000, 40.000000
