t_g, g1, g2, g3
0.000000, -9.661070, -0.008234, 0.105426
0.020000, -9.458429, -0.033616, 0.003448
0.040000, -9.729584, -0.251556, -0.159683
0.060000, -9.500998, -0.155696, 0.076422
0.080000, -9.681853, 0.143254, 0.019428
0.100000, -9.930689, 0.124009, 0.000381
0.120000, -9.726687, -0.248293, 0.200782
0.140000, -9.797546, 0.147291, -0.314732
0.160000, -10.016194, -0.310295, -0.042918
0.180000, -9.945077, 0.034442, -0.027205
0.200000, -9.594930, -0.070418, 0.351061
0.220000, -9.747362, -0.258293, 0.301510
0.240000, -9.546012, -0.206419, -0.070676
0.260000, -9.797956, -0.332825, 0.632172
0.280000, -9.573205, -0.115252, 0.020618
0.300000, -9.258733, -0.146312, 0.151527
0.320000, -9.727173, -0.330229, -0.109171
0.340000, -9.733926, -0.238955, -0.095834
0.360000, -9.838548, 0.059772, -0.297096
0.380000, -9.865759, -0.110540, 0.140177
0.400000, -9.894502, 0.094246, 0.396867
0.420000, -9.809141, -0.001022, 0.125069
0.440000, -9.942048, -0.150064, 0.210695
0.460000, -10.008499, 0.193764, 0.056877
0.480000, -9.498211, -0.089557, 0.507360
0.500000, -9.852794, 0.121268, 0.137064
0.520000, -9.811972, -0.067568, 0.097710
0.540000, -9.652951, 0.130571, 0.115885
0.560000, -9.835505, 0.004250, 0.514321
0.580000, -9.791664, 0.121321, 0.150692
0.600000, -9.728774, -0.164614, -0.120350
0.620000, -9.368157, 0.059436, -0.138693
0.640000, -9.694931, -0.169464, 0.070789
0.660000, -9.669288, -0.177599, -0.230888
0.680000, -9.768927, 0.023968, -0.049479
0.700000, -9.585643, -0.172387, 0.018811
0.720000, -9.567209, -0.353897, -0.281384
0.740000, -9.690645, -0.164855, 0.265539
0.760000, -9.574693, -0.201704, -0.092092
0.780000, -9.519860, 0.134899, 0.091456
0.800000, -9.602493, -0.099845, -0.124430
0.820000, -9.619212, -0.053810, 0.078939
0.840000, -9.603910, 0.300468, -0.008598
0.860000, -9.753866, -0.071366, -0.066781
0.880000, -9.615341, -0.393413, -0.044349
0.900000, -9.516785, -0.229066, 0.335521
0.920000, -9.686421, -0.118346, -0.269809
0.940000, -9.816286, -0.102524, -0.244835
0.960000, -9.554075, -0.025545, -0.058731
0.980000, -9.695482, -0.104131, -0.064357
1.000000, -9.815217, 0.096303, -0.039359
1.020000, -9.599173, 0.416014, 0.193550
1.040000, -10.057016, -0.083457, 0.206955
1.060000, -9.890145, -0.052248, 0.091834
1.080000, -9.783465, 0.053367, -0.130887
1.100000, -9.573854, -0.326137, 0.064504
1.120000, -9.554475, -0.310874, -0.022771
1.140000, -9.296498, -0.340510, 0.107974
1.159999, -9.691291, -0.228374, -0.129017
1.179999, -9.311187, -0.195124, -0.027903
1.199999, -9.741240, -0.007208, 0.080096
1.219999, -9.759353, -0.386879, 0.264699
1.239999, -9.643423, 0.050617, 0.265451
1.259999, -9.701581, 0.244495, 0.057717
1.279999, -9.650313, -0.070286, 0.305682
1.299999, -9.482726, 0.054164, 0.075403
1.319999, -9.785264, -0.014149, -0.007486
1.339999, -9.930934, 0.532050, 0.283135
1.359999, -9.727569, 0.098316, 0.002572
1.379999, -9.558092, -0.005647, 0.063157
1.399999, -9.627326, -0.264437, -0.055847
1.419999, -9.679140, 0.214093, -0.051369
1.439999, -9.732796, -0.190173, -0.239450
1.459999, -9.858389, 0.123027, 0.330114
1.479999, -9.540436, 0.093714, 0.193780
1.499999, -9.755317, 0.083215, -0.330042
1.519999, -9.739290, 0.200863, 0.056984
1.539999, -9.695859, 0.184315, 0.176716
1.559999, -9.515965, -0.262699, -0.060369
1.579999, -9.877232, 0.199649, -0.250619
1.599999, -9.606492, -0.046771, 0.032231
1.619999, -9.732847, -0.148407, -0.013922
1.639999, -9.490534, -0.054451, -0.113041
1.659999, -9.828653, 0.023448, -0.434853
1.679999, -9.690250, 0.110868, 0.076497
1.699999, -9.352060, -0.131234, 0.166376
1.719999, -9.102099, -0.171907, 0.030357
1.739999, -9.421714, -0.154798, -0.139733
1.759999, -9.362408, 0.014801, 0.107840
1.779999, -10.049312, -0.086234, 0.046684
1.799999, -9.869974, -0.182632, -0.183362
1.819999, -9.969491, 0.121402, -0.142579
1.839999, -9.633123, 0.114655, -0.139272
1.859999, -9.407444, -0.297206, -0.120555
1.879999, -9.400220, -0.283523, 0.102087
1.899999, -9.567393, -0.417714, 0.112552
1.919999, -9.124907, 0.235492, 0.291960
1.939999, -9.746397, -0.454690, 0.184124
1.959999, -9.632450, 0.193029, -0.281092
1.979999, -9.571033, 0.011313, 0.098693
1.999999, -9.351336, -0.110545, -0.006555
2.019999, -9.471899, 0.108431, 0.010821
2.039999, -9.260339, 0.096141, -0.038868
2.059999, -9.907193, -0.173641, 0.261516
2.079999, -9.800038, 0.101842, 0.243173
2.099999, -9.625066, 0.268852, 0.133575
2.119999, -9.751643, -0.065326, 0.195367
2.139999, -9.566951, -0.062910, 0.265404
2.159999, -9.730935, -0.117122, 0.219729
2.179999, -9.862580, 0.015742, 0.138274
2.199999, -9.326837, -0.235237, 0.363010
2.219999, -9.589415, -0.033238, 0.082508
2.239999, -9.755397, -0.266090, 0.246720
2.259999, -9.910707, -0.131833, 0.014348
2.279999, -9.487948, 0.152719, 0.215207
2.299999, -9.785655, -0.044343, 0.069583
2.319999, -9.548244, -0.174203, -0.152769
2.339998, -9.485542, -0.139290, 0.215422
2.359998, -9.443435, -0.014942, 0.291146
2.379998, -9.663698, 0.146426, 0.344203
2.399998, -9.436700, 0.086441, 0.279640
2.419998, -9.770617, -0.159321, 0.207692
2.439998, -9.885021, 0.134115, 0.093535
2.459998, -9.987514, 0.049842, 0.347466
2.479998, -9.879666, 0.202876, -0.152242
2.499998, -9.987071, 0.141757, 0.131156
2.519998, -9.748351, -0.110046, 0.197394
2.539998, -9.734360, -0.305951, -0.254469
2.559998, -9.956879, 0.118345, 0.305764
2.579998, -9.260014, 0.250927, -0.001214
2.599998, -9.442940, 0.023738, 0.440081
2.619998, -9.397823, -0.014882, 0.288202
2.639998, -9.809886, 0.089759, 0.125881
2.659998, -9.516371, -0.398895, 0.225787
2.679998, -9.510051, 0.250304, -0.093348
2.699998, -4.016414, 5.331541, 6.283436
2.719998, -4.076305, 5.614411, 5.765189
2.739998, -4.035997, 5.781822, 5.649460
2.759998, -4.234540, 5.467259, 5.759371
2.779998, -4.209165, 5.478382, 5.950670
2.799998, -4.425063, 5.195889, 6.030119
2.819998, -3.769109, 5.657518, 5.946351
2.839998, -4.032973, 5.587627, 5.364264
2.859998, -3.916224, 5.515876, 5.751151
2.879998, -3.709491, 5.281466, 5.827709
2.899998, -3.798689, 5.966535, 5.608809
2.919998, -3.902345, 5.390859, 5.984075
2.939998, -4.042020, 5.877074, 5.858955
2.959998, -4.102254, 5.424997, 6.027282
2.979998, -3.712939, 5.726852, 5.721756
2.999998, -4.005003, 5.596287, 5.838884
3.019998, -4.146406, 5.632229, 5.849302
3.039998, -3.810110, 5.484464, 6.068420
3.059998, -3.904549, 5.593061, 5.801295
3.079998, -4.162955, 5.573634, 5.879515
3.099998, -3.804458, 5.956626, 5.861507
3.119998, -4.166106, 5.455250, 5.590214
3.139998, -3.538984, 5.573825, 5.965035
3.159998, -4.247811, 5.583141, 5.428059
3.179998, -3.878681, 5.347116, 5.541964
3.199998, -4.257875, 5.649453, 5.650930
3.219998, -4.005347, 5.759154, 5.558039
3.239998, -3.948348, 5.311753, 5.811319
3.259998, -4.132429, 5.491389, 5.562608
3.279998, -3.720299, 5.769756, 5.607643
3.299998, -3.949841, 5.580570, 5.451116
3.319998, -3.952686, 5.371646, 5.684037
3.339998, -3.858085, 5.295056, 5.699651
3.359998, -3.967737, 5.989385, 6.130687
3.379997, -4.000120, 5.619658, 5.982519
3.399997, -4.019904, 5.746214, 5.697889
3.419997, -4.127893, 5.535506, 5.858187
3.439997, -4.083280, 5.690166, 5.481979
3.459997, -4.089614, 5.924667, 5.762770
3.479997, -4.478284, 5.358655, 5.779126
3.499997, -3.880060, 5.579086, 5.707553
3.519997, -3.992815, 5.496612, 6.022056
3.539997, -4.085088, 5.559669, 5.872632
3.559997, -3.960710, 5.920362, 5.868866
3.579997, -3.800026, 5.973845, 5.592567
3.599997, -3.795657, 5.532355, 5.575232
3.619997, -4.054872, 5.736930, 5.679125
3.639997, -4.021053, 5.549641, 6.106863
3.659997, -4.175601, 5.858579, 5.868209
3.679997, -3.943944, 5.525861, 5.853550
3.699997, -4.164161, 5.738018, 5.884614
3.719997, -3.503310, 5.646911, 5.498240
3.739997, -4.271100, 5.717710, 5.371315
3.759997, -3.886795, 5.550645, 5.633839
3.779997, -4.025005, 5.632164, 5.963358
3.799997, -4.201936, 5.849405, 5.759966
3.819997, -3.838075, 5.486018, 5.541968
3.839997, -3.838965, 5.614275, 5.743979
3.859997, -4.087146, 5.747796, 5.477262
3.879997, -4.085272, 5.587545, 5.676310
3.899997, -4.456696, 5.709164, 5.782234
3.919997, -4.167019, 5.619130, 5.685293
3.939997, -3.882250, 5.651237, 5.851134
3.959997, -4.196798, 5.585580, 6.082324
3.979997, -4.069095, 5.811211, 5.934536
3.999997, -3.630955, 5.661139, 5.963975
4.019997, -3.908638, 5.542889, 5.609825
4.039997, -3.965203, 5.300920, 5.631910
4.059997, -3.716664, 6.022357, 5.929162
4.079997, -4.092492, 5.836094, 6.214517
4.099997, -3.882895, 5.654760, 5.727002
4.119997, -3.789911, 5.591076, 6.019542
4.139997, -4.101817, 5.505612, 5.736481
4.159997, -4.230494, 5.913459, 5.737514
4.179997, -3.536064, 5.702435, 5.659432
4.199997, -4.028900, 5.551725, 5.768692
4.219997, -4.189521, 5.436233, 5.587225
4.239997, -4.086492, 5.437346, 5.642180
4.259997, -3.775340, 5.626022, 5.496008
4.279997, -4.158906, 6.111852, 5.788386
4.299997, -4.315482, 5.603189, 5.766610
4.319997, -3.772519, 5.495204, 5.593673
4.339997, -4.118286, 6.059835, 5.436655
4.359997, -4.067433, 5.690226, 5.476707
4.379997, -3.927028, 5.513378, 5.570688
4.399997, -4.252888, 5.820388, 5.670310
4.419997, -3.492445, 5.726141, 5.828240
4.439997, -3.842422, 5.691744, 5.396076
4.459997, -4.111866, 6.019006, 5.976542
4.479997, -3.875906, 5.715230, 5.701120
4.499997, -3.954710, 5.621371, 5.832540
4.519997, -4.283321, 5.308693, 5.754073
4.539997, -3.820278, 6.016897, 5.591990
4.559997, -3.890708, 5.633801, 5.936342
4.579997, -4.005941, 5.528618, 5.764697
4.599997, -3.737484, 5.507252, 6.071655
4.619997, -3.449404, 5.905128, 5.985589
4.639997, -3.888787, 5.575751, 5.424435
4.659997, -3.974443, 5.644539, 5.574262
4.679996, -4.290154, 5.733585, 5.614694
4.699996, -4.167976, 5.627769, 5.715167
4.719996, -3.963047, 5.982824, 5.781460
4.739996, -4.412046, 5.296724, 6.078916
4.759996, -4.404266, 5.977046, 5.831423
4.779996, -3.880107, 5.501576, 5.938243
4.799996, -3.894735, 5.199066, 5.779608
4.819996, -3.876128, 5.585790, 5.719891
4.839996, -4.039693, 5.859177, 5.827423
4.859996, -4.054396, 5.865428, 5.689189
4.879996, -4.147890, 5.680430, 6.298343
4.899996, -3.785819, 5.860302, 5.965615
4.919996, -4.231912, 5.609493, 6.034774
4.939996, -3.907366, 5.444567, 5.944416
4.959996, -4.131001, 5.738514, 5.763931
4.979996, -4.107119, 5.611804, 5.450036
4.999996, -3.830521, 5.494299, 5.696170
5.019996, -3.459525, 5.321643, 6.221981
5.039996, -4.004260, 5.288358, 5.615349
5.059996, -3.700307, 5.969104, 5.777505
5.079996, -4.030463, 5.245972, 5.778256
5.099996, -3.682628, 5.479253, 5.942301
