t_uk, uk1, uk2, uk3
0.000000, -0.001907, 0.000168, -0.002564
0.020000, -0.001523, 0.000127, -0.002731
0.040000, -0.001233, -0.001275, -0.002766
0.060000, -0.000985, 0.000083, -0.000606
0.080000, -0.001335, -0.001717, -0.000426
0.100000, -0.000756, -0.001703, -0.001923
0.120000, -0.000479, -0.000817, -0.000926
0.140000, -0.002561, -0.000915, 0.000066
0.160000, -0.001004, 0.000352, -0.000989
0.180000, -0.000509, -0.000740, -0.001379
0.200000, -0.000951, -0.001683, -0.000705
0.220000, -0.000820, 0.000889, -0.001675
0.240000, -0.002015, -0.000087, -0.000755
0.260000, -0.001157, -0.000808, -0.001806
0.280000, -0.001158, -0.000203, -0.000481
0.300000, -0.001855, -0.000123, -0.001684
0.320000, -0.002730, -0.001225, -0.000806
0.340000, -0.001446, -0.000573, -0.001480
0.360000, -0.000743, -0.001708, -0.002120
0.380000, -0.001542, -0.000917, -0.001493
0.400000, -0.002161, -0.000885, -0.001702
0.420000, -0.000644, -0.001217, -0.001795
0.440000, -0.001324, 0.000290, -0.002162
0.460000, -0.000807, -0.000348, -0.001894
0.480000, -0.000734, -0.000178, -0.002498
0.500000, -0.001404, -0.000536, -0.001975
0.520000, -0.002490, -0.000464, -0.001267
0.540000, -0.001282, -0.001117, -0.001770
0.560000, -0.001477, -0.000426, -0.002402
0.580000, -0.001847, -0.000670, -0.003099
0.600000, -0.001013, -0.000232, -0.001652
0.620000, -0.000577, -0.000758, -0.001432
0.640000, -0.001821, -0.000749, -0.002228
0.660000, -0.002272, -0.000299, -0.001947
0.680000, -0.002774, 0.000292, -0.002162
0.700000, -0.000990, -0.000642, -0.001328
0.720000, -0.001452, 0.000054, -0.001818
0.740000, -0.001083, -0.000860, -0.001980
0.760000, -0.001970, -0.001747, -0.001152
0.780000, -0.000691, -0.000230, -0.001541
0.800000, -0.001252, -0.002206, -0.001319
0.820000, -0.001725, -0.001165, -0.001680
0.840000, -0.002707, -0.000795, -0.001526
0.860000, -0.001954, -0.000309, -0.001330
0.880000, -0.001416, -0.000208, -0.001250
0.900000, -0.001181, -0.001557, -0.001484
0.920000, -0.000879, -0.000876, -0.001415
0.940000, -0.002109, -0.000173, -0.001452
0.960000, -0.002548, -0.001115, -0.001495
0.980000, -0.001075, 0.000080, -0.001997
1.000000, -0.001839, -0.000832, -0.001023
1.020000, -0.001199, -0.001254, -0.001292
1.040000, -0.001103, -0.000372, -0.001808
1.060000, -0.000962, -0.001030, -0.002142
1.080000, -0.001770, -0.000817, -0.002187
1.100000, -0.001115, -0.000179, -0.001256
1.120000, -0.002208, -0.001497, -0.000725
1.140000, -0.001222, -0.000688, -0.001281
1.159999, -0.001705, -0.000536, -0.002839
1.179999, -0.001534, -0.000515, -0.002201
1.199999, -0.001131, -0.000995, -0.001671
1.219999, -0.000935, -0.000879, -0.001065
1.239999, -0.002425, -0.000336, -0.001328
1.259999, -0.000974, -0.001730, -0.000956
1.279999, -0.001848, 0.000191, -0.001569
1.299999, -0.000992, 0.000161, -0.002183
1.319999, -0.002618, -0.001510, -0.001194
1.339999, -0.001515, -0.000616, -0.001996
1.359999, -0.002406, -0.000844, -0.001539
1.379999, -0.000523, -0.000022, -0.001757
1.399999, -0.002147, -0.000056, -0.002602
1.419999, -0.000918, -0.001157, -0.002261
1.439999, -0.001383, -0.000262, -0.001081
1.459999, -0.001679, 0.000183, -0.001547
1.479999, -0.000917, -0.000643, -0.001272
1.499999, -0.001993, -0.000949, -0.002329
1.519999, -0.001240, 0.000787, -0.002131
1.539999, -0.000593, -0.001023, -0.002642
1.559999, -0.000606, -0.000916, -0.000676
1.579999, -0.000408, 0.000166, -0.001606
1.599999, -0.002012, 0.000142, -0.000500
1.619999, -0.001508, 0.000371, -0.001831
1.639999, -0.001438, 0.000023, -0.001644
1.659999, -0.001320, 0.000010, -0.001616
1.679999, -0.002227, -0.001305, -0.000991
1.699999, -0.002019, -0.000856, -0.001444
1.719999, -0.001218, -0.000373, -0.002007
1.739999, -0.001413, -0.000440, -0.001295
1.759999, -0.001284, -0.000334, -0.001958
1.779999, -0.001218, -0.000530, -0.001564
1.799999, -0.001697, -0.000378, -0.001470
1.819999, -0.001242, -0.000440, -0.000665
1.839999, -0.002727, -0.000969, -0.001805
1.859999, -0.001063, 0.000039, -0.001081
1.879999, -0.001410, -0.000779, -0.002237
1.899999, -0.001753, -0.000321, -0.001316
1.919999, -0.001281, -0.000823, -0.002000
1.939999, -0.001629, 0.000483, -0.001847
1.959999, -0.002010, -0.000557, -0.002163
1.979999, -0.002770, 0.000421, -0.000592
1.999999, -0.001421, -0.001143, -0.001449
2.019999, -0.001412, -0.000465, -0.001842
2.039999, -0.001791, -0.001299, -0.001630
2.059999, -0.002121, -0.000937, -0.001207
