t_ur, ur1, ur2, ur3
0.000000, 0.751689, 0.248968, 0.744328
0.020000, 0.343997, 0.454655, -4.977928
0.040000, 0.343493, 0.249210, 0.744271
0.060000, 0.546938, 0.044836, 0.745325
0.080000, 0.343760, 0.658010, 0.539782
0.100000, 0.343896, 0.453833, 0.336150
0.120000, 0.343576, 0.249567, 1.153305
0.140000, 0.344363, 0.249543, 0.336235
0.160000, 0.343352, 0.250726, 0.336240
0.180000, 0.342960, -0.159262, 0.336583
0.200000, 0.343351, -0.566634, 0.131903
0.220000, 0.343638, 0.250028, 0.335861
0.240000, 0.548990, 0.249330, 0.335517
0.260000, 0.138726, 0.453196, 0.336038
0.280000, 0.343791, 0.044793, 0.745781
0.300000, 0.343467, 0.250182, 0.744738
0.320000, 0.344521, 0.045221, 0.539956
0.340000, 0.343774, 0.044938, 0.743918
0.360000, 0.343836, 0.454540, 0.337547
0.380000, 0.343962, 0.250329, 0.744968
0.400000, 0.343738, 0.453911, 0.541308
0.420000, 0.343434, 0.249782, 0.540421
0.440000, 0.140390, 0.045709, 0.744561
0.460000, 0.138807, 0.248953, 0.540476
0.480000, 0.140298, 0.249161, 0.745250
0.500000, 0.343783, 0.862954, 0.744938
0.520000, 0.140101, 0.249884, 0.540533
0.540000, 0.342709, 0.657589, 0.746539
0.560000, 0.139277, 0.045190, 0.743619
0.580000, 0.139895, 0.250700, 0.540056
0.600000, 0.343422, 0.454200, 0.745104
0.620000, 0.343524, 0.250777, -0.277601
0.640000, 0.344614, 0.250297, 0.336573
0.660000, 0.548323, 0.044720, 0.745348
0.680000, 0.344156, 0.454326, 0.540345
0.700000, 0.547776, -0.363801, 0.335465
0.720000, -0.064208, 0.248866, 0.540181
0.740000, 0.342754, 0.045091, 0.336273
0.760000, 0.343710, 0.250009, 0.539544
0.780000, 0.548361, 0.454473, 0.336922
0.800000, 0.343389, 0.249673, 0.335959
0.820000, 0.752140, 0.249270, 0.336306
0.840000, 0.343704, 0.249836, 0.541196
0.860000, 0.344462, 0.658810, 0.336105
0.880000, 0.138318, 0.454655, 0.540091
0.900000, 0.547650, 0.249355, 1.563392
0.920000, 0.548461, 0.453503, 0.336231
0.940000, 0.752612, 0.045526, 0.949035
0.960000, 0.139204, 0.248723, 0.335664
0.980000, 0.138953, 0.250432, 0.540440
1.000000, 0.751961, 0.454437, 0.336202
1.020000, 0.343599, 0.249368, 0.539845
1.040000, 0.343143, 0.248966, 0.131302
1.060000, 0.343788, 0.453544, 0.539603
1.080000, 0.343796, 0.250609, 0.949938
1.100000, 0.343511, 0.657684, 0.745927
1.120000, 0.549008, 0.454085, 0.337177
1.140000, 0.344450, 0.454782, 0.744603
1.159999, 0.344020, 0.249481, 0.540395
1.179999, 0.343884, 0.249548, 0.335705
1.199999, 0.344191, 0.249191, 0.743999
1.219999, 0.548205, 0.044546, 0.539803
1.239999, 0.343003, 0.454290, 0.336297
1.259999, 0.343855, 0.249844, 0.132438
1.279999, 0.343596, 0.454545, 0.540490
1.299999, 0.140168, 0.250128, 0.745381
1.319999, 0.343631, 0.453245, 0.541429
1.339999, 0.547976, 0.250087, 0.540805
1.359999, 0.344500, 0.250568, 0.540873
1.379999, 0.343798, 0.250924, 0.540225
1.399999, 0.548277, 0.044884, 0.745270
1.419999, 0.955857, 0.249318, 0.336437
1.439999, 0.548421, 0.455109, 0.745248
1.459999, 0.548612, 1.680875, 0.335669
1.479999, 0.139525, 0.250272, 0.336184
1.499999, 0.344286, 1.068104, 0.540080
1.519999, 0.342907, 0.453804, 0.745341
1.539999, 0.547463, -0.159381, 0.540947
1.559999, 0.548063, 0.250101, 0.336144
1.579999, 0.548286, 0.249540, 0.744633
1.599999, 0.344063, 0.455617, 1.767604
1.619999, 0.138844, 0.454599, 0.540909
1.639999, 0.343650, 1.067449, 0.336508
1.659999, 0.344277, 0.044351, 1.153653
1.679999, 0.343601, 0.453799, 0.131783
1.699999, 0.548474, 0.454425, -0.072312
1.719999, 0.343898, 0.453033, 0.745612
1.739999, 0.344212, 0.249472, 0.335347
1.759999, 0.343110, 0.454650, 0.540013
1.779999, 0.343805, 0.249725, 0.745338
1.799999, 0.343723, 0.249555, 0.132380
1.819999, 0.343134, 0.658377, 0.539768
1.839999, 0.138930, 0.249990, 0.540729
1.859999, 0.547848, 0.453598, 1.358041
1.879999, 0.548046, 0.453851, 0.336906
1.899999, 0.548481, 1.066599, 0.131085
1.919999, 0.343806, -0.158461, 0.744859
1.939999, 0.343495, 0.658684, 0.746015
1.959999, 0.549279, 0.249746, 0.540606
1.979999, 0.139268, 0.658465, 0.336112
1.999999, 0.343872, 0.862322, 0.744326
2.019999, 0.548115, 0.045147, 0.540417
2.039999, 0.548569, 0.248864, 0.540019
2.059999, 0.547378, 0.044011, 0.336210
2.079999, 0.139284, 0.250946, 0.539950
2.099999, 0.343256, 0.452725, 0.540139
2.119999, 0.343737, 0.248995, 0.540080
2.139999, 0.343557, 0.454532, 0.540496
2.159999, 0.343398, 0.249213, 0.336129
2.179999, 0.343303, 0.658716, 0.744741
2.199999, 0.344160, 0.045812, 0.541144
2.219999, 0.751810, 0.249353, -0.071787
2.239999, 0.343484, 0.045134, 0.745407
2.259999, 0.344123, 0.454016, 0.336593
2.279999, 0.344188, 0.454029, -0.072434
2.299999, 0.344186, -0.159687, 0.744562
2.319999, 0.140043, 0.454295, 0.744852
2.339998, 0.547761, 0.454711, 0.745050
2.359998, 0.343372, -0.158475, 0.539623
2.379998, 0.138677, 0.454271, 0.745759
2.399998, 0.344729, 0.045120, 0.336228
2.419998, 0.343610, 0.250372, 0.540615
2.439998, 0.548055, 0.249192, 0.336226
2.459998, 0.547974, -0.158211, 0.336914
2.479998, 0.343966, 0.454050, 0.540861
2.499998, 0.344285, 0.454661, 0.336424
2.519998, 0.344018, 0.454215, 0.744427
2.539998, -0.064237, 0.045564, 0.950191
2.559998, 0.344469, 0.250601, 0.539470
2.579998, 0.342767, 0.455145, -1.298788
2.599998, 0.344326, 0.249925, 0.336864
2.619998, 0.548771, 0.045443, 0.540644
2.639998, 0.343524, 0.453783, 0.336717
2.659998, 0.343834, 0.658106, 0.131473
