t_tm, tm1, tm2, tm3
0.000000, -0.093381, 0.135067, -0.024953
0.020000, -0.166968, 0.094942, 0.044835
0.040000, -0.089289, 0.088464, 0.000967
0.060000, -0.104384, 0.096411, 0.005410
0.080000, -0.111941, 0.098665, 0.008686
0.100000, -0.115505, 0.156860, -0.024632
0.120000, -0.098855, 0.098747, 0.000580
0.140000, -0.068364, 0.127423, -0.035690
0.160000, -0.109110, 0.118567, -0.005200
0.180000, -0.103377, 0.096008, 0.005036
0.200000, -0.116695, 0.131434, -0.008383
0.220000, -0.092603, 0.127416, -0.020764
0.240000, -0.090061, 0.134859, -0.026871
0.260000, -0.118720, 0.144983, -0.015405
0.280000, -0.108577, 0.121372, -0.007241
0.300000, -0.095178, 0.101275, -0.003226
0.320000, -0.083926, 0.120919, -0.022140
0.340000, -0.068560, 0.105649, -0.022282
0.360000, -0.077404, 0.095848, -0.010856
0.380000, -0.061183, 0.072404, -0.006536
0.400000, -0.113986, 0.118279, -0.002023
0.420000, -0.094869, 0.105459, -0.005969
0.440000, -0.104619, 0.115055, -0.005823
0.460000, -0.073821, 0.148676, -0.045300
0.480000, -0.127039, 0.132715, -0.002798
0.500000, -0.042052, 0.095908, -0.032657
0.520000, -0.068120, 0.111534, -0.026144
0.540000, -0.111531, 0.128778, -0.009942
0.560000, -0.075529, 0.109438, -0.020304
0.580000, -0.085171, 0.136856, -0.031099
0.600000, -0.086715, 0.129782, -0.025832
0.620000, -0.112518, 0.109317, 0.002542
0.640000, -0.100861, 0.099984, 0.001061
0.660000, -0.080930, 0.080074, 0.000940
0.680000, -0.059007, 0.079025, -0.011917
0.700000, -0.139975, 0.133316, 0.004800
0.720000, -0.050335, 0.086672, -0.021922
0.740000, -0.118287, 0.108927, 0.006331
0.760000, -0.068298, 0.104567, -0.021783
0.780000, -0.107798, 0.120222, -0.007019
0.800000, -0.097478, 0.089626, 0.005299
0.820000, -0.080459, 0.090985, -0.006008
0.840000, -0.079959, 0.048386, 0.019680
0.860000, -0.038526, 0.056171, -0.010579
0.880000, -0.138018, 0.115105, 0.014708
0.900000, -0.126586, 0.133193, -0.003367
0.920000, -0.103813, 0.074092, 0.018678
0.940000, -0.128719, 0.103837, 0.015860
0.960000, -0.059167, 0.102022, -0.025852
0.980000, -0.063905, 0.121018, -0.034526
1.000000, -0.054552, 0.126142, -0.043411
1.020000, -0.011599, 0.117593, -0.064638
1.040000, -0.073817, 0.136285, -0.037741
1.060000, -0.068813, 0.114773, -0.027694
1.080000, -0.078584, 0.069828, 0.005748
1.100000, -0.140772, 0.131743, 0.006251
1.120000, -0.139342, 0.092835, 0.029113
1.140000, -0.100670, 0.124796, -0.014198
1.159999, -0.133066, 0.164498, -0.018482
1.179999, -0.054810, 0.083400, -0.017170
1.199999, -0.109739, 0.117183, -0.003969
1.219999, -0.071969, 0.102860, -0.018481
1.239999, -0.082602, 0.147551, -0.039207
1.259999, -0.057750, 0.130429, -0.044059
1.279999, -0.052659, 0.141935, -0.054215
1.299999, -0.074378, 0.114895, -0.024343
1.319999, -0.113755, 0.135372, -0.012596
1.339999, -0.049489, 0.085559, -0.021763
1.359999, -0.116651, 0.123145, -0.003352
1.379999, -0.047419, 0.119584, -0.043801
1.399999, -0.060489, 0.099684, -0.023611
1.419999, -0.057866, 0.120599, -0.037988
1.439999, -0.127566, 0.186804, -0.035479
1.459999, -0.084279, 0.097272, -0.007493
1.479999, -0.104323, 0.078378, 0.016377
1.499999, -0.059367, 0.110731, -0.031043
1.519999, -0.095001, 0.115972, -0.012303
1.539999, -0.037893, 0.053041, -0.009058
1.559999, -0.021377, 0.122158, -0.061404
1.579999, -0.068308, 0.128805, -0.036568
1.599999, -0.090912, 0.106353, -0.008951
1.619999, -0.035983, 0.092288, -0.034184
1.639999, -0.114565, 0.137351, -0.013306
1.659999, -0.105206, 0.107767, -0.001014
1.679999, -0.107700, 0.144883, -0.022128
1.699999, -0.045515, 0.069181, -0.014215
1.719999, -0.049281, 0.085987, -0.022153
1.739999, -0.078931, 0.035433, 0.026951
1.759999, -0.031813, 0.087340, -0.033732
1.779999, -0.062671, 0.078411, -0.009286
1.799999, -0.126362, 0.158616, -0.019019
1.819999, -0.139939, 0.139244, 0.001161
1.839999, -0.097217, 0.087941, 0.006166
1.859999, -0.072593, 0.123304, -0.030572
1.879999, -0.098103, 0.123337, -0.014888
1.899999, -0.077542, 0.132329, -0.033033
1.919999, -0.129931, 0.098821, 0.019667
1.939999, -0.129183, 0.106048, 0.014796
1.959999, -0.103959, 0.127600, -0.013884
1.979999, -0.110930, 0.099920, 0.007299
1.999999, -0.095770, 0.160257, -0.038854
2.019999, -0.107389, 0.089987, 0.011180
2.039999, -0.124098, 0.135795, -0.006487
2.059999, -0.103289, 0.107656, -0.002127
2.079999, -0.109101, 0.094241, 0.009638
2.099999, -0.054386, 0.166082, -0.067886
2.119999, -0.083181, 0.156076, -0.044053
2.139999, -0.043904, 0.073697, -0.017963
2.159999, -0.072249, 0.135933, -0.038491
2.179999, -0.073065, 0.098118, -0.014913
2.199999, -0.095368, 0.100763, -0.002797
2.219999, -0.082270, 0.088571, -0.003420
2.239999, -0.104031, 0.095981, 0.005455
2.259999, -0.101167, 0.113684, -0.007111
2.279999, -0.032394, 0.116119, -0.050936
2.299999, -0.062490, 0.141058, -0.047627
2.319999, -0.064238, 0.159436, -0.057766
2.339998, -0.051770, 0.120530, -0.041699
2.359998, -0.104611, 0.072436, 0.020180
2.379998, -0.052948, 0.109642, -0.034330
2.399998, -0.083444, 0.125814, -0.025424
2.419998, -0.084156, 0.064142, 0.012648
2.439998, -0.083292, 0.100007, -0.009769
2.459998, -0.061943, 0.123588, -0.037303
2.479998, -0.093980, 0.074685, 0.012262
2.499998, -0.121577, 0.124262, -0.001001
2.519998, -0.074571, 0.097203, -0.013427
2.539998, -0.106988, 0.066657, 0.025169
2.559998, -0.106090, 0.139088, -0.019583
2.579998, -0.125634, 0.137819, -0.006777
2.599998, -0.061338, 0.111736, -0.030443
2.619998, -0.107225, 0.169486, -0.037433
2.639998, -0.086507, 0.116196, -0.017670
2.659998, -0.102717, 0.125515, -0.013377
2.679998, -0.104022, 0.138732, -0.020639
2.699998, -0.100950, 0.079495, 0.013618
2.719998, -0.107974, 0.108886, 0.000006
2.739998, -0.063060, 0.068128, -0.002772
2.759998, -0.074237, 0.086703, -0.007226
2.779998, -0.091969, 0.079184, 0.008279
2.799998, -0.140777, 0.128262, 0.008378
2.819998, -0.135666, 0.128346, 0.005180
2.839998, -0.076949, 0.117732, -0.024491
2.859998, -0.155160, 0.147180, 0.005689
2.879998, -0.094141, 0.112533, -0.010734
2.899998, -0.106431, 0.171896, -0.039393
2.919998, -0.095647, 0.106266, -0.005983
2.939998, -0.068832, 0.056874, 0.007649
2.959998, -0.083930, 0.090669, -0.003679
2.979998, -0.115765, 0.132845, -0.009817
2.999998, -0.031423, 0.081437, -0.030370
3.019998, -0.062893, 0.070813, -0.004513
3.039998, -0.129384, 0.155138, -0.015037
3.059998, -0.112385, 0.110557, 0.001703
3.079998, -0.161460, 0.119342, 0.026555
3.099998, -0.160055, 0.144713, 0.010207
3.119998, -0.086426, 0.133525, -0.028294
3.139998, -0.073702, 0.092432, -0.011051
3.159998, -0.133106, 0.112767, 0.013111
3.179998, -0.061648, 0.059394, 0.001689
3.199998, -0.059517, 0.099162, -0.023891
3.219998, -0.072471, 0.081526, -0.005154
3.239998, -0.134193, 0.159198, -0.014554
3.259998, -0.089466, 0.164346, -0.045231
3.279998, -0.052356, 0.136136, -0.050862
3.299998, -0.063676, 0.144538, -0.049020
3.319998, -0.071329, 0.097687, -0.015719
3.339998, -0.102942, 0.099744, 0.002488
3.359998, -0.064056, 0.074282, -0.005914
3.379997, -0.053826, 0.101465, -0.028800
3.399997, -0.126962, 0.140608, -0.007661
3.419997, -0.104425, 0.101991, 0.002030
3.439997, -0.073629, 0.122866, -0.029668
3.459997, -0.092172, 0.095853, -0.001768
3.479997, -0.095941, 0.154621, -0.035310
3.499997, -0.061558, 0.144469, -0.050282
3.519997, -0.057676, 0.137696, -0.048539
3.539997, -0.052590, 0.113824, -0.037103
3.559997, -0.050186, 0.105733, -0.033645
3.579997, -0.090228, 0.156432, -0.039931
3.599997, -0.088390, 0.109060, -0.012156
3.619997, -0.111421, 0.126359, -0.008534
3.639997, -0.089851, 0.055635, 0.021345
3.659997, -0.165920, 0.126432, 0.024974
3.679997, -0.096142, 0.135458, -0.023493
3.699997, -0.067453, 0.107005, -0.023791
3.719997, -0.115057, 0.140858, -0.015142
3.739997, -0.132065, 0.144047, -0.006617
3.759997, -0.088002, 0.097685, -0.005453
3.779997, -0.086415, 0.081572, 0.003403
3.799997, -0.118064, 0.114025, 0.003083
3.819997, -0.100730, 0.149683, -0.029349
3.839997, -0.096345, 0.112971, -0.009645
3.859997, -0.078117, 0.097459, -0.011401
3.879997, -0.112933, 0.105002, 0.005431
3.899997, -0.104960, 0.126581, -0.012646
3.919997, -0.125758, 0.197758, -0.043277
3.939997, -0.076096, 0.054627, 0.013493
3.959997, -0.069977, 0.116465, -0.028010
3.979997, -0.099666, 0.146283, -0.027928
3.999997, -0.089137, 0.122333, -0.019796
4.019997, -0.066122, 0.130330, -0.038844
4.039997, -0.114870, 0.125548, -0.005916
4.059997, -0.105465, 0.153832, -0.028965
4.079997, -0.070270, 0.086889, -0.009782
4.099997, -0.083386, 0.121218, -0.022655
4.119997, -0.102609, 0.059248, 0.026995
4.139997, -0.110117, 0.153164, -0.025694
4.159997, -0.110490, 0.120097, -0.005286
4.179997, -0.108340, 0.117312, -0.004909
4.199997, -0.093492, 0.104749, -0.006384
4.219997, -0.100880, 0.119298, -0.010714
4.239997, -0.175410, 0.133916, 0.026249
4.259997, -0.069705, 0.106210, -0.021919
4.279997, -0.147500, 0.141939, 0.004171
4.299997, -0.094077, 0.111184, -0.009950
4.319997, -0.119718, 0.142437, -0.013237
4.339997, -0.063057, 0.114557, -0.031106
4.359997, -0.067927, 0.123359, -0.033478
4.379997, -0.139154, 0.161445, -0.012870
4.399997, -0.109698, 0.138506, -0.017007
4.419997, -0.094740, 0.109481, -0.008503
4.439997, -0.064690, 0.068231, -0.001831
4.459997, -0.125453, 0.057163, 0.042331
4.479997, -0.093425, 0.155180, -0.037200
4.499997, -0.096598, 0.117567, -0.012294
4.519997, -0.056379, 0.100335, -0.026539
4.539997, -0.089805, 0.081320, 0.005643
4.559997, -0.115149, 0.126601, -0.006386
4.579997, -0.066986, 0.108202, -0.024809
4.599997, -0.097970, 0.089440, 0.005715
4.619997, -0.132555, 0.129977, 0.002269
4.639997, -0.058318, 0.078778, -0.012190
4.659997, -0.088490, 0.088748, 0.000301
4.679996, -0.106532, 0.135775, -0.017289
4.699996, -0.046514, 0.088864, -0.025611
4.719996, -0.084280, 0.129871, -0.027386
4.739996, -0.114242, 0.102386, 0.007832
4.759996, -0.097904, 0.092826, 0.003608
4.779996, -0.113104, 0.088089, 0.015857
4.799996, -0.155021, 0.096893, 0.036289
4.819996, -0.069260, 0.087865, -0.010999
4.839996, -0.105745, 0.139171, -0.019846
4.859996, -0.134735, 0.133914, 0.001209
4.879996, -0.106351, 0.108228, -0.000590
4.899996, -0.096510, 0.105768, -0.005148
4.919996, -0.070777, 0.104119, -0.019984
4.939996, -0.077842, 0.088994, -0.006404
4.959996, -0.053229, 0.110068, -0.034417
4.979996, -0.067136, 0.094621, -0.016429
4.999996, -0.133886, 0.109058, 0.015854
5.019996, -0.128771, 0.139119, -0.005638
5.039996, -0.141588, 0.139942, 0.001750
5.059996, -0.092000, 0.149238, -0.034451
5.079996, -0.083459, 0.134154, -0.030504
5.099996, -0.024933, 0.125144, -0.061037
5.119996, -0.100470, 0.091283, 0.006130
5.139996, -0.003925, 0.050958, -0.028679
5.159996, 0.021579, 0.006609, -0.017318
5.179996, -0.002788, 0.053227, -0.030764
5.199996, -0.059529, 0.017763, 0.025809
5.219996, -0.005062, 0.001490, 0.002207
5.239996, -0.045108, 0.042363, 0.001919
5.259996, 0.021304, -0.008104, -0.008171
5.279996, 0.017599, 0.068604, -0.052699
5.299996, 0.004818, 0.019967, -0.015151
5.319996, -0.037700, 0.087842, -0.030395
5.339996, -0.012193, 0.046680, -0.020979
5.359996, -0.070325, 0.045154, 0.015740
5.379996, 0.005250, 0.001591, -0.004203
5.399996, -0.049208, 0.017696, 0.019496
5.419996, -0.018508, 0.002435, 0.009908
5.439996, -0.057927, 0.061948, -0.002141
5.459996, -0.028298, 0.016324, 0.007460
5.479996, -0.055524, 0.028996, 0.016488
5.499996, -0.009708, -0.007250, 0.010401
5.519996, -0.035305, 0.030151, 0.003336
5.539996, -0.088638, 0.032038, 0.035018
5.559996, 0.015449, 0.017937, -0.020457
5.579996, 0.027220, 0.062562, -0.054935
5.599996, -0.009706, 0.005536, 0.002597
5.619996, -0.028292, -0.022253, 0.030998
5.639996, -0.024824, 0.027503, -0.001501
5.659996, -0.013799, 0.075897, -0.037820
5.679996, -0.004690, 0.013487, -0.005343
5.699996, 0.016050, 0.055869, -0.043974
5.719995, 0.060209, 0.011939, -0.044352
5.739995, 0.016449, 0.025870, -0.025913
5.759995, -0.027838, 0.048531, -0.012478
5.779995, 0.042070, 0.067605, -0.067155
5.799995, -0.028070, 0.020163, 0.004977
5.819995, -0.018639, 0.031346, -0.007654
5.839995, 0.019227, 0.031382, -0.030988
5.859995, -0.010159, -0.010614, 0.012731
5.879995, -0.016164, 0.041234, -0.015212
5.899995, -0.032538, -0.016124, 0.029871
5.919995, 0.013460, 0.031276, -0.027372
5.939995, -0.024082, 0.039327, -0.009173
5.959995, -0.052617, -0.006797, 0.036541
5.979995, 0.000474, 0.002957, -0.002097
5.999995, 0.003598, 0.033105, -0.022416
6.019995, 0.003208, -0.014901, 0.007118
6.039995, -0.001270, 0.006801, -0.003368
6.059995, -0.025738, 0.002369, 0.014399
6.079995, -0.014017, 0.038292, -0.014738
6.099995, -0.021984, 0.124994, -0.062741
6.119995, -0.108825, 0.154876, -0.027514
6.139995, 0.322041, -0.249057, -0.046277
6.159995, 0.308428, -0.091499, -0.134040
6.179995, -0.041784, -0.110495, 0.093150
6.199995, -0.048204, -0.012176, 0.037106
6.219995, 0.003642, 0.068511, -0.044050
6.239995, 0.029523, -0.036855, 0.004315
6.259995, 0.121690, 0.033735, -0.095504
6.279995, -0.127685, 0.095163, 0.020534
6.299995, 0.060840, -0.006130, -0.033714
6.319995, 0.049353, 0.029803, -0.048570
6.339995, 0.010437, 0.019846, -0.018537
6.359995, -0.065691, 0.079464, -0.008050
6.379995, -0.067206, 0.010490, 0.034972
6.399995, -0.003955, 0.057800, -0.032837
6.419995, -0.009908, 0.023682, -0.008352
6.439995, -0.013975, 0.007232, 0.004189
6.459995, -0.023982, 0.047650, -0.014314
6.479995, 0.005451, -0.006731, 0.000751
6.499995, -0.027923, 0.028440, -0.000164
6.519995, -0.029313, 0.020491, 0.005542
6.539995, -0.052525, 0.082432, -0.017967
6.559995, -0.034973, 0.016331, 0.011565
6.579995, -0.025492, -0.003331, 0.017726
6.599995, -0.036661, 0.048692, -0.007144
6.619995, -0.007124, 0.008533, -0.000821
6.639995, -0.049078, 0.058334, -0.005384
6.659995, -0.048752, 0.036184, 0.007932
6.679995, -0.016085, 0.056672, -0.024681
6.699995, 0.012966, 0.020280, -0.020358
6.719995, -0.035541, 0.068879, -0.020151
6.739995, -0.009460, 0.065416, -0.034095
6.759995, 0.000853, 0.020862, -0.013256
6.779994, -0.023715, 0.023281, 0.000392
6.799994, -0.013697, 0.054006, -0.024524
6.819994, -0.000605, 0.005651, -0.003076
6.839994, -0.025606, 0.019288, 0.003993
6.859994, -0.011989, 0.046424, -0.020949
6.879994, 0.025529, 0.034705, -0.036895
6.899994, -0.005073, 0.042287, -0.022682
6.919994, 0.027373, -0.018374, -0.005639
6.939994, -0.015197, 0.032044, -0.010198
6.959994, -0.002870, 0.017524, -0.008927
6.979994, -0.033220, 0.031671, 0.001124
6.999994, -0.028432, 0.006336, 0.013637
7.019994, 0.002705, -0.004658, 0.001177
7.039994, 0.027457, 0.052618, -0.049013
7.059994, 0.006340, 0.048123, -0.033270
7.079994, 0.032006, 0.023188, -0.033854
7.099994, 0.092851, 0.005953, -0.060795
7.119994, 0.032445, 0.004092, -0.022472
7.139994, -0.027826, -0.021084, 0.029996
7.159994, 0.008567, 0.014154, -0.013912
7.179994, 0.020249, 0.018515, -0.023765
7.199994, -0.058004, 0.100817, -0.025813
7.219994, 0.001680, -0.070370, 0.041906
7.239994, 0.437366, -0.175642, -0.162076
7.259994, -0.352024, 0.291460, 0.038861
7.279994, 0.105798, 0.008969, -0.070608
7.299994, -0.075606, 0.000270, 0.046382
7.319994, 0.100098, -0.038750, -0.037977
7.339994, -0.084688, -0.000520, 0.052453
7.359994, 0.014895, 0.045769, -0.037100
7.379994, -0.075688, 0.069590, 0.004130
7.399994, -0.003224, 0.031159, -0.017029
7.419994, -0.041151, -0.065352, 0.065213
7.439994, -0.009047, -0.019843, 0.017678
7.459994, -0.027545, 0.045523, -0.010822
7.479994, 0.029406, -0.009557, -0.012272
7.499994, -0.012900, -0.026848, 0.024325
7.519994, -0.036589, 0.037898, -0.000602
7.539994, 0.022341, 0.018765, -0.025205
7.559994, -0.034314, 0.036876, -0.001378
7.579994, -0.021979, 0.014054, 0.004955
7.599994, 0.032917, 0.001776, -0.021349
7.619994, 0.068466, -0.010198, -0.035927
7.639994, -0.011512, -0.004404, 0.009774
7.659994, 0.024094, 0.012408, -0.022405
7.679994, -0.005611, 0.072643, -0.040875
7.699994, -0.046915, 0.046485, 0.000516
7.719994, 0.002652, -0.007537, 0.002966
7.739994, -0.017040, 0.019746, -0.001560
7.759994, -0.010320, 0.029051, -0.011375
7.779994, -0.033406, -0.002826, 0.022290
7.799994, -0.003949, 0.019923, -0.009727
7.819993, -0.024805, 0.053005, -0.017074
7.839993, -0.020090, 0.018465, 0.001101
7.859993, -0.020589, -0.030372, 0.031209
7.879993, -0.016689, 0.033385, -0.010098
7.899993, 0.046777, 0.022447, -0.042496
7.919993, -0.031320, 0.067116, -0.021675
7.939993, 0.007015, 0.020256, -0.016680
7.959993, -0.067714, 0.052205, 0.009830
7.979993, -0.008478, -0.029826, 0.023420
7.999993, -0.068185, 0.048798, 0.012198
8.019994, -0.048571, 0.063726, -0.008986
8.039994, 0.007649, 0.024218, -0.019488
8.059995, 0.040008, -0.001904, -0.023468
8.079995, -0.027543, 0.007509, 0.012374
8.099996, -0.082780, 0.048646, 0.021277
8.119996, -0.049024, 0.029671, 0.012074
8.139997, -0.042635, 0.007404, 0.021729
8.159997, 0.010080, 0.019626, -0.018182
8.179997, -0.011075, 0.039478, -0.017273
8.199998, 0.014340, 0.016375, -0.018821
8.219998, 0.020983, 0.003010, -0.014755
8.239999, -0.054985, 0.068889, -0.008187
8.259999, -0.003064, -0.006790, 0.006030
8.280000, -0.004885, 0.007733, -0.001712
8.300000, -0.056438, 0.012730, 0.026976
8.320001, 0.082421, -0.064600, -0.011321
8.340001, -0.072802, 0.323651, -0.152679
8.360002, -0.548262, 0.084987, 0.285666
8.380002, 0.044303, 0.075731, -0.073488
8.400002, 0.040413, -0.029691, -0.006761
8.420003, -0.019833, 0.029702, -0.005915
8.440003, -0.079451, -0.009531, 0.054729
8.460004, 0.020487, 0.048803, -0.042394
8.480004, -0.011923, 0.015516, -0.002128
8.500005, -0.020786, 0.022477, -0.000920
8.520005, 0.015595, 0.052837, -0.041844
8.540006, -0.024954, -0.014564, 0.024250
8.560006, -0.003412, 0.054850, -0.031370
8.580007, 0.015923, 0.021692, -0.023040
8.600007, -0.024221, -0.001049, 0.015552
8.620008, -0.021288, 0.017067, 0.002690
8.640008, 0.024660, 0.021271, -0.028162
8.660008, -0.000816, 0.036885, -0.022006
8.680009, -0.043390, 0.004471, 0.023984
8.700009, -0.019555, 0.000027, 0.012022
8.720010, 0.003777, 0.018885, -0.013849
8.740010, 0.001070, 0.033510, -0.021107
8.760011, 0.013118, 0.028027, -0.025179
8.780011, -0.033819, 0.024709, 0.005741
8.800012, 0.046890, -0.028000, -0.011781
8.820012, -0.002845, 0.005674, -0.001711
8.840013, 0.008341, -0.030720, 0.013611
8.860013, -0.044994, 0.061550, -0.009860
8.880013, -0.005183, -0.006154, 0.006946
8.900014, 0.009683, 0.017942, -0.016910
8.920014, 0.011687, -0.003366, -0.005141
8.940015, 0.010224, 0.015002, -0.015449
8.960015, 0.006700, 0.005600, -0.007542
8.980016, 0.025342, 0.055562, -0.049507
9.000016, 0.019934, 0.059416, -0.048530
9.020017, -0.065676, 0.042350, 0.014589
9.040017, -0.017083, 0.030266, -0.007952
9.060018, 0.025910, 0.051866, -0.047601
9.080018, -0.053583, 0.019106, 0.021329
9.100019, -0.029032, 0.016530, 0.007786
9.120019, -0.000031, -0.018547, 0.011337
9.140019, -0.006644, 0.047129, -0.024669
9.160020, -0.052034, 0.052894, -0.000243
9.180020, 0.034210, 0.019549, -0.032990
9.200021, -0.028265, 0.064306, -0.021841
9.220021, -0.071959, 0.060166, 0.007585
9.240022, 0.000223, -0.002243, 0.001232
9.260022, -0.044630, 0.005910, 0.023869
9.280023, 0.007316, -0.032162, 0.015122
9.300023, -0.007897, 0.022919, -0.009124
9.320024, -0.023942, 0.040498, -0.009974
9.340024, -0.035059, -0.025386, 0.037075
9.360024, -0.019030, -0.020937, 0.024492
9.380025, 0.006696, 0.015430, -0.013538
9.400025, -0.012587, 0.094856, -0.050135
9.420026, -0.184998, 0.217534, -0.018856
9.440026, 0.459116, -0.678081, 0.131140
9.460027, -0.144333, 0.130273, 0.009361
9.480027, -0.100714, 0.053756, 0.029198
9.500028, 0.016573, 0.072049, -0.054169
9.520028, -0.063198, -0.029499, 0.056909
9.540029, 0.022383, -0.028732, 0.003754
9.560029, -0.039719, -0.038874, 0.048174
9.580029, -0.052756, 0.097630, -0.027098
9.600030, 0.018934, 0.055380, -0.045451
9.620030, -0.028795, 0.034872, -0.003553
9.640031, 0.008670, 0.014419, -0.014137
9.660031, -0.009702, 0.031085, -0.012996
9.680032, -0.028194, 0.014829, 0.008308
9.700032, 0.020071, 0.027669, -0.029240
9.720033, -0.022862, 0.059404, -0.022176
9.740033, -0.013406, 0.011122, 0.001466
