t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, -11058.000000, -11536.000000, 12639.000000, -64.000000, 130.000000, 14.000000, 0.020000, -11207.000000, -11753.000000, 3078.000000, -260.000000, 211.000000, -7.000000, 0.020000, 528.000000, -11430.000000, -10628.000000, -50.000000, 174.000000, 97.000000, 0.020000, 144.000000, -11218.000000, -11097.000000, 15.000000, 64.000000, -94.000000, 0.020000, -11290.000000, 177.000000, -10826.000000, -76.000000, 88.000000, 182.000000, 0.020000, -11428.000000, 13.000000, -9360.000000, 38.000000, 99.000000, 109.000000
0.040000, -11051.000000, -11535.000000, 12608.000000, -78.000000, 134.000000, 21.000000, 0.040000, -11194.000000, -11736.000000, 3048.000000, -259.000000, 206.000000, -9.000000, 0.040000, 511.000000, -11416.000000, -10662.000000, -57.000000, 167.000000, 94.000000, 0.040000, 124.000000, -11188.000000, -11081.000000, 14.000000, 74.000000, -99.000000, 0.040000, -11312.000000, 141.000000, -10857.000000, -79.000000, 80.000000, 187.000000, 0.040000, -11432.000000, 18.000000, -9342.000000, 27.000000, 99.000000, 97.000000
0.060000, -11079.000000, -11507.000000, 12650.000000, -60.000000, 142.000000, 14.000000, 0.060000, -11179.000000, -11731.000000, 3063.000000, -263.000000, 206.000000, -3.000000, 0.060000, 502.000000, -11432.000000, -10648.000000, -37.000000, 170.000000, 86.000000, 0.060000, 143.000000, -11198.000000, -11065.000000, 17.000000, 74.000000, -97.000000, 0.060000, -11303.000000, 185.000000, -10856.000000, -78.000000, 84.000000, 177.000000, 0.060000, -11417.000000, 3.000000, -9376.000000, 33.000000, 98.000000, 112.000000
0.080000, -11104.000000, -11493.000000, 12676.000000, -74.000000, 123.000000, 20.000000, 0.080000, -11192.000000, -11735.000000, 3066.000000, -258.000000, 207.000000, -15.000000, 0.080000, 529.000000, -11440.000000, -10607.000000, -40.000000, 176.000000, 87.000000, 0.080000, 131.000000, -11196.000000, -11062.000000, 15.000000, 76.000000, -92.000000, 0.080000, -11306.000000, 172.000000, -10865.000000, -76.000000, 85.000000, 184.000000, 0.080000, -11426.000000, 37.000000, -9368.000000, 21.000000, 105.000000, 106.000000
0.100000, -11089.000000, -11513.000000, 12644.000000, -65.000000, 134.000000, 18.000000, 0.100000, -11212.000000, -11724.000000, 3101.000000, -257.000000, 204.000000, -5.000000, 0.100000, 526.000000, -11427.000000, -10671.000000, -51.000000, 167.000000, 89.000000, 0.100000, 152.000000, -11200.000000, -11122.000000, 17.000000, 70.000000, -100.000000, 0.100000, -11320.000000, 159.000000, -10872.000000, -78.000000, 85.000000, 194.000000, 0.100000, -11419.000000, 29.000000, -9376.000000, 31.000000, 92.000000, 102.000000
0.120000, -11078.000000, -11537.000000, 12655.000000, -69.000000, 134.000000, 15.000000, 0.120000, -11211.000000, -11737.000000, 3074.000000, -268.000000, 202.000000, -6.000000, 0.120000, 547.000000, -11425.000000, -10629.000000, -55.000000, 163.000000, 93.000000, 0.120000, 141.000000, -11193.000000, -11099.000000, 26.000000, 73.000000, -88.000000, 0.120000, -11304.000000, 175.000000, -10807.000000, -76.000000, 88.000000, 195.000000, 0.120000, -11434.000000, 7.000000, -9345.000000, 31.000000, 102.000000, 109.000000
0.140000, -11093.000000, -11505.000000, 12597.000000, -67.000000, 125.000000, 22.000000, 0.140000, -11228.000000, -11728.000000, 3073.000000, -261.000000, 220.000000, -11.000000, 0.140000, 543.000000, -11435.000000, -10614.000000, -50.000000, 169.000000, 86.000000, 0.140000, 131.000000, -11208.000000, -11098.000000, 14.000000, 69.000000, -102.000000, 0.140000, -11297.000000, 161.000000, -10846.000000, -75.000000, 94.000000, 183.000000, 0.140000, -11461.000000, 22.000000, -9346.000000, 30.000000, 105.000000, 103.000000
0.160000, -11076.000000, -11534.000000, 12664.000000, -69.000000, 143.000000, 21.000000, 0.160000, -11218.000000, -11723.000000, 3083.000000, -260.000000, 209.000000, -12.000000, 0.160000, 529.000000, -11409.000000, -10607.000000, -46.000000, 174.000000, 88.000000, 0.160000, 145.000000, -11173.000000, -11074.000000, 21.000000, 67.000000, -101.000000, 0.160000, -11320.000000, 166.000000, -10845.000000, -82.000000, 94.000000, 174.000000, 0.160000, -11435.000000, 24.000000, -9379.000000, 31.000000, 102.000000, 109.000000
0.180000, -11079.000000, -11505.000000, 12673.000000, -78.000000, 137.000000, 14.000000, 0.180000, -11216.000000, -11731.000000, 3073.000000, -252.000000, 208.000000, -8.000000, 0.180000, 504.000000, -11390.000000, -10642.000000, -39.000000, 173.000000, 77.000000, 0.180000, 167.000000, -11209.000000, -11072.000000, 17.000000, 65.000000, -95.000000, 0.180000, -11309.000000, 172.000000, -10848.000000, -81.000000, 84.000000, 187.000000, 0.180000, -11432.000000, 4.000000, -9366.000000, 39.000000, 93.000000, 105.000000
0.200000, -11084.000000, -11529.000000, 12654.000000, -66.000000, 134.000000, 14.000000, 0.200000, -11202.000000, -11728.000000, 3068.000000, -261.000000, 202.000000, -5.000000, 0.200000, 520.000000, -11378.000000, -10630.000000, -44.000000, 169.000000, 89.000000, 0.200000, 156.000000, -11190.000000, -11132.000000, 21.000000, 64.000000, -97.000000, 0.200000, -11301.000000, 166.000000, -10847.000000, -71.000000, 86.000000, 175.000000, 0.200000, -11419.000000, 29.000000, -9396.000000, 31.000000, 104.000000, 108.000000
