t, adc1, adc2, adc3
0.000000, 403.000000, 424.000000, 415.000000
0.020000, 403.000000, 425.000000, 415.000000
0.040000, 252.000000, 268.000000, 268.000000
0.060000, 333.000000, 351.000000, 350.000000
0.080000, 369.000000, 389.000000, 385.000000
0.100000, 385.000000, 405.000000, 401.000000
0.120000, 394.000000, 412.000000, 408.000000
0.140000, 397.000000, 419.000000, 412.000000
0.160000, 401.000000, 421.000000, 413.000000
0.180000, 400.000000, 421.000000, 412.000000
0.200000, 402.000000, 422.000000, 415.000000
0.220000, 403.000000, 425.000000, 416.000000
0.240000, 400.000000, 421.000000, 419.000000
0.260000, 402.000000, 422.000000, 414.000000
0.280000, 403.000000, 425.000000, 417.000000
0.300000, 403.000000, 424.000000, 416.000000
0.320000, 403.000000, 425.000000, 417.000000
0.340000, 405.000000, 424.000000, 416.000000
0.360000, 402.000000, 421.000000, 417.000000
0.380000, 402.000000, 424.000000, 415.000000
0.400000, 401.000000, 419.000000, 416.000000
0.420000, 402.000000, 423.000000, 417.000000
0.440000, 402.000000, 424.000000, 416.000000
0.460000, 403.000000, 424.000000, 415.000000
0.480000, 402.000000, 423.000000, 417.000000
0.500000, 403.000000, 428.000000, 416.000000
0.520000, 403.000000, 424.000000, 415.000000
0.540000, 402.000000, 425.000000, 416.000000
0.560000, 403.000000, 424.000000, 416.000000
0.580000, 402.000000, 423.000000, 416.000000
0.600000, 403.000000, 424.000000, 416.000000
0.620000, 402.000000, 423.000000, 417.000000
0.640000, 402.000000, 423.000000, 418.000000
0.660000, 404.000000, 424.000000, 418.000000
0.680000, 403.000000, 424.000000, 417.000000
0.700000, 403.000000, 424.000000, 417.000000
0.720000, 403.000000, 424.000000, 415.000000
0.740000, 403.000000, 422.000000, 417.000000
0.760000, 402.000000, 424.000000, 417.000000
0.780000, 404.000000, 425.000000, 418.000000
0.800000, 403.000000, 424.000000, 417.000000
0.820000, 403.000000, 424.000000, 415.000000
0.840000, 401.000000, 425.000000, 416.000000
0.860000, 403.000000, 425.000000, 415.000000
0.880000, 402.000000, 423.000000, 418.000000
0.900000, 403.000000, 425.000000, 417.000000
0.920000, 401.000000, 424.000000, 417.000000
0.940000, 403.000000, 425.000000, 416.000000
0.960000, 402.000000, 424.000000, 416.000000
0.980000, 403.000000, 425.000000, 418.000000
1.000000, 402.000000, 422.000000, 418.000000
1.020000, 402.000000, 424.000000, 417.000000
1.040000, 403.000000, 424.000000, 416.000000
1.060000, 401.000000, 425.000000, 417.000000
1.080000, 403.000000, 424.000000, 416.000000
1.100000, 402.000000, 427.000000, 420.000000
1.120000, 404.000000, 425.000000, 417.000000
1.140000, 402.000000, 423.000000, 417.000000
1.159999, 404.000000, 424.000000, 416.000000
1.179999, 403.000000, 423.000000, 414.000000
1.199999, 404.000000, 425.000000, 418.000000
1.219999, 402.000000, 423.000000, 415.000000
1.239999, 403.000000, 425.000000, 414.000000
1.259999, 403.000000, 425.000000, 417.000000
1.279999, 402.000000, 424.000000, 418.000000
1.299999, 403.000000, 426.000000, 416.000000
1.319999, 403.000000, 424.000000, 415.000000
1.339999, 402.000000, 425.000000, 416.000000
1.359999, 402.000000, 425.000000, 415.000000
1.379999, 401.000000, 424.000000, 415.000000
1.399999, 403.000000, 425.000000, 415.000000
1.419999, 403.000000, 423.000000, 416.000000
1.439999, 403.000000, 424.000000, 417.000000
1.459999, 402.000000, 424.000000, 417.000000
1.479999, 403.000000, 425.000000, 416.000000
