t_g, g1, g2, g3
0.000000, 0.000000, -0.001155, -3.131334
0.020000, 0.000000, -0.009563, 3.138756
0.040000, 0.000000, -0.034258, -3.141556
0.060000, 0.000000, -0.019536, 3.135391
0.080000, 0.000000, -0.005592, 3.139620
0.100000, 0.000000, -0.012723, -3.140971
0.120000, 0.000000, -0.008645, -3.139030
0.140000, 0.000000, -0.011772, -3.133487
0.160000, 0.000000, -0.013422, -3.122986
0.180000, 0.000000, -0.007940, -3.129367
0.200000, 0.000000, -0.019144, -3.119635
0.220000, 0.000000, 0.005822, -3.122397
0.240000, 0.000000, -0.004533, -3.114678
0.260000, 0.000000, -0.031617, -3.124816
0.280000, 0.000000, -0.013473, -3.137908
0.300000, 0.000000, -0.022965, -3.127262
0.320000, 0.000000, -0.003521, -3.121095
0.340000, 0.000000, -0.007301, -3.136078
0.360000, 0.000000, -0.012999, -3.131845
0.380000, 0.000000, 0.002447, -3.136694
0.400000, 0.000000, -0.020331, -3.136840
0.420000, 0.000000, -0.002554, 3.119424
0.440000, 0.000000, -0.000978, 3.135251
0.460000, 0.000000, -0.005342, -3.140372
0.480000, 0.000000, 0.002180, -3.135065
0.500000, 0.000000, -0.013312, -3.126982
0.520000, 0.000000, 0.005705, 3.136136
0.540000, 0.000000, -0.012756, -3.141094
0.560000, 0.000000, 0.000451, -3.129754
0.580000, 0.000000, -0.003298, -3.135529
0.600000, 0.000000, 0.005433, -3.132911
0.620000, 0.000000, -0.012696, -3.136776
0.640000, 0.000000, -0.014839, -3.135434
0.660000, 0.000000, 0.000422, 3.138227
0.680000, 0.000000, -0.021991, -3.137969
0.700000, 0.000000, -0.026856, -3.120291
0.720000, 0.000000, -0.020919, -3.137991
0.740000, 0.000000, -0.003112, -3.129636
0.760000, 0.000000, -0.018956, 3.135946
0.780000, 0.000000, -0.016821, 3.131181
0.800000, 0.000000, -0.031744, 3.126213
0.820000, 0.000000, -0.006925, -3.137285
0.840000, 0.000000, -0.019277, -3.123215
0.860000, 0.000000, -0.009403, -3.134849
0.880000, 0.000000, 0.001388, 3.128974
0.900000, 0.000000, -0.016498, -3.134580
0.920000, 0.000000, -0.011739, -3.130016
0.940000, 0.000000, -0.014987, -3.137268
