t_tm, tm1, tm2, tm3
0.000000, 11.493301, 10.871378, -13.788624
0.020000, -11.486842, -10.945832, 13.813991
0.040000, 11.661771, 10.786838, -13.829844
0.060000, -11.437252, -10.971834, 13.796760
0.080000, -11.505067, -10.932435, 13.817568
0.100000, 11.576529, 10.867027, -13.827067
0.120000, 11.555003, 10.875516, -13.817880
0.140000, 11.547093, 10.845050, -13.793174
0.160000, 11.514356, 10.800362, -13.746948
0.180000, 11.517748, 10.843684, -13.774603
0.200000, 11.525214, 10.768415, -13.731297
0.220000, 11.438586, 10.870378, -13.742673
0.240000, 11.450102, 10.805452, -13.710966
0.260000, 11.591005, 10.737674, -13.756106
0.280000, 11.569468, 10.852736, -13.813050
0.300000, 11.566630, 10.780689, -13.767826
0.320000, 11.469886, 10.831661, -13.737823
0.340000, 11.539029, 10.870532, -13.803419
0.360000, 11.545502, 10.835374, -13.786251
0.380000, 11.503288, 10.909280, -13.805265
0.400000, 11.591980, 10.823056, -13.807951
0.420000, -11.442463, -10.851171, 13.728258
0.440000, -11.506103, -10.899206, 13.798974
0.460000, 11.547253, 10.893220, -13.823804
0.480000, 11.499082, 10.903757, -13.799702
0.500000, 11.528792, 10.815248, -13.763324
0.520000, -11.536562, -10.876955, 13.803864
0.540000, 11.577583, 10.865253, -13.827268
0.560000, 11.485703, 10.877498, -13.776431
0.580000, 11.520573, 10.884014, -13.801885
0.600000, 11.477997, 10.906726, -13.789778
0.620000, 11.561874, 10.852061, -13.808057
0.640000, 11.565582, 10.839140, -13.801533
0.660000, -11.523713, -10.905343, 13.810804
0.680000, 11.602654, 10.821056, -13.814012
0.700000, 11.556346, 10.742005, -13.735789
0.720000, 11.598481, 10.825153, -13.814027
0.740000, 11.499542, 10.865050, -13.776763
0.760000, -11.441642, -10.970579, 13.801272
0.780000, -11.431323, -10.945276, 13.779307
0.800000, -11.359138, -10.987118, 13.755492
0.820000, 11.541835, 10.875514, -13.809185
0.840000, 11.539330, 10.779470, -13.748428
0.860000, 11.541873, 10.859006, -13.800476
0.880000, -11.494178, -10.869275, 13.771696
0.900000, 11.568375, 10.831555, -13.798274
0.920000, 11.533875, 10.831408, -13.776545
0.940000, 11.572049, 10.845909, -13.809581
0.960000, -11.500961, -10.918455, 13.804886
0.980000, 11.570640, 10.857228, -13.814367
1.000000, -11.409596, -10.969883, 13.780066
1.020000, -11.314934, -10.915901, 13.690512
1.040000, 11.541416, 10.860772, -13.799503
1.060000, 11.447217, 10.876535, -13.749352
1.080000, -11.340881, -11.033998, 13.774385
1.100000, 11.495906, 10.879825, -13.780329
1.120000, 11.575544, 10.743454, -13.749920
1.140000, -11.372279, -10.871276, 13.696678
1.159999, -11.471948, -10.944530, 13.803721
1.179999, 11.527826, 10.868946, -13.797024
1.199999, 11.491183, 10.859410, -13.768119
1.219999, 11.578975, 10.794491, -13.783544
1.239999, 11.528935, 10.827234, -13.771372
1.259999, 11.482123, 10.832660, -13.745757
1.279999, -11.438445, -10.987659, 13.809406
1.299999, -11.450623, -10.924225, 13.777831
1.319999, -11.462446, -10.954212, 13.805572
1.339999, -11.451476, -10.988443, 13.818254
1.359999, -11.416380, -10.954860, 13.775636
1.379999, -11.531836, -10.851264, 13.785592
1.399999, 11.463685, 10.881368, -13.762660
1.419999, -11.463188, -10.941216, 13.796494
1.439999, 11.566710, 10.862448, -13.819459
1.459999, 11.587492, 10.859841, -13.827064
1.479999, 11.506543, 10.798949, -13.739589
1.499999, 11.539575, 10.889425, -13.815178
1.519999, -11.451005, -10.841408, 13.730328
1.539999, -11.496092, -10.941849, 13.818805
1.559999, 11.554113, 10.859300, -13.805466
1.579999, -11.472535, -10.979323, 13.825171
1.599999, 11.521576, 10.910363, -13.817672
1.619999, 11.496058, 10.887459, -13.788222
1.639999, 11.595564, 10.756833, -13.767753
1.659999, 11.535031, 10.885098, -13.810909
1.679999, 11.527526, 10.837459, -13.777517
1.699999, -11.518956, -10.933350, 13.826923
1.719999, 11.559811, 10.801665, -13.775640
1.739999, 11.519531, 10.901632, -13.809689
1.759999, 11.468677, 10.920157, -13.789894
1.779999, 11.521524, 10.810502, -13.754333
1.799999, -11.494250, -10.930098, 13.810127
1.819999, 11.616666, 10.820922, -13.821407
1.839999, -11.536828, -10.911130, 13.823376
1.859999, -11.433131, -10.854268, 13.726764
1.879999, 11.497066, 10.884742, -13.788953
1.899999, 11.572542, 10.722956, -13.735656
1.919999, 11.543731, 10.746896, -13.733101
1.939999, 11.405215, 10.858144, -13.713077
1.959999, 11.541977, 10.848250, -13.791328
1.979999, 11.493258, 10.868211, -13.775679
1.999999, 11.615331, 10.820705, -13.820933
2.019999, -11.421342, -10.947127, 13.774316
2.039999, -11.467772, -10.890990, 13.770912
2.059999, 11.554869, 10.886168, -13.822780
2.079999, -11.440869, -10.947938, 13.785893
2.099999, 11.385062, 10.856832, -13.701227
2.119999, 11.507915, 10.883354, -13.791905
2.139999, 11.514070, 10.841244, -13.771662
2.159999, 11.570135, 10.864223, -13.819640
2.179999, -11.549875, -10.901043, 13.824335
2.199999, -11.470448, -10.925745, 13.791361
2.219999, -11.425365, -10.996856, 13.806498
2.239999, -11.402924, -11.024826, 13.810403
2.259999, 11.586661, 10.855195, -13.825286
2.279999, -11.463598, -10.924626, 13.786077
2.299999, -11.421687, -10.903131, 13.749927
2.319999, 11.586181, 10.836325, -13.813766
2.339998, 11.436976, 10.845579, -13.725772
2.359998, 11.419415, 10.803679, -13.687322
2.379998, 11.599053, 10.816810, -13.809074
2.399998, 11.509437, 10.863588, -13.782833
2.419998, -11.506130, -10.925944, 13.814599
2.439998, 11.524564, 10.866502, -13.792807
2.459998, 11.521212, 10.881514, -13.800735
2.479998, 11.512596, 10.817444, -13.755752
2.499998, -11.424614, -10.923821, 13.764409
2.519998, -11.463511, -10.981868, 13.821942
2.539998, 11.528922, 10.824578, -13.769004
2.559998, 11.605657, 10.819778, -13.807085
2.579998, -11.483727, -10.961113, 13.821259
2.599998, 11.585678, 10.806934, -13.792152
2.619998, 11.487161, 10.863322, -13.768440
2.639998, 11.596292, 10.841475, -13.822011
2.659998, 11.561255, 10.819652, -13.784778
2.679998, -11.408415, -10.960547, 13.775075
2.699998, -11.432759, -10.936029, 13.774286
2.719998, -11.446692, -10.890339, 13.756013
2.739998, -11.410773, -10.995997, 13.798195
2.759998, -11.453744, -10.951539, 13.797449
2.779998, -11.400806, -10.929604, 13.749323
2.799998, -11.407138, -10.929070, 13.755697
2.819998, 11.588787, 10.834289, -13.812389
2.839998, 11.600515, 10.810493, -13.806759
2.859998, 11.562831, 10.773452, -13.758469
2.879998, 11.525161, 10.899928, -13.813372
2.899998, 11.605724, 10.747834, -13.771065
2.919998, 11.484776, 10.784461, -13.717407
2.939998, 11.542385, 10.825980, -13.777244
2.959998, 11.491621, 10.878695, -13.780397
2.979998, -11.452515, -10.974173, 13.811577
2.999998, -11.468154, -10.948190, 13.803827
3.019998, 11.461604, 10.815523, -13.722652
3.039998, -11.512349, -10.914867, 13.811022
3.059998, 11.549846, 10.854285, -13.801908
3.079998, 11.548452, 10.775566, -13.750978
3.099998, 11.545604, 10.686194, -13.695125
3.119998, -11.421756, -10.927583, 13.762096
3.139998, 11.544920, 10.842013, -13.790005
3.159998, 11.487774, 10.822094, -13.743592
3.179998, -11.430615, -11.015308, 13.824168
3.199998, -11.411517, -10.998001, 13.800730
3.219998, -11.411336, -10.953633, 13.773199
3.239998, -11.460951, -10.857325, 13.744535
3.259998, 11.578691, 10.828499, -13.803763
3.279998, -11.532903, -10.883632, 13.804598
3.299998, 11.519735, 10.873747, -13.791410
3.319998, 11.512034, 10.822904, -13.758530
3.339998, -11.434153, -10.925975, 13.769833
3.359998, -11.470933, -10.900594, 13.776081
3.379997, -11.395549, -11.001775, 13.793154
3.399997, 11.560128, 10.888835, -13.828013
3.419997, 11.534384, 10.765162, -13.735724
3.439997, 11.533727, 10.906228, -13.820170
3.459997, -11.456145, -10.969752, 13.810024
3.479997, 11.568424, 10.852359, -13.812487
3.499997, 11.548311, 10.877263, -13.813202
3.519997, 11.529675, 10.769305, -13.735353
3.539997, 11.575839, 10.798859, -13.783683
3.559997, 11.554404, 10.879487, -13.820382
3.579997, 11.499431, 10.868292, -13.777343
3.599997, -11.479012, -10.928337, 13.796103
3.619997, 11.532150, 10.862603, -13.796760
3.639997, 11.585973, 10.832228, -13.810326
3.659997, 11.597394, 10.780248, -13.783885
3.679997, 11.502521, 10.866289, -13.779813
3.699997, 11.508856, 10.776928, -13.728846
3.719997, 11.491198, 10.833853, -13.751555
3.739997, 11.587062, 10.792208, -13.786977
3.759997, 11.580534, 10.807390, -13.792076
3.779997, 11.553048, 10.885597, -13.823774
3.799997, 11.528366, 10.784000, -13.742804
3.819997, 11.538595, 10.764601, -13.739541
3.839997, -11.527558, -10.911709, 13.820092
3.859997, 11.534766, 10.852048, -13.790906
3.879997, 11.660760, 10.775126, -13.820787
3.899997, -11.533036, -10.889786, 13.808352
3.919997, -11.440669, -10.894363, 13.754943
3.939997, -11.401285, -11.002312, 13.797658
3.959997, 11.546033, 10.769352, -13.745674
3.979997, -11.487278, -10.951279, 13.818820
3.999997, 11.581110, 10.854569, -13.819613
4.019997, 11.529656, 10.860895, -13.793280
4.039997, 11.510877, 10.865834, -13.784718
4.059997, 11.546517, 10.893007, -13.821754
4.079997, 11.602131, 10.848212, -13.830647
4.099997, -11.500139, -10.940607, 13.819351
4.119997, -11.438762, -10.960992, 13.792863
4.139997, -11.407463, -10.909360, 13.743423
4.159997, 11.535007, 10.869376, -13.800127
4.179997, 11.595933, 10.752921, -13.765794
4.199997, 11.487840, 10.790861, -13.723856
4.219997, -11.513682, -10.932686, 13.820887
4.239997, 11.562992, 10.833899, -13.801094
4.259997, -11.535008, -10.904674, 13.819554
4.279997, 11.513604, 10.824391, -13.758753
4.299997, 11.505322, 10.806774, -13.744650
4.319997, 11.535618, 10.808197, -13.763019
4.339997, 11.590361, 10.751753, -13.763705
4.359997, 11.625449, 10.794456, -13.809347
4.379997, 11.484116, 10.852537, -13.758336
4.399997, 11.528887, 10.861732, -13.792799
4.419997, 11.596373, 10.793863, -13.791982
4.439997, 11.558970, 10.764426, -13.751189
4.459997, -11.516006, -10.926858, 13.821653
4.479997, 11.621683, 10.826454, -13.829118
4.499997, 11.424112, 10.935925, -13.774474
4.519997, -11.543730, -10.870675, 13.804307
4.539997, -11.409606, -10.884727, 13.731100
4.559997, -11.429115, -11.016993, 13.823103
4.579997, 11.515605, 10.919980, -13.819904
4.599997, 11.563942, 10.856724, -13.809706
4.619997, 11.452628, 10.875409, -13.754552
4.639997, -11.499840, -10.926208, 13.810337
