t_uk, uk1, uk2, uk3
0.000000, -0.001630, -0.001105, -0.001775
0.020000, -0.002437, -0.001804, -0.001981
0.040000, -0.001794, -0.001213, -0.001548
0.060000, -0.002000, -0.001315, -0.002154
0.080000, -0.002393, -0.001547, -0.001857
0.100000, -0.002136, -0.001221, -0.001717
0.120000, -0.002290, -0.001013, -0.001622
0.140000, -0.002265, -0.000848, -0.001486
0.160000, -0.002088, -0.001077, -0.001163
0.180000, -0.001698, -0.001175, -0.002010
0.200000, -0.002549, -0.001460, -0.001928
0.220000, -0.002437, -0.001331, -0.001913
0.240000, -0.001567, -0.001358, -0.001591
0.260000, -0.002022, -0.001384, -0.001853
0.280000, -0.002347, -0.001684, -0.001443
0.300000, -0.002234, -0.001549, -0.002272
0.320000, -0.002324, -0.001306, -0.001797
0.340000, -0.002273, -0.001613, -0.001652
0.360000, -0.002478, -0.000249, -0.002170
0.380000, -0.002519, -0.000682, -0.001608
0.400000, -0.002338, -0.000996, -0.001624
0.420000, -0.001676, -0.001270, -0.001919
0.440000, -0.002232, -0.001408, -0.001878
0.460000, -0.002205, -0.000434, -0.002006
0.480000, -0.002708, -0.000602, -0.002524
0.500000, -0.001807, -0.001225, -0.001568
0.520000, -0.002585, -0.001084, -0.001239
0.540000, -0.002506, -0.001363, -0.002110
0.560000, -0.002773, -0.001315, -0.001379
0.580000, -0.002498, -0.001494, -0.000919
0.600000, -0.002634, -0.000666, -0.001540
0.620000, -0.002824, -0.001482, -0.001636
0.640000, -0.002540, -0.000858, -0.001807
0.660000, -0.001880, -0.000825, -0.001566
0.680000, -0.001958, -0.001289, -0.002033
0.700000, -0.002404, -0.001010, -0.001376
0.720000, -0.002144, -0.001379, -0.002040
0.740000, -0.002269, -0.000945, -0.001853
0.760000, -0.002544, -0.001666, -0.001657
0.780000, -0.001829, -0.000480, -0.001632
0.800000, -0.002089, -0.000964, -0.001483
0.820000, -0.001955, -0.001681, -0.001647
0.840000, -0.002221, -0.001528, -0.001898
0.860000, -0.002752, -0.000946, -0.002071
0.880000, -0.002680, -0.001540, -0.001383
0.900000, -0.002320, -0.001272, -0.001921
0.920000, -0.001951, -0.001632, -0.001582
0.940000, -0.002386, -0.000750, -0.001698
0.960000, -0.002459, -0.000943, -0.002063
0.980000, -0.001558, -0.000840, -0.001657
1.000000, -0.002408, -0.000977, -0.001072
1.020000, -0.003102, -0.001553, -0.004280
1.040000, -0.001257, -0.001882, -0.002702
1.060000, -0.002440, 0.003296, 0.005920
1.080000, -0.002498, -0.008387, -0.008949
1.100000, -0.001487, 0.005325, 0.000973
1.120000, -0.002859, -0.005580, -0.000450
1.140000, -0.001900, 0.001282, -0.002828
1.159999, -0.002265, -0.003878, -0.002540
1.179999, -0.002329, -0.000494, 0.000112
1.199999, -0.002460, -0.001269, -0.002303
1.219999, -0.002664, -0.002795, -0.000796
1.239999, -0.001911, -0.000363, -0.002719
1.259999, -0.002298, -0.002323, -0.000937
1.279999, -0.001525, -0.001733, -0.003163
1.299999, -0.002633, -0.001977, -0.000439
1.319999, -0.001819, -0.000162, -0.003267
1.339999, -0.002734, -0.002397, -0.000281
1.359999, -0.001485, 0.000005, -0.002544
