t_ur, ur1, ur2, ur3
0.000000, 0.413409, 0.113885, 5.923274
0.020000, 0.412602, -0.397801, 0.301974
0.040000, -0.097742, 0.113778, 0.813393
0.060000, 0.413039, 0.113675, 1.323896
0.080000, 0.412646, 0.113443, -0.208889
0.100000, -0.098083, 0.624878, 0.813224
0.120000, 0.412749, 0.113978, 0.302333
0.140000, 0.412774, 0.114142, -0.208517
0.160000, 0.412951, -0.397073, 0.813779
0.180000, 0.413341, -0.397172, 0.301945
0.200000, 0.412490, -0.397456, -0.719946
0.220000, 0.412602, -0.908313, 0.813028
0.240000, 0.413472, 0.113633, 0.813351
0.260000, 0.413017, -0.397380, 0.813088
0.280000, 0.412692, 0.113307, 0.302512
0.300000, 0.412805, 0.624550, 0.301683
0.320000, 0.412715, -0.397302, 0.302158
0.340000, -0.098221, 0.113377, -0.208683
0.360000, 0.412561, 0.114742, -0.209201
0.380000, -0.098467, -0.396678, 0.302347
0.400000, 0.412701, -0.396992, 0.302331
0.420000, 0.413363, 0.113720, 0.302036
0.440000, 0.412807, 0.113583, -0.719895
0.460000, 0.412834, 0.114556, 0.301949
0.480000, 0.412331, 0.114388, -0.209555
0.500000, -0.097754, -0.397221, 0.302387
0.520000, -0.098533, 0.113907, -0.208270
0.540000, 0.412533, -0.397359, 1.323940
0.560000, 0.412266, 0.113676, 0.302576
0.580000, -0.098445, 0.624604, 0.303036
0.600000, 0.412405, -0.396662, 0.813402
0.620000, 0.412215, 0.113508, 0.302319
0.640000, 0.412499, -0.396854, 0.302148
0.660000, 0.413159, 0.114165, 0.813375
0.680000, 0.413081, 0.113701, 0.301922
0.700000, 0.412635, 0.113980, -0.208407
0.720000, 0.412895, 0.113611, 0.301915
0.740000, 0.412770, 0.625154, -0.208884
0.760000, -0.098491, 0.113324, 0.302298
0.780000, 0.413210, 0.114510, 0.302323
0.800000, -0.098037, 0.114026, 2.857526
0.820000, -0.097903, 0.113309, 0.302308
0.840000, 0.923927, -0.397524, -0.208930
0.860000, 0.412287, 0.625152, 0.301884
0.880000, -0.098627, 0.113450, 0.302572
0.900000, -0.098267, 0.624827, -0.208952
0.920000, -0.097898, -0.397629, 0.302373
0.940000, -0.098334, 0.114240, 0.302257
0.960000, 0.412580, 0.625156, 0.301893
0.980000, 0.413481, -0.396837, -0.208688
