t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, 390.000000, 167.000000, -4073.000000, -79.000000, 140.000000, 36.000000, 0.020000, 336.000000, -159.000000, -13501.000000, -264.000000, 227.000000, -7.000000, 0.020000, -16163.000000, -94.000000, 866.000000, -48.000000, 169.000000, 91.000000, 0.020000, -16168.000000, 306.000000, 706.000000, 20.000000, 70.000000, -111.000000, 0.020000, 142.000000, -16377.000000, 897.000000, -98.000000, 80.000000, 193.000000, 0.020000, 330.000000, -16296.000000, 2321.000000, 21.000000, 93.000000, 115.000000
0.040000, 342.000000, 175.000000, -4045.000000, -66.000000, 132.000000, 27.000000, 0.040000, 381.000000, -171.000000, -13521.000000, -260.000000, 213.000000, 3.000000, 0.040000, -16182.000000, -88.000000, 883.000000, -44.000000, 164.000000, 76.000000, 0.040000, -16143.000000, 254.000000, 677.000000, 15.000000, 57.000000, -112.000000, 0.040000, 140.000000, -16316.000000, 884.000000, -113.000000, 86.000000, 194.000000, 0.040000, 353.000000, -16313.000000, 2405.000000, 24.000000, 113.000000, 102.000000
0.060000, 370.000000, 152.000000, -4063.000000, -90.000000, 126.000000, 32.000000, 0.060000, 357.000000, -169.000000, -13538.000000, -249.000000, 219.000000, -16.000000, 0.060000, -16200.000000, -83.000000, 833.000000, -42.000000, 181.000000, 95.000000, 0.060000, -16137.000000, 347.000000, 704.000000, 8.000000, 72.000000, -108.000000, 0.060000, 115.000000, -16365.000000, 924.000000, -92.000000, 92.000000, 201.000000, 0.060000, 315.000000, -16310.000000, 2445.000000, 22.000000, 119.000000, 143.000000
0.080000, 381.000000, 195.000000, -4060.000000, -54.000000, 122.000000, 27.000000, 0.080000, 364.000000, -146.000000, -13530.000000, -270.000000, 218.000000, -25.000000, 0.080000, -16188.000000, -123.000000, 935.000000, -38.000000, 176.000000, 85.000000, 0.080000, -16159.000000, 309.000000, 688.000000, 17.000000, 60.000000, -124.000000, 0.080000, 178.000000, -16365.000000, 893.000000, -93.000000, 78.000000, 191.000000, 0.080000, 282.000000, -16344.000000, 2409.000000, 18.000000, 114.000000, 118.000000
0.100000, 345.000000, 149.000000, -3983.000000, -88.000000, 123.000000, 42.000000, 0.100000, 333.000000, -117.000000, -13546.000000, -250.000000, 200.000000, -5.000000, 0.100000, -16140.000000, -82.000000, 867.000000, -36.000000, 169.000000, 115.000000, 0.100000, -16173.000000, 326.000000, 697.000000, 29.000000, 85.000000, -92.000000, 0.100000, 173.000000, -16394.000000, 934.000000, -94.000000, 75.000000, 165.000000, 0.100000, 262.000000, -16339.000000, 2320.000000, 18.000000, 97.000000, 119.000000
0.120000, 334.000000, 139.000000, -4028.000000, -79.000000, 129.000000, 26.000000, 0.120000, 331.000000, -207.000000, -13512.000000, -259.000000, 195.000000, -8.000000, 0.120000, -16148.000000, -101.000000, 920.000000, -55.000000, 186.000000, 90.000000, 0.120000, -16121.000000, 371.000000, 695.000000, 9.000000, 93.000000, -129.000000, 0.120000, 194.000000, -16376.000000, 848.000000, -84.000000, 82.000000, 191.000000, 0.120000, 312.000000, -16341.000000, 2382.000000, 29.000000, 114.000000, 137.000000
0.140000, 348.000000, 154.000000, -4057.000000, -96.000000, 120.000000, 13.000000, 0.140000, 316.000000, -202.000000, -13561.000000, -253.000000, 204.000000, -16.000000, 0.140000, -16159.000000, -102.000000, 855.000000, -54.000000, 168.000000, 79.000000, 0.140000, -16144.000000, 337.000000, 677.000000, 10.000000, 85.000000, -86.000000, 0.140000, 115.000000, -16398.000000, 842.000000, -89.000000, 78.000000, 206.000000, 0.140000, 274.000000, -16279.000000, 2332.000000, 22.000000, 102.000000, 97.000000
0.160000, 374.000000, 158.000000, -4096.000000, -84.000000, 127.000000, 37.000000, 0.160000, 393.000000, -170.000000, -13606.000000, -255.000000, 220.000000, -10.000000, 0.160000, -16153.000000, -120.000000, 854.000000, -30.000000, 167.000000, 88.000000, 0.160000, -16161.000000, 291.000000, 695.000000, 14.000000, 69.000000, -103.000000, 0.160000, 143.000000, -16351.000000, 899.000000, -86.000000, 87.000000, 195.000000, 0.160000, 334.000000, -16323.000000, 2379.000000, -1.000000, 120.000000, 121.000000
0.180000, 336.000000, 197.000000, -4099.000000, -88.000000, 152.000000, 32.000000, 0.180000, 335.000000, -159.000000, -13494.000000, -248.000000, 216.000000, -28.000000, 0.180000, -16115.000000, -67.000000, 955.000000, -30.000000, 174.000000, 70.000000, 0.180000, -16132.000000, 351.000000, 701.000000, 11.000000, 79.000000, -113.000000, 0.180000, 122.000000, -16390.000000, 903.000000, -93.000000, 101.000000, 190.000000, 0.180000, 286.000000, -16301.000000, 2412.000000, 29.000000, 105.000000, 107.000000
0.200000, 311.000000, 200.000000, -4065.000000, -73.000000, 143.000000, 34.000000, 0.200000, 331.000000, -190.000000, -13540.000000, -264.000000, 217.000000, 1.000000, 0.200000, -16199.000000, -104.000000, 861.000000, -39.000000, 156.000000, 77.000000, 0.200000, -16175.000000, 317.000000, 625.000000, 7.000000, 77.000000, -91.000000, 0.200000, 173.000000, -16357.000000, 901.000000, -102.000000, 83.000000, 198.000000, 0.200000, 336.000000, -16348.000000, 2387.000000, 5.000000, 119.000000, 106.000000
