t_g, g1, g2, g3
0.000000, -9.391196, -0.043227, 0.186732
0.020000, -9.525592, -0.055171, 0.133265
0.040000, -9.530687, -0.099228, 0.333671
0.060000, -9.546220, 0.010253, 0.071429
0.080000, -9.560843, 0.216159, 0.057112
0.100000, -9.419873, 0.157697, 0.174338
0.120000, -9.579511, -0.010347, 0.297029
0.140000, -9.542603, 0.078284, 0.073539
0.160000, -9.565901, 0.083143, 0.174155
0.180000, -9.597257, 0.002971, 0.203922
0.200000, -9.402217, -0.108307, 0.145942
0.220000, -9.533245, -0.105346, 0.051252
0.240000, -9.656837, -0.034018, 0.151322
0.260000, -9.576191, 0.159928, 0.199603
0.280000, -9.572112, 0.169705, 0.181355
0.300000, -9.611488, -0.080526, 0.175238
0.320000, -9.534314, 0.208750, 0.076405
0.340000, -9.638940, 0.129755, -0.014472
0.360000, 38.024136, -0.118938, 0.022991
0.380000, 0.792365, 0.768735, 1.460323
0.400000, -46.975521, 0.760318, 1.762132
0.420000, -9.673041, -0.009248, 0.204567
0.440000, -9.418620, -0.121263, 0.189601
0.460000, -9.513183, 0.074140, 0.167764
0.480000, -9.548386, 0.077815, 0.060542
0.500000, -9.510588, -0.136330, 0.082946
0.520000, -9.452938, 0.194554, 0.041539
0.540000, -9.668332, 0.177855, 0.097838
0.560000, -9.576850, 0.157585, 0.160398
0.580000, -9.492885, 0.093475, 0.068704
0.600000, -9.397493, -0.082353, 0.152347
0.620000, -9.773905, 0.029247, 0.153060
0.640000, -9.549007, -0.051169, -0.063841
0.660000, -9.629916, -0.057847, 0.080594
0.680000, -9.409225, 0.013215, 0.344396
0.700000, -9.729941, -0.046296, 0.102784
0.720000, -9.706719, -0.112782, 0.068417
0.740000, -9.604556, -0.009481, -0.022976
0.760000, -9.573982, -0.001553, 0.109808
0.780000, -9.654312, 0.044556, -0.019606
0.800000, -9.690283, 0.039412, 0.181862
0.820000, -9.671440, 0.028920, 0.007261
0.840000, -9.493011, 0.186255, 0.202571
0.860000, -9.563875, 0.055152, 0.114808
0.880000, -9.619207, 0.063887, 0.146228
0.900000, -9.576138, -0.037843, -0.100830
0.920000, -9.641479, 0.137660, 0.197713
0.940000, -9.621307, -0.070573, 0.004688
0.960000, -9.483376, 0.015799, -0.034253
0.980000, -9.810000, 0.000000, 0.000000
1.000000, -9.808291, 0.000423, 0.000474
1.020000, -9.806879, 0.000390, 0.002184
1.040000, -9.805149, -0.000402, 0.003438
1.060000, -9.804021, -0.000491, 0.004610
1.080000, -9.801628, -0.000470, 0.004988
1.100000, -9.800799, -0.000436, 0.006169
1.120000, -9.802117, -0.000026, 0.006514
1.140000, -9.801051, 0.001788, 0.007009
1.159999, -9.799340, 0.001047, 0.008586
1.179999, -9.797115, 0.000385, 0.009625
1.199999, -9.795205, -0.000039, 0.008794
1.219999, -9.794643, 0.000417, 0.007380
1.239999, -9.792108, 0.000147, 0.008118
1.259999, -9.789010, -0.001045, 0.008525
1.279999, -9.783978, -0.000755, 0.010856
1.299999, -9.782913, -0.001444, 0.011736
1.319999, -9.779664, -0.001412, 0.012388
1.339999, -9.778044, -0.001360, 0.012590
1.359999, -9.776512, -0.001546, 0.012319
1.379999, -9.774820, -0.002294, 0.012592
1.399999, -9.773022, -0.002633, 0.014247
1.419999, -9.771492, -0.004906, 0.015314
1.439999, -9.771105, -0.005818, 0.015563
1.459999, -9.768888, -0.004787, 0.015318
1.479999, -9.767715, -0.003056, 0.018119
1.499999, -9.766404, -0.002472, 0.019908
1.519999, -9.765419, -0.002416, 0.020475
1.539999, -9.763222, -0.003017, 0.021303
1.559999, -9.760874, -0.001933, 0.019514
1.579999, -9.758328, -0.002305, 0.020869
1.599999, -9.756108, -0.000961, 0.021386
1.619999, -9.754855, -0.001006, 0.021916
1.639999, -9.753231, -0.001848, 0.023494
1.659999, -9.753119, -0.002882, 0.024136
1.679999, -9.752635, -0.002784, 0.023468
1.699999, -9.751270, -0.002456, 0.023724
