t_tm, tm1, tm2, tm3
0.000000, 0.878723, -11.998532, 6.951041
0.020000, 0.829607, -12.100272, 7.034994
0.040000, 1.153700, -12.366871, 7.036365
0.060000, 0.666678, -12.042430, 7.088723
0.080000, 0.387062, -12.032863, 7.249279
0.100000, 0.609080, -12.010183, 7.119438
0.120000, 0.995060, -12.376086, 7.132279
0.140000, 0.582834, -12.037423, 7.136903
0.160000, 0.710875, -12.196678, 7.173231
0.180000, 0.855701, -12.276990, 7.141128
0.200000, 0.908258, -11.962531, 6.903707
0.220000, 0.785468, -12.004341, 6.989944
0.240000, 0.836329, -12.286233, 7.150080
0.260000, 0.648957, -12.239508, 7.241237
0.280000, 0.612478, -12.210688, 7.243316
0.300000, 0.924156, -12.261627, 7.084453
0.320000, 0.420067, -12.025925, 7.228392
0.340000, 0.406397, -12.042109, 7.231877
0.360000, -2.166293, 47.553856, -28.233797
0.380000, 0.920211, -0.857814, 0.204636
0.400000, 4.280070, -61.046215, 35.614151
0.420000, 0.875445, -12.374606, 7.188583
0.440000, 0.981315, -12.041174, 6.915108
0.460000, 0.711586, -12.123107, 7.126305
0.480000, 0.567045, -12.027281, 7.137601
0.500000, 0.866852, -12.018814, 6.954644
0.520000, 0.387828, -11.878762, 7.150685
0.540000, 0.496878, -12.222695, 7.307856
0.560000, 0.601841, -12.189013, 7.234230
0.580000, 0.553794, -11.969332, 7.111086
0.600000, 0.882094, -11.964916, 6.922693
0.620000, 0.765440, -12.432800, 7.284341
0.640000, 0.564627, -11.872883, 7.024420
0.660000, 0.769046, -12.163240, 7.102233
0.680000, 1.017257, -12.223188, 7.030240
0.700000, 0.792144, -12.312922, 7.185497
0.720000, 0.828720, -12.244427, 7.116095
0.740000, 0.570858, -11.992123, 7.101272
0.760000, 0.734621, -12.131125, 7.110921
0.780000, 0.509343, -12.058361, 7.180347
0.800000, 0.785924, -12.364571, 7.233722
0.820000, 0.564862, -12.113150, 7.184093
0.840000, 0.614511, -12.137545, 7.199082
0.860000, 0.669111, -12.118830, 7.141678
0.880000, 0.702524, -12.228550, 7.194547
0.900000, 0.499731, -11.860317, 7.049407
0.920000, 0.679005, -12.318227, 7.271969
0.940000, 0.684478, -12.053311, 7.074597
0.960000, 0.515686, -11.826308, 7.029544
0.980000, 0.600915, -12.280324, 7.264884
1.000000, 0.599968, -12.279644, 7.265407
1.020000, 0.603947, -12.280478, 7.263883
1.040000, 0.605838, -12.277527, 7.261309
1.060000, 0.608529, -12.278689, 7.260586
1.080000, 0.607854, -12.275691, 7.260059
1.100000, 0.609100, -12.276232, 7.258965
1.120000, 0.609591, -12.277665, 7.260576
1.140000, 0.608628, -12.278430, 7.261050
1.159999, 0.611090, -12.278642, 7.259581
1.179999, 0.612472, -12.275312, 7.256138
1.199999, 0.611731, -12.273072, 7.256087
1.219999, 0.609721, -12.270363, 7.255941
1.239999, 0.610291, -12.267194, 7.252819
1.259999, 0.612371, -12.264968, 7.250696
1.279999, 0.614279, -12.261683, 7.247843
1.299999, 0.616899, -12.261929, 7.246984
1.319999, 0.617634, -12.258364, 7.244119
1.339999, 0.617543, -12.256416, 7.243046
1.359999, 0.617403, -12.253577, 7.241198
1.379999, 0.618717, -12.252686, 7.239863
1.399999, 0.620711, -12.253108, 7.239035
1.419999, 0.624502, -12.251171, 7.235487
1.439999, 0.627650, -12.250564, 7.233886
1.459999, 0.624331, -12.248532, 7.233624
1.479999, 0.625635, -12.251325, 7.235676
1.499999, 0.627908, -12.251355, 7.233898
1.519999, 0.629790, -12.250813, 7.233137
1.539999, 0.629559, -12.250017, 7.232820
1.559999, 0.626123, -12.242546, 7.230009
1.579999, 0.628982, -12.242017, 7.227692
1.599999, 0.627506, -12.239667, 7.226070
1.619999, 0.627676, -12.239202, 7.226814
1.639999, 0.629912, -12.239720, 7.226037
1.659999, 0.633229, -12.239670, 7.223820
1.679999, 0.632945, -12.238843, 7.223759
1.699999, 0.631899, -12.237461, 7.223980
1.719999, 0.632172, -12.235412, 7.222498
1.739999, 0.631713, -12.230364, 7.219443
1.759999, 0.632946, -12.232793, 7.221255
1.779999, 0.636435, -12.233280, 7.219769
1.799999, 0.638651, -12.230343, 7.216284
1.819999, 0.641661, -12.230960, 7.215415
1.839999, 0.643683, -12.230968, 7.214370
1.859999, 0.644616, -12.228548, 7.212592
1.879999, 0.645737, -12.225455, 7.209172
1.899999, 0.646425, -12.225005, 7.209113
1.919999, 0.650397, -12.225409, 7.207791
1.939999, 0.649858, -12.225475, 7.207067
1.959999, 0.649448, -12.222704, 7.206523
1.979999, 0.654662, -12.221599, 7.202989
1.999999, 0.651451, -12.222344, 7.204931
2.019999, 0.654458, -12.213993, 7.196972
2.039999, 0.655499, -12.221115, 7.202108
2.059999, 0.656148, -12.222522, 7.202532
2.079999, 0.658118, -12.220880, 7.200767
2.099999, 0.661876, -12.222960, 7.199646
2.119999, 0.664917, -12.223697, 7.199091
2.139999, 0.664424, -12.222001, 7.198297
2.159999, 0.666887, -12.219334, 7.195227
2.179999, 0.667308, -12.218116, 7.193307
2.199999, 0.671567, -12.217126, 7.191008
2.219999, 0.671470, -12.212772, 7.187889
2.239999, 0.670344, -12.212376, 7.188658
2.259999, 0.671054, -12.210820, 7.187826
2.279999, 0.675844, -12.210696, 7.184661
2.299999, 0.677731, -12.210332, 7.183044
2.319999, 0.679041, -12.209583, 7.182905
2.339998, 0.677245, -12.207101, 7.182664
2.359998, 0.678689, -12.205023, 7.180067
2.379998, 0.686058, -12.205760, 7.176946
2.399998, 0.687629, -12.206372, 7.176109
2.419998, 0.687014, -12.209710, 7.178329
2.439998, 0.689515, -12.208327, 7.175502
2.459998, 0.689225, -12.204613, 7.174203
2.479998, 0.690604, -12.205004, 7.173626
2.499998, 0.692014, -12.204509, 7.172870
2.519998, 0.696766, -12.207206, 7.171487
2.539998, 0.699171, -12.210921, 7.172377
2.559998, 0.699987, -12.207938, 7.170284
2.579998, 0.700101, -12.209414, 7.171128
2.599998, 0.701097, -12.209845, 7.171051
2.619998, 0.702087, -12.207993, 7.168916
2.639998, 0.703848, -12.209199, 7.168879
2.659998, 0.703768, -12.207664, 7.167503
2.679998, 0.702664, -12.208868, 7.170146
2.699998, 0.700372, -12.204663, 7.168684
2.719998, 0.696929, -12.201424, 7.168412
2.739998, 0.702964, -12.203250, 7.166293
2.759998, 0.703461, -12.202520, 7.165483
2.779998, 0.705601, -12.201833, 7.163317
2.799998, 0.706445, -12.201771, 7.163280
2.819998, 0.708115, -12.202682, 7.163710
2.839998, 0.711420, -12.203115, 7.162119
2.859998, 0.713798, -12.201184, 7.158866
2.879998, 0.711595, -12.199267, 7.158602
2.899998, 0.712947, -12.197677, 7.156474
2.919998, 0.708967, -12.196532, 7.158195
2.939998, 0.709575, -12.194647, 7.157422
2.959998, 0.710240, -12.193971, 7.156631
2.979998, 0.709817, -12.193714, 7.156347
2.999998, 0.708939, -12.190415, 7.155025
3.019998, 0.705540, -12.187015, 7.154691
3.039998, 0.702938, -12.185915, 7.155399
3.059998, 0.702370, -12.186470, 7.155232
3.079998, 0.702942, -12.184883, 7.154716
3.099998, 0.700769, -12.182793, 7.154310
3.119998, 0.703627, -12.184766, 7.154420
3.139998, 0.701989, -12.183057, 7.153822
3.159998, 0.701413, -12.181004, 7.152727
3.179998, 0.703175, -12.180657, 7.151672
3.199998, 0.705593, -12.180399, 7.150300
3.219998, 0.704499, -12.184855, 7.152811
3.239998, 0.705220, -12.184181, 7.152404
3.259998, 0.703032, -12.181050, 7.151812
3.279998, 0.702721, -12.179358, 7.150688
3.299998, 0.700040, -12.176441, 7.150944
3.319998, 0.701019, -12.176481, 7.150511
3.339998, 0.702741, -12.177361, 7.150250
3.359998, 0.702099, -12.176075, 7.149812
3.379997, 0.701107, -12.176982, 7.150321
3.399997, 0.703416, -12.172412, 7.147060
3.419997, 0.702182, -12.169912, 7.146560
3.439997, 0.701813, -12.171504, 7.147563
3.459997, 0.702352, -12.169610, 7.145432
3.479997, 0.700585, -12.170948, 7.147535
3.499997, 0.700832, -12.168175, 7.145350
3.519997, 0.703286, -12.171719, 7.146220
3.539997, 0.706676, -12.170494, 7.144525
3.559997, 0.709427, -12.171961, 7.143345
3.579997, 0.707810, -12.171584, 7.144159
3.599997, 0.705874, -12.170568, 7.144017
3.619997, 0.705619, -12.163024, 7.136456
3.639997, 0.711726, -12.173731, 7.144070
3.659997, 0.712487, -12.169995, 7.139332
3.679997, 0.709736, -12.171199, 7.143238
3.699997, 0.711106, -12.171932, 7.143348
3.719997, 0.714385, -12.172045, 7.140790
3.739997, 0.716980, -12.172708, 7.140114
3.759997, 0.717249, -12.174482, 7.140910
3.779997, 0.720532, -12.173640, 7.138572
3.799997, 0.716840, -12.173005, 7.139889
3.819997, 0.715600, -12.172036, 7.140467
3.839997, 0.716681, -12.170794, 7.139874
3.859997, 0.719615, -12.170614, 7.146587
3.879997, 0.723359, -12.179722, 7.161596
3.899997, 0.725581, -12.185511, 7.172608
3.919997, 0.727339, -12.184357, 7.180074
3.939997, 0.730200, -12.189288, 7.189828
3.959997, 0.735967, -12.194324, 7.197409
3.979997, 0.742953, -12.197820, 7.205167
3.999997, 0.747272, -12.201138, 7.211895
4.019997, 0.752134, -12.207577, 7.222161
4.039997, 0.755658, -12.212671, 7.232397
4.059997, 0.761390, -12.216317, 7.239225
4.079997, 0.767014, -12.219575, 7.245818
4.099997, 0.768669, -12.224645, 7.255932
4.119997, 0.771288, -12.230066, 7.266701
4.139997, 0.774970, -12.233759, 7.274204
4.159997, 0.780224, -12.240271, 7.284261
4.179997, 0.781327, -12.243004, 7.291853
4.199997, 0.782170, -12.245735, 7.301119
4.219997, 0.786772, -12.250950, 7.309537
4.239997, 0.789786, -12.254152, 7.316401
4.259997, 0.796336, -12.258552, 7.323289
4.279997, 0.803118, -12.263987, 7.330992
4.299997, 0.808950, -12.265860, 7.337071
4.319997, 0.808852, -12.269629, 7.345603
4.339997, 0.812543, -12.272567, 7.352940
4.359997, 0.813496, -12.275425, 7.360269
4.379997, 0.810445, -12.278586, 7.371555
4.399997, 0.812323, -12.279508, 7.377634
4.419997, 0.814733, -12.282163, 7.384693
4.439997, 0.818448, -12.285233, 7.392121
4.459997, 0.819221, -12.290828, 7.400874
4.479997, 0.824026, -12.296129, 7.408006
4.499997, 0.828644, -12.303840, 7.417874
4.519997, 0.830017, -12.307885, 7.425788
4.539997, 0.833537, -12.311129, 7.432493
4.559997, 0.834955, -12.314939, 7.440714
4.579997, 0.840560, -12.317166, 7.445268
4.599997, 0.846609, -12.319342, 7.449250
4.619997, 0.847997, -12.323068, 7.456371
4.639997, 0.853177, -12.329486, 7.464463
4.659997, 0.854695, -12.333161, 7.472238
4.679996, 0.855961, -12.335817, 7.478594
4.699996, 0.856073, -12.339399, 7.487316
4.719996, 0.854303, -12.340728, 7.492995
4.739996, 0.860423, -12.345071, 7.499592
4.759996, 0.861085, -12.350402, 7.508427
4.779996, 0.862608, -12.353919, 7.515238
4.799996, 0.865578, -12.355989, 7.521411
4.819996, 0.864373, -12.357156, 7.529030
4.839996, 0.868595, -12.355021, 7.529605
4.859996, 0.867634, -12.357433, 7.537443
4.879996, 0.867630, -12.359015, 7.543497
4.899996, 0.870499, -12.362665, 7.549288
4.919996, 0.874011, -12.370140, 7.556904
4.939996, 0.875846, -12.368690, 7.561141
4.959996, 0.877144, -12.371859, 7.567332
4.979996, 0.878874, -12.373444, 7.572365
4.999996, 0.881366, -12.377086, 7.578690
5.019996, 0.881698, -12.378871, 7.584274
5.039996, 0.884107, -12.383726, 7.591043
5.059996, 0.890560, -12.387428, 7.595292
5.079996, 0.894072, -12.391367, 7.600202
5.099996, 0.897831, -12.392552, 7.603941
5.119996, 0.896561, -12.396569, 7.611090
5.139996, 0.901355, -12.396837, 7.612624
5.159996, 0.901435, -12.399638, 7.619660
5.179996, 0.904980, -12.402741, 7.624070
5.199996, 0.907409, -12.407389, 7.631176
5.219996, 0.906359, -12.411561, 7.638572
5.239996, 0.903658, -12.406879, 7.641560
5.259996, 0.907874, -12.411060, 7.646399
5.279996, 0.908974, -12.412260, 7.651441
5.299996, 0.910384, -12.412738, 7.655637
5.319996, 0.912318, -12.412014, 7.658255
5.339996, 0.912546, -12.416783, 7.665024
5.359996, 0.913119, -12.419353, 7.671222
5.379996, 0.912367, -12.418214, 7.674228
5.399996, 0.917801, -12.420713, 7.677418
5.419996, 0.919566, -12.422764, 7.682196
5.439996, 0.921404, -12.427941, 7.688275
5.459996, 0.923522, -12.430586, 7.692492
5.479996, 0.926793, -12.430042, 7.695469
5.499996, 0.928726, -12.432292, 7.699244
5.519996, 0.929316, -12.435385, 7.703767
5.539996, 0.928848, -12.439809, 7.712219
5.559996, 0.930524, -12.440672, 7.715859
5.579996, 0.932900, -12.445236, 7.720658
5.599996, 0.939614, -12.451320, 7.723496
5.619996, 0.946260, -12.455194, 7.726765
5.639996, 0.947208, -12.457837, 7.731812
5.659996, 0.950739, -12.464077, 7.737425
5.679996, 0.952694, -12.465586, 7.741118
5.699996, 0.952906, -12.465652, 7.744060
5.719995, 0.957358, -12.467191, 7.746369
5.739995, 0.958203, -12.469548, 7.751328
5.759995, 0.959950, -12.470739, 7.754207
5.779995, 0.965117, -12.471848, 7.755437
5.799995, 0.966395, -12.473228, 7.759521
5.819995, 0.968977, -12.472110, 7.757936
5.839995, 0.972576, -12.478108, 7.765971
5.859995, 0.973379, -12.478954, 7.769287
5.879995, 0.975032, -12.481336, 7.772763
5.899995, 0.977796, -12.484163, 7.776230
5.919995, 0.980222, -12.485723, 7.780445
5.939995, 0.980908, -12.489287, 7.783363
5.959995, 0.983564, -12.492372, 7.788273
5.979995, 0.983522, -12.491921, 7.791713
5.999995, 0.983114, -12.492276, 7.794940
6.019995, 0.986519, -12.494925, 7.797803
6.039995, 0.987018, -12.494875, 7.799980
6.059995, 0.986915, -12.498154, 7.804113
6.079995, 0.986044, -12.496509, 7.807923
6.099995, 0.986341, -12.500703, 7.813308
6.119995, 0.986412, -12.504161, 7.818474
6.139995, 0.986717, -12.506641, 7.822557
6.159995, 0.989200, -12.508595, 7.825646
6.179995, 0.988774, -12.509639, 7.828561
6.199995, 0.990645, -12.510352, 7.832315
6.219995, 0.992369, -12.511769, 7.834632
6.239995, 0.993617, -12.512758, 7.837244
6.259995, 0.995827, -12.511538, 7.837140
6.279995, 1.000033, -12.513417, 7.839231
6.299995, 0.998968, -12.517543, 7.845124
6.319995, 0.999610, -12.519159, 7.847787
6.339995, 0.998224, -12.520015, 7.851942
6.359995, 0.996001, -12.521265, 7.857193
6.379995, 0.999532, -12.525978, 7.860258
6.399995, 0.998653, -12.527040, 7.864014
6.419995, 0.996798, -12.526879, 7.868351
6.439995, 0.995574, -12.523591, 7.868623
6.459995, 0.997056, -12.527470, 7.872675
6.479995, 0.998795, -12.529042, 7.874919
6.499995, 1.000167, -12.532852, 7.879257
6.519995, 0.999587, -12.533211, 7.882169
6.539995, 1.003094, -12.536046, 7.884376
6.559995, 1.003371, -12.539903, 7.889498
6.579995, 1.001825, -12.540257, 7.893259
6.599995, 1.001128, -12.540231, 7.895385
6.619995, 1.002502, -12.540174, 7.897156
6.639995, 1.002715, -12.541211, 7.899521
6.659995, 1.001314, -12.537863, 7.900898
6.679995, 1.003215, -12.538814, 7.901709
6.699995, 1.001597, -12.535117, 7.903275
6.719995, 1.002158, -12.535892, 7.905795
6.739995, 1.004220, -12.540519, 7.909077
6.759995, 1.007879, -12.542892, 7.911045
6.779994, 1.010159, -12.546943, 7.914940
6.799994, 1.012875, -12.548873, 7.916462
6.819994, 1.011434, -12.546927, 7.917007
6.839994, 1.012520, -12.548295, 7.920483
6.859994, 1.011616, -12.550775, 7.924402
6.879994, 1.012490, -12.554397, 7.928375
6.899994, 1.014303, -12.554762, 7.929258
6.919994, 1.017504, -12.556869, 7.930611
6.939994, 1.021444, -12.559853, 7.932926
6.959994, 1.020510, -12.563436, 7.937278
6.979994, 1.022659, -12.567107, 7.940234
6.999994, 1.025984, -12.567412, 7.939692
7.019994, 1.025041, -12.567124, 7.942433
7.039994, 1.028846, -12.568810, 7.942824
7.059994, 1.033587, -12.570699, 7.943836
7.079994, 1.032543, -12.573777, 7.947258
7.099994, 1.032534, -12.575900, 7.950457
7.119994, 1.033656, -12.577089, 7.953539
7.139994, 1.033318, -12.580478, 7.957601
7.159994, 1.035246, -12.580242, 7.957753
7.179994, 1.035803, -12.578445, 7.957233
7.199994, 1.034611, -12.580921, 7.962101
7.219994, 1.032636, -12.579790, 7.963840
7.239994, 1.032712, -12.578433, 7.964645
7.259994, 1.033084, -12.581668, 7.967620
7.279994, 1.033554, -12.584931, 7.971782
7.299994, 1.034176, -12.579381, 7.969767
7.319994, 1.031306, -12.579380, 7.972377
7.339994, 1.032412, -12.578563, 7.972625
7.359994, 1.035546, -12.580683, 7.974145
7.379994, 1.033783, -12.581556, 7.976505
7.399994, 1.034513, -12.582608, 7.977883
7.419994, 1.036254, -12.581021, 7.977340
7.439994, 1.039518, -12.584464, 7.979937
7.459994, 1.039566, -12.586150, 7.982455
7.479994, 1.042237, -12.586780, 7.982699
7.499994, 1.043272, -12.589627, 7.984400
7.519994, 1.042295, -12.588505, 7.986038
7.539994, 1.040315, -12.591806, 7.991965
7.559994, 1.040340, -12.591495, 7.992647
7.579994, 1.040475, -12.593929, 7.995766
7.599994, 1.042112, -12.598981, 7.999388
7.619994, 1.045281, -12.601194, 8.000183
7.639994, 1.046046, -12.602228, 8.002012
7.659994, 1.043520, -12.600912, 8.003881
7.679994, 1.046313, -12.599359, 8.003003
7.699994, 1.047407, -12.599438, 8.003070
7.719994, 1.047224, -12.604836, 8.007517
7.739994, 1.044176, -12.602942, 8.010695
7.759994, 1.044219, -12.600964, 8.009694
7.779994, 1.041456, -12.602770, 8.013884
7.799994, 1.042682, -12.604666, 8.016294
7.819993, 1.042402, -12.605754, 8.018024
7.839993, 1.043020, -12.603193, 8.017819
7.859993, 1.041213, -12.604630, 8.021288
7.879993, 1.040534, -12.608525, 8.024155
7.899993, 1.042297, -12.606438, 8.024478
7.919993, 1.045928, -12.607570, 8.023499
7.939993, 1.047031, -12.609220, 8.025431
7.959993, 1.047104, -12.609478, 8.026135
7.979993, 1.048628, -12.612885, 8.028848
7.999993, 1.050977, -12.613805, 8.029899
8.019994, 1.056456, -12.613210, 8.027220
8.039994, 1.058564, -12.612656, 8.026844
8.059995, 1.058315, -12.611460, 8.027303
8.079995, 1.060029, -12.611940, 8.027955
8.099996, 1.060955, -12.616122, 8.030839
8.119996, 1.058606, -12.612226, 8.031442
8.139997, 1.058551, -12.611835, 8.030857
8.159997, 1.057995, -12.612437, 8.033450
8.179997, 1.060369, -12.612718, 8.032804
8.199998, 1.059088, -12.616532, 8.037786
8.219998, 1.062946, -12.617664, 8.037087
8.239999, 1.061354, -12.618438, 8.039646
8.259999, 1.066018, -12.622293, 8.040336
8.280000, 1.069981, -12.624931, 8.040932
8.300000, 1.068077, -12.625735, 8.043989
8.320001, 1.068336, -12.624527, 8.043515
8.340001, 1.068653, -12.625491, 8.044434
8.360002, 1.068951, -12.624649, 8.045611
8.380002, 1.068744, -12.624138, 8.046400
8.400002, 1.068323, -12.627456, 8.049596
8.420003, 1.065458, -12.630034, 8.053276
8.440003, 1.063521, -12.627594, 8.053333
8.460004, 1.066399, -12.629033, 8.054027
8.480004, 1.065578, -12.630569, 8.056317
8.500005, 1.068303, -12.632711, 8.056992
8.520005, 1.067221, -12.631493, 8.057680
8.540006, 1.068243, -12.629975, 8.057060
8.560006, 1.065020, -12.628919, 8.058768
8.580007, 1.066368, -12.630589, 8.060618
8.600007, 1.068870, -12.629496, 8.059596
8.620008, 1.066735, -12.630659, 8.061749
8.640008, 1.064211, -12.629307, 8.064285
8.660008, 1.064247, -12.629841, 8.064756
8.680009, 1.066485, -12.631326, 8.066027
