t_uk, uk1, uk2, uk3
0.000000, -0.001418, -0.000585, -0.001095
0.020000, -0.002043, -0.001374, -0.000976
0.040000, -0.001492, -0.000561, -0.001380
0.060000, -0.001746, -0.000943, -0.001662
0.080000, -0.001947, -0.000917, -0.001891
0.100000, -0.002244, -0.000520, -0.001246
0.120000, -0.001580, -0.000378, -0.001554
0.140000, -0.001811, -0.000616, -0.001538
0.160000, -0.002063, -0.000804, -0.001432
0.180000, -0.001345, -0.000308, -0.001093
0.200000, -0.001724, -0.001124, -0.001681
0.220000, -0.002019, -0.000836, -0.000885
0.240000, -0.001357, -0.000885, -0.001625
0.260000, -0.001951, -0.001009, -0.001345
0.280000, -0.001551, -0.000858, -0.000660
0.300000, -0.001632, -0.001195, -0.001383
0.320000, -0.001610, -0.001027, -0.001077
0.340000, -0.001998, -0.001560, -0.001181
0.360000, -0.001181, 0.001494, 0.001541
0.380000, 0.004582, 0.004334, 0.002542
0.400000, 0.005628, -0.002720, -0.001353
0.420000, -0.001824, -0.001230, -0.001437
0.440000, -0.002476, -0.000932, -0.000797
0.460000, -0.001838, -0.000840, -0.001729
0.480000, -0.001337, -0.000984, -0.001445
0.500000, -0.001631, -0.001204, -0.001083
0.520000, -0.002109, -0.001058, -0.001871
0.540000, -0.001582, -0.000858, -0.001266
0.560000, -0.000712, -0.000231, -0.001918
0.580000, -0.001353, -0.001257, -0.001315
0.600000, -0.001444, -0.000840, -0.001268
0.620000, -0.001559, -0.001000, -0.001284
0.640000, -0.001164, -0.000928, -0.000772
0.660000, -0.001587, -0.001880, -0.000904
0.680000, -0.001350, -0.001038, -0.000705
0.700000, -0.001876, -0.000424, -0.001403
0.720000, -0.001721, -0.000768, -0.001101
0.740000, -0.001493, -0.000490, -0.001054
0.760000, -0.001512, -0.000634, -0.001258
0.780000, -0.001155, -0.000855, -0.001230
0.800000, -0.001419, -0.001164, -0.000944
0.820000, -0.002158, -0.000407, -0.001795
0.840000, -0.001839, -0.000958, -0.001152
0.860000, -0.001219, -0.000950, -0.000777
0.880000, -0.001837, -0.000701, -0.001447
0.900000, -0.001614, -0.001692, -0.001245
0.920000, -0.001628, -0.000540, -0.001397
0.940000, -0.001511, -0.000863, -0.001050
0.960000, -0.001394, -0.001157, -0.000641
