t1, a_x1, a_y1, a_z1, w_x1, w_y1, w_z1, t2, a_x2, a_y2, a_z2, w_x2, w_y2, w_z2, t3, a_x3, a_y3, a_z3, w_x3, w_y3, w_z3, t4, a_x4, a_y4, a_z4, w_x4, w_y4, w_z4, t5, a_x5, a_y5, a_z5, w_x5, w_y5, w_z5, t6, a_x6, a_y6, a_z6, w_x6, w_y6, w_z6
 0.020000, -8889.000000, -9270.000000, 2641.000000, -70.000000, 137.000000, 11.000000, 0.020000, -8970.000000, -9523.000000, -6726.000000, -258.000000, 205.000000, -8.000000, 0.020000, -9190.000000, -9359.000000, -8439.000000, -55.000000, 174.000000, 79.000000, 0.020000, -9508.000000, -8941.000000, -8857.000000, 16.000000, 66.000000, -81.000000, 0.020000, -9147.000000, -9518.000000, -8619.000000, -94.000000, 94.000000, 188.000000, 0.020000, -9116.000000, -9614.000000, -7104.000000, 26.000000, 102.000000, 106.000000
0.040000, -8881.000000, -9276.000000, 2658.000000, -59.000000, 135.000000, 7.000000, 0.040000, -8989.000000, -9526.000000, -6707.000000, -258.000000, 215.000000, -7.000000, 0.040000, -9208.000000, -9329.000000, -8465.000000, -56.000000, 170.000000, 81.000000, 0.040000, -9506.000000, -8936.000000, -8835.000000, 23.000000, 70.000000, -84.000000, 0.040000, -9139.000000, -9553.000000, -8600.000000, -86.000000, 95.000000, 194.000000, 0.040000, -9131.000000, -9624.000000, -7103.000000, 28.000000, 96.000000, 102.000000
0.060000, -8885.000000, -9279.000000, 2621.000000, -69.000000, 140.000000, 11.000000, 0.060000, -8970.000000, -9521.000000, -6685.000000, -254.000000, 211.000000, -8.000000, 0.060000, -9177.000000, -9330.000000, -8475.000000, -49.000000, 166.000000, 79.000000, 0.060000, -9484.000000, -8942.000000, -8811.000000, 20.000000, 57.000000, -96.000000, 0.060000, -9148.000000, -9516.000000, -8597.000000, -85.000000, 92.000000, 204.000000, 0.060000, -9109.000000, -9628.000000, -7126.000000, 34.000000, 95.000000, 109.000000
0.080000, -8888.000000, -9289.000000, 2623.000000, -72.000000, 141.000000, 16.000000, 0.080000, -8981.000000, -9520.000000, -6688.000000, -264.000000, 216.000000, 5.000000, 0.080000, -9199.000000, -9362.000000, -8421.000000, -55.000000, 172.000000, 75.000000, 0.080000, -9478.000000, -8943.000000, -8818.000000, 27.000000, 68.000000, -98.000000, 0.080000, -9146.000000, -9503.000000, -8600.000000, -88.000000, 87.000000, 200.000000, 0.080000, -9131.000000, -9659.000000, -7136.000000, 29.000000, 97.000000, 105.000000
0.100000, -8869.000000, -9292.000000, 2627.000000, -56.000000, 137.000000, 15.000000, 0.100000, -8987.000000, -9550.000000, -6673.000000, -255.000000, 222.000000, 2.000000, 0.100000, -9164.000000, -9382.000000, -8414.000000, -55.000000, 175.000000, 74.000000, 0.100000, -9483.000000, -8934.000000, -8826.000000, 19.000000, 63.000000, -109.000000, 0.100000, -9130.000000, -9530.000000, -8612.000000, -92.000000, 90.000000, 190.000000, 0.100000, -9144.000000, -9617.000000, -7150.000000, 32.000000, 102.000000, 106.000000
0.120000, -8874.000000, -9280.000000, 2647.000000, -63.000000, 149.000000, 14.000000, 0.120000, -8994.000000, -9531.000000, -6684.000000, -260.000000, 204.000000, -11.000000, 0.120000, -9188.000000, -9371.000000, -8438.000000, -58.000000, 174.000000, 76.000000, 0.120000, -9482.000000, -8943.000000, -8851.000000, 25.000000, 70.000000, -99.000000, 0.120000, -9154.000000, -9537.000000, -8589.000000, -95.000000, 98.000000, 190.000000, 0.120000, -9148.000000, -9624.000000, -7136.000000, 27.000000, 88.000000, 108.000000
0.140000, -8840.000000, -9280.000000, 2638.000000, -71.000000, 134.000000, 15.000000, 0.140000, -8966.000000, -9520.000000, -6680.000000, -251.000000, 212.000000, -5.000000, 0.140000, -9192.000000, -9350.000000, -8488.000000, -53.000000, 176.000000, 81.000000, 0.140000, -9504.000000, -8957.000000, -8828.000000, 17.000000, 66.000000, -84.000000, 0.140000, -9124.000000, -9535.000000, -8610.000000, -88.000000, 91.000000, 185.000000, 0.140000, -9127.000000, -9627.000000, -7107.000000, 32.000000, 95.000000, 106.000000
0.160000, -8876.000000, -9265.000000, 2679.000000, -73.000000, 137.000000, 16.000000, 0.160000, -9008.000000, -9529.000000, -6685.000000, -257.000000, 219.000000, 7.000000, 0.160000, -9193.000000, -9348.000000, -8435.000000, -43.000000, 178.000000, 74.000000, 0.160000, -9501.000000, -8976.000000, -8830.000000, 15.000000, 69.000000, -95.000000, 0.160000, -9130.000000, -9529.000000, -8615.000000, -85.000000, 96.000000, 186.000000, 0.160000, -9130.000000, -9633.000000, -7147.000000, 28.000000, 107.000000, 106.000000
0.180000, -8867.000000, -9272.000000, 2632.000000, -63.000000, 148.000000, 12.000000, 0.180000, -8975.000000, -9532.000000, -6691.000000, -253.000000, 216.000000, -12.000000, 0.180000, -9199.000000, -9328.000000, -8481.000000, -48.000000, 182.000000, 78.000000, 0.180000, -9472.000000, -8970.000000, -8822.000000, 20.000000, 64.000000, -102.000000, 0.180000, -9128.000000, -9517.000000, -8581.000000, -92.000000, 85.000000, 185.000000, 0.180000, -9107.000000, -9645.000000, -7131.000000, 27.000000, 101.000000, 113.000000
0.200000, -8864.000000, -9299.000000, 2681.000000, -70.000000, 143.000000, 20.000000, 0.200000, -8972.000000, -9526.000000, -6715.000000, -263.000000, 214.000000, -4.000000, 0.200000, -9200.000000, -9328.000000, -8451.000000, -51.000000, 170.000000, 65.000000, 0.200000, -9475.000000, -8949.000000, -8819.000000, 22.000000, 70.000000, -99.000000, 0.200000, -9136.000000, -9518.000000, -8612.000000, -90.000000, 94.000000, 196.000000, 0.200000, -9106.000000, -9613.000000, -7150.000000, 19.000000, 95.000000, 118.000000
0.220000, -8881.000000, -9296.000000, 2637.000000, -62.000000, 132.000000, 11.000000, 0.220000, -8985.000000, -9536.000000, -6702.000000, -254.000000, 220.000000, -9.000000, 0.220000, -9180.000000, -9345.000000, -8453.000000, -69.000000, 181.000000, 66.000000, 0.220000, -9482.000000, -8935.000000, -8859.000000, 15.000000, 57.000000, -99.000000, 0.220000, -9144.000000, -9557.000000, -8625.000000, -95.000000, 81.000000, 186.000000, 0.220000, -9137.000000, -9645.000000, -7158.000000, 23.000000, 97.000000, 113.000000
0.240000, -8869.000000, -9276.000000, 2630.000000, -56.000000, 132.000000, 30.000000, 0.240000, -8984.000000, -9514.000000, -6704.000000, -251.000000, 214.000000, -10.000000, 0.240000, -9192.000000, -9346.000000, -8459.000000, -66.000000, 175.000000, 80.000000, 0.240000, -9488.000000, -8939.000000, -8847.000000, 21.000000, 63.000000, -103.000000, 0.240000, -9146.000000, -9512.000000, -8575.000000, -98.000000, 96.000000, 177.000000, 0.240000, -9132.000000, -9634.000000, -7138.000000, 17.000000, 89.000000, 113.000000
