t, phi, uk, ur, tm
0.000000, 0.028835, 0.000047, 0.815673, 0.124368
0.020000, 0.042593, -0.003184, 0.812442, 0.181418
0.040000, 0.056697, -0.000508, 0.815118, 0.242910
0.060000, 0.069000, 0.000397, 13.591047, 0.317315
0.080000, 0.081729, 0.000320, 21.766994, 0.385307
0.100000, 0.094270, -0.002871, 29.428783, 0.450074
0.120000, 0.106538, 0.000655, 35.564327, 0.514474
0.140000, 0.118984, 0.000739, 43.229389, 0.580481
0.160000, 0.130859, 0.000497, 54.471153, 0.649904
0.180000, 0.140125, -0.000390, 61.113270, 0.700146
0.200000, 0.151661, -0.000650, 65.712013, 0.756944
0.220000, 0.123107, -0.844255, -0.028628, 0.102360
0.240000, 0.107128, -0.832782, -0.528143, 0.039115
0.260000, 0.089760, -0.850937, 4.563689, -0.035480
0.280000, 0.075004, -0.777609, 7.703056, -0.056429
0.300000, 0.062128, -0.645671, 8.345981, -0.044212
0.320000, 0.052498, -0.508700, 2.861980, -0.025939
0.340000, 0.046076, -0.352222, 2.507472, 0.024403
0.360000, 0.043639, -0.199794, 2.659900, 0.090571
0.380000, 0.042811, -0.078638, 1.248096, 0.145312
0.400000, 0.044191, 0.000242, 8.480907, 0.202840
0.420000, 0.045722, 0.058516, 14.671139, 0.248947
0.440000, 0.047732, 0.119083, 21.374773, 0.299110
0.460000, 0.052414, 0.178096, 32.675789, 0.367617
0.480000, 0.056400, 0.239659, 38.869312, 0.425847
0.500000, 0.062252, 0.301675, 48.129326, 0.497415
0.520000, 0.069877, 0.361502, 50.233158, 0.563418
0.540000, 0.077310, 0.434228, 58.992897, 0.646250
0.560000, 0.086995, 0.526388, 60.618076, 0.736419
0.580000, 0.099452, 0.635578, 70.436256, 0.860711
0.600000, 0.113888, 0.740884, 77.184563, 0.986333
0.620000, 0.130798, 0.859447, 83.946136, 1.129168
0.640000, 0.151281, 1.016162, 91.767830, 1.308117
0.660000, 0.126967, -0.683547, 87.002136, 0.345588
0.680000, 0.114234, -0.700563, 93.117142, 0.293050
0.700000, 0.099103, -0.743486, 95.629211, 0.211258
0.720000, 0.082625, -0.813520, 103.735146, 0.119558
0.740000, 0.066387, -0.871000, 110.320671, 0.032607
0.760000, 0.048782, -0.874765, 116.448921, -0.034056
0.780000, 0.031564, -0.828659, 112.917999, -0.090343
0.800000, 0.017004, -0.661417, 111.041237, -0.071877
0.820000, 0.004270, -0.527916, 108.108757, -0.064287
0.840000, -0.003394, -0.425170, 109.744522, -0.042786
0.860000, -0.009445, -0.330214, 111.883484, -0.017465
0.880000, -0.015075, -0.280113, 106.823540, -0.024902
0.900000, -0.018802, -0.201843, 108.945816, 0.001949
0.920000, -0.022012, -0.158103, 108.989555, 0.010229
0.940000, -0.024618, -0.121622, 107.493080, 0.014858
0.960000, -0.025626, -0.060952, 107.042702, 0.040171
0.980000, -0.026498, -0.043280, 104.505379, 0.041035
1.000000, -0.025949, -0.002393, 106.079292, 0.066487
1.020000, -0.025443, 0.040062, 109.187721, 0.095124
1.040000, -0.024552, 0.051871, 107.666573, 0.102276
1.060000, -0.021627, 0.100178, 106.692848, 0.137296
1.080000, -0.019176, 0.128249, 106.720917, 0.161849
1.100000, -0.015628, 0.147996, 107.251648, 0.187755
1.120000, -0.011674, 0.202951, 106.795616, 0.231359
1.140000, -0.007712, 0.226654, 104.264328, 0.255868
1.160000, -0.002326, 0.264025, 103.790718, 0.296745
1.180000, 0.004070, 0.326874, 106.919540, 0.360747
1.200000, 0.011733, 0.360060, 106.441742, 0.409235
1.220000, 0.020158, 0.426719, 104.464394, 0.475206
1.240000, 0.030093, 0.507052, 107.610710, 0.563081
1.260000, 0.040981, 0.569287, 107.161957, 0.639909
1.280000, 0.054851, 0.679137, 104.716812, 0.749940
1.300000, 0.070516, 0.794268, 105.342934, 0.875429
1.320000, 0.089194, 0.910661, 105.459320, 1.013546
1.340000, 0.111329, 1.083385, 105.121063, 1.193833
1.360000, 0.135615, 1.264813, 100.192505, 1.379938
1.380000, 0.164363, 1.463729, 102.435425, 1.605882
1.400000, 0.120542, -1.214960, 92.602745, 0.061596
1.420000, 0.093091, -1.333843, 91.972816, -0.116045
1.440000, 0.067434, -1.313793, 93.014900, -0.213674
1.460000, 0.042375, -1.204429, 88.525261, -0.273348
1.480000, 0.019340, -1.074465, 77.924210, -0.324352
1.500000, 0.002731, -0.889186, 68.911491, -0.317592
1.520000, -0.010493, -0.686426, 63.493275, -0.281601
1.540000, -0.020693, -0.472179, 55.020512, -0.232104
1.560000, -0.027072, -0.241506, 49.630150, -0.152900
1.580000, -0.028284, -0.015165, 40.147507, -0.060713
1.600000, -0.026067, 0.119711, 34.661411, 0.007032
1.620000, -0.025170, 0.054878, 33.574543, -0.023422
1.640000, -0.027488, -0.158113, 34.383587, -0.138564
1.660000, -0.036164, -0.404991, 30.048697, -0.306433
1.680000, -0.049463, -0.646317, 23.675352, -0.494666
1.700000, -0.068562, -0.863723, 15.281981, -0.699056
1.720000, -0.088857, -1.019256, 10.527449, -0.871458
1.740000, -0.110910, -1.126464, 7.354201, -1.024507
1.760000, -0.135207, -1.193372, 2.688295, -1.169464
1.780000, -0.160329, -1.241606, -5.024979, -1.313715
1.800000, -0.126481, 0.915342, 1.219982, -0.079158
1.820000, -0.107814, 0.927336, 1.742962, 0.007334
1.840000, -0.088215, 0.940020, 1.244660, 0.096427
1.860000, -0.069278, 0.867745, 1.683372, 0.141747
1.880000, -0.053265, 0.751804, 1.567431, 0.151808
1.900000, -0.039545, 0.648635, 5.041288, 0.164517
1.920000, -0.027615, 0.550928, 16.185646, 0.185219
1.940000, -0.019460, 0.422785, 25.255440, 0.171105
1.960000, -0.014919, 0.276467, 32.774162, 0.129871
1.980000, -0.010838, 0.137025, 40.299698, 0.090126
2.000000, -0.007314, 0.011626, 45.284283, 0.050762
2.020000, -0.007111, -0.078185, 50.304520, 0.015112
2.040000, -0.008634, -0.121464, 55.371223, -0.004527
2.060000, -0.010526, -0.133681, 51.270996, -0.025605
2.080000, -0.012103, -0.129432, 51.786232, -0.029338
2.100000, -0.013802, -0.118721, 48.219975, -0.037217
2.120000, -0.015508, -0.103869, 48.234829, -0.037034
2.140000, -0.016221, -0.079554, 40.083118, -0.041607
2.160000, -0.016301, -0.053021, 41.131683, -0.026905
2.180000, -0.015918, -0.032414, 40.130257, -0.016639
2.200000, -0.016921, -0.027515, 38.091152, -0.021895
2.220000, -0.017078, -0.030784, 40.642876, -0.019910
2.240000, -0.016419, -0.035603, 37.572075, -0.024674
2.260000, -0.015538, -0.038523, 32.459171, -0.030975
2.280000, -0.015950, -0.034486, 35.529186, -0.025549
2.300000, -0.016015, -0.028672, 32.980007, -0.027203
2.320000, -0.015483, -0.024311, 31.962397, -0.024459
2.340000, -0.014789, -0.023588, 28.897079, -0.026292
2.360000, -0.014658, -0.022695, 29.408958, -0.024426
2.380000, -0.015031, -0.024417, 26.852243, -0.031178
2.400000, -0.014482, -0.026967, 23.783716, -0.035272
