t, phi, uk, ur, tm
0.000000, 0.028721, -0.000230, 0.815396, 0.123741
0.020000, 0.042955, -0.003152, 1.323582, 0.183839
0.040000, 0.056493, 0.000367, 1.327102, 0.243340
0.060000, 0.069135, 0.000902, 14.102538, 0.319000
0.080000, 0.080741, 0.000249, 22.277912, 0.381917
0.100000, 0.091941, 0.000968, 29.943668, 0.442928
0.120000, 0.104197, 0.001118, 37.097809, 0.507301
0.140000, 0.116381, 0.000174, 42.717838, 0.568238
0.160000, 0.127953, 0.001109, 46.806786, 0.624931
0.180000, 0.139513, -0.000205, 61.113457, 0.697629
0.200000, 0.151433, 0.000140, 65.201820, 0.755511
0.220000, 0.145283, -0.197423, 0.107217, 0.520945
0.240000, 0.140238, -0.274152, 0.541474, 0.461752
0.260000, 0.132473, -0.366739, -0.062099, 0.381276
0.280000, 0.125566, -0.421742, 13.679894, 0.347388
0.300000, 0.116297, -0.453806, 21.312870, 0.304645
0.320000, 0.104217, -0.487940, 28.432728, 0.248011
0.340000, 0.094257, -0.509854, 34.031845, 0.203976
0.360000, 0.085902, -0.492984, 44.268688, 0.194001
0.380000, 0.077346, -0.434265, 49.948437, 0.196457
0.400000, 0.070483, -0.365744, 57.170952, 0.213632
0.420000, 0.064776, -0.300260, 61.324448, 0.229055
0.440000, 0.061243, -0.233243, 69.056450, 0.260534
0.460000, 0.057646, -0.175449, 75.246262, 0.284530
0.480000, 0.054658, -0.144978, 81.408691, 0.297403
0.500000, 0.052388, -0.112379, 88.084290, 0.315264
0.520000, 0.052183, -0.061270, 93.245384, 0.348650
0.540000, 0.051413, -0.038930, 104.509735, 0.375485
0.560000, 0.052396, -0.018856, 107.595848, 0.394914
0.580000, 0.054427, 0.028283, 113.774940, 0.437561
0.600000, 0.054622, 0.032998, 118.378654, 0.448495
0.620000, 0.057378, 0.077853, 129.154526, 0.500818
0.640000, 0.056953, 0.090653, 136.832306, 0.518324
0.660000, 0.060305, 0.125024, 152.707672, 0.576515
0.680000, 0.061438, 0.146815, 147.619476, 0.583699
0.700000, 0.065715, 0.183270, 155.831955, 0.633994
0.720000, 0.068597, 0.203298, 159.428955, 0.662360
0.740000, 0.074218, 0.259671, 168.683319, 0.730108
0.760000, 0.079789, 0.272447, 174.828125, 0.770592
0.780000, 0.085921, 0.346314, 182.055984, 0.845871
0.800000, 0.094929, 0.384647, 184.138321, 0.906978
0.820000, 0.102147, 0.440917, 195.947586, 0.985781
0.840000, 0.114063, 0.537406, 199.621094, 1.091078
0.860000, 0.124840, 0.606667, 205.822311, 1.182135
0.880000, 0.135462, 0.698459, 209.491135, 1.279551
0.900000, 0.151853, 0.835877, 210.139542, 1.419329
0.920000, 0.131564, -0.607165, 7.873501, 0.270390
0.940000, 0.122492, -0.495772, 1.341949, 0.276480
0.960000, 0.112918, -0.441452, 5.484282, 0.269807
0.980000, 0.103344, -0.367360, 12.712304, 0.278215
1.000000, 0.097475, -0.296197, 21.981464, 0.304392
1.020000, 0.091756, -0.233260, 27.665434, 0.321061
1.040000, 0.088597, -0.179954, 38.960747, 0.353265
1.060000, 0.086586, -0.129733, 43.098919, 0.376786
1.080000, 0.085143, -0.080965, 48.768719, 0.404574
1.100000, 0.083066, -0.032156, 55.971519, 0.432262
1.120000, 0.080723, 0.012392, 61.637100, 0.454095
1.140000, 0.082564, 0.041019, 70.352684, 0.490926
1.160000, 0.083347, 0.068249, 75.489960, 0.516535
1.180000, 0.085818, 0.117397, 83.204086, 0.564646
1.200000, 0.089107, 0.161861, 87.336563, 0.607878
1.220000, 0.088367, 0.182132, 96.554832, 0.630368
1.240000, 0.092267, 0.231698, 102.225365, 0.681346
1.260000, 0.099114, 0.288780, 110.969460, 0.753820
1.280000, 0.109067, 0.319395, 113.044083, 0.815078
1.300000, 0.119608, 0.399635, 120.789299, 0.913222
1.320000, 0.128221, 0.451880, 128.506577, 0.989078
1.340000, 0.139422, 0.534292, 136.253967, 1.091128
1.360000, 0.146946, 0.623762, 138.387436, 1.171586
1.380000, 0.160665, 0.725645, 148.709290, 1.298449
1.400000, 0.137388, -0.480396, 10.555323, 0.363194
