t, phi2, phi3
0.000000, -0.575903, 0.773706
0.020000, -0.575895, 0.773744
0.040000, -0.575864, 0.773771
0.060000, -0.575859, 0.773796
0.080000, -0.575833, 0.773841
0.100000, -0.575836, 0.773849
0.120000, -0.575804, 0.773898
0.140000, -0.575797, 0.773940
0.160000, -0.575764, 0.773955
0.180000, -0.575742, 0.773966
0.200000, -0.575725, 0.774020
0.220000, -0.575714, 0.774062
0.240000, -0.575709, 0.774111
0.260000, -0.575715, 0.774162
0.280000, -0.575698, 0.774197
0.300000, -0.575681, 0.774256
0.320000, -0.575674, 0.774282
0.340000, -0.575679, 0.774322
0.360000, -0.575694, 0.774345
0.380000, -0.575684, 0.774370
0.400000, -0.575682, 0.774392
0.420000, -0.575674, 0.774423
0.440000, -0.575661, 0.774432
0.460000, -0.575653, 0.774445
0.480000, -0.575660, 0.774465
0.500000, -0.575655, 0.774492
0.520000, -0.575655, 0.774517
0.540000, -0.575639, 0.774563
0.560000, -0.575633, 0.774585
0.580000, -0.575630, 0.774624
0.600000, -0.575622, 0.774647
0.620000, -0.575634, 0.774661
0.640000, -0.575621, 0.774685
0.660000, -0.575621, 0.774687
0.680000, -0.575627, 0.774724
0.700000, -0.575627, 0.774755
0.720000, -0.575672, 0.774797
0.740000, -0.575676, 0.774828
0.760000, -0.575675, 0.774853
0.780000, -0.575667, 0.774828
0.800000, -0.575662, 0.774834
0.820000, -0.575650, 0.774799
0.840000, -0.575661, 0.774806
0.860000, -0.575646, 0.774784
0.880000, -0.575662, 0.774826
0.900000, -0.575633, 0.774854
0.920000, -0.575637, 0.774886
0.940000, -0.575612, 0.774936
0.960000, -0.575617, 0.774928
0.980000, -0.575627, 0.774956
1.000000, -0.575637, 0.774963
1.020000, -0.575639, 0.774943
1.040000, -0.575634, 0.774935
1.060000, -0.575636, 0.774984
1.080000, -0.575632, 0.775020
1.100000, -0.575626, 0.775014
1.120000, -0.575621, 0.775064
1.140000, -0.575663, 0.775100
1.159999, -0.575661, 0.775115
1.179999, -0.575639, 0.775137
1.199999, -0.575624, 0.775150
1.219999, -0.575631, 0.775180
1.239999, -0.575622, 0.775196
1.259999, -0.575621, 0.775182
1.279999, -0.575623, 0.775198
1.299999, -0.575608, 0.775246
1.319999, -0.575615, 0.775264
1.339999, -0.575607, 0.775265
1.359999, -0.575594, 0.775269
1.379999, -0.575614, 0.775308
1.399999, -0.575617, 0.775334
1.419999, -0.575621, 0.775343
1.439999, -0.575613, 0.775367
1.459999, -0.575620, 0.775384
1.479999, -0.575619, 0.775380
1.499999, -0.575625, 0.775375
1.519999, -0.575639, 0.775394
1.539999, -0.575652, 0.775412
1.559999, -0.575629, 0.775411
1.579999, -0.575638, 0.775414
1.599999, -0.575645, 0.775452
1.619999, -0.575656, 0.775457
1.639999, -0.575666, 0.775463
1.659999, -0.575671, 0.775463
1.679999, -0.575685, 0.775485
1.699999, -0.575698, 0.775488
1.719999, -0.575691, 0.775479
1.739999, -0.575697, 0.775453
1.759999, -0.575695, 0.775471
1.779999, -0.575692, 0.775464
1.799999, -0.575693, 0.775470
1.819999, -0.575692, 0.775495
1.839999, -0.575714, 0.775446
1.859999, -0.575685, 0.775383
1.879999, -0.575656, 0.775478
1.899999, -0.575734, 0.775496
1.919999, -0.575646, 0.775469
1.939999, -0.575682, 0.775447
1.959999, -0.575646, 0.775397
1.979999, -0.575717, 0.775544
1.999999, -0.575644, 0.775454
2.019999, -0.575664, 0.775497
2.039999, -0.575640, 0.775552
2.059999, -0.575690, 0.775515
2.079999, -0.575637, 0.775510
2.099999, -0.575894, 0.775665
2.119999, -0.575494, 0.775438
2.139999, -0.575442, 0.775445
2.159999, -0.575472, 0.775666
2.179999, -0.575446, 0.775679
2.199999, -0.575478, 0.775867
2.219999, -0.575902, 0.775884
2.239999, -0.575949, 0.774737
2.259999, -0.574423, 0.772059
2.279999, -0.571763, 0.769293
2.299999, -0.569638, 0.767015
2.319999, -0.568393, 0.764903
2.339998, -0.566505, 0.760905
2.359998, -0.563486, 0.755476
2.379998, -0.558066, 0.748405
2.399998, -0.551507, 0.740359
2.419998, -0.543648, 0.729802
2.439998, -0.532980, 0.716820
2.459998, -0.518741, 0.700770
2.479998, -0.501461, 0.681809
2.499998, -0.481566, 0.659933
2.519998, -0.459543, 0.635667
2.539998, -0.435677, 0.609657
2.559998, -0.411220, 0.581553
2.579998, -0.387343, 0.551573
2.599998, -0.364061, 0.519563
2.619998, -0.341429, 0.486169
2.639998, -0.319496, 0.452164
2.659998, -0.298556, 0.417465
2.679998, -0.278710, 0.382815
2.699998, -0.260088, 0.349198
2.719998, -0.242580, 0.316502
2.739998, -0.225374, 0.284207
2.759998, -0.207557, 0.252654
2.779998, -0.189272, 0.221833
2.799998, -0.171632, 0.192080
2.819998, -0.155469, 0.163122
2.839998, -0.140573, 0.134933
2.859998, -0.126809, 0.107747
2.879998, -0.114435, 0.082130
2.899998, -0.103915, 0.058118
2.919998, -0.094338, 0.035356
2.939998, -0.085460, 0.014662
2.959998, -0.077170, -0.003961
2.979998, -0.069648, -0.021053
2.999998, -0.063396, -0.036536
3.019998, -0.058574, -0.051203
3.039998, -0.055081, -0.064456
3.059998, -0.052071, -0.075949
3.079998, -0.048808, -0.085364
3.099998, -0.045340, -0.092197
3.119998, -0.041780, -0.097174
3.139998, -0.038093, -0.100748
3.159998, -0.034702, -0.103102
3.179998, -0.032372, -0.104555
3.199998, -0.030978, -0.106412
3.219998, -0.030706, -0.108077
3.239998, -0.031538, -0.108704
3.259998, -0.032922, -0.108611
3.279998, -0.034447, -0.108277
3.299998, -0.035916, -0.107787
3.319998, -0.037348, -0.106844
3.339998, -0.038214, -0.106006
3.359998, -0.038449, -0.104558
3.379997, -0.037897, -0.102615
3.399997, -0.036537, -0.100641
3.419997, -0.034954, -0.098280
3.439997, -0.033288, -0.095888
3.459997, -0.031627, -0.092983
3.479997, -0.029654, -0.089914
3.499997, -0.027348, -0.086439
3.519997, -0.024612, -0.082779
3.539997, -0.021806, -0.078692
3.559997, -0.018787, -0.074992
3.579997, -0.016243, -0.071032
3.599997, -0.014443, -0.067110
3.619997, -0.013043, -0.063981
3.639997, -0.012192, -0.061013
3.659997, -0.011838, -0.058341
3.679997, -0.011987, -0.056097
3.699997, -0.012580, -0.054408
3.719997, -0.013743, -0.052758
3.739997, -0.015179, -0.051264
3.759997, -0.016591, -0.050013
3.779997, -0.018020, -0.048544
3.799997, -0.019100, -0.047308
3.819997, -0.019785, -0.046095
3.839997, -0.020270, -0.044581
3.859997, -0.020615, -0.043102
3.879997, -0.021016, -0.041668
3.899997, -0.021360, -0.040876
3.919997, -0.021667, -0.040359
3.939997, -0.022057, -0.039409
3.959997, -0.022210, -0.038726
3.979997, -0.022060, -0.038380
3.999997, -0.021756, -0.037814
4.019997, -0.021331, -0.037024
4.039997, -0.020670, -0.036522
4.059997, -0.020247, -0.035482
4.079997, -0.019644, -0.034678
4.099997, -0.018990, -0.033723
4.119997, -0.018171, -0.032708
4.139997, -0.017094, -0.031815
4.159997, -0.015754, -0.030860
4.179997, -0.014221, -0.029924
4.199997, -0.012722, -0.028800
4.219997, -0.011254, -0.027662
4.239997, -0.009717, -0.026716
4.259997, -0.008285, -0.025619
4.279997, -0.006859, -0.024697
4.299997, -0.005481, -0.023731
4.319997, -0.004072, -0.022917
4.339997, -0.002792, -0.021911
4.359997, -0.001488, -0.020997
4.379997, -0.000406, -0.019861
4.399997, 0.000617, -0.018959
4.419997, 0.001632, -0.018287
4.439997, 0.002299, -0.017230
4.459997, 0.002410, -0.015355
4.479997, 0.003083, -0.014373
4.499997, 0.003443, -0.012733
4.519997, 0.003885, -0.011415
4.539997, 0.004231, -0.010299
4.559997, 0.003961, -0.009072
4.579997, 0.003622, -0.008276
4.599997, 0.003529, -0.007473
4.619997, 0.003180, -0.004542
4.639997, 0.003628, -0.001751
4.659997, 0.003964, 0.002353
4.679996, 0.004275, 0.006742
4.699996, 0.004313, 0.011202
4.719996, 0.004562, 0.015737
4.739996, 0.004489, 0.020494
