t, a_x, a_y, a_z, w_x, w_y, w_z
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.020000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.040000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.060000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.080000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.120000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.140000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.160000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.180000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.200000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.220000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.240000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.260000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.280000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.300000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.320000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.340000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.360000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.380000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.400000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.420000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.460000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.480000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.520000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.540000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.560000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.580000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.600000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.620000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.640000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.660000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.680000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.700000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.720000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.740000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.760000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.780000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.800000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.820000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.840000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.860000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.880000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.900000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.920000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.940000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.960000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.980000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.020000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.040000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.060000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.080000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.120000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.140000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.159999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.179999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.199999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.219999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.239999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.259999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.279999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.299999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.319999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.339999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.359999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.379999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.399999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.419999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.439999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.459999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.479999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.499999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.519999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.539999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.559999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.579999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.599999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.619999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.639999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.659999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.679999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.699999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.719999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.739999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.759999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.779999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.799999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.819999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.839999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.859999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.879999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.899999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.919999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.939999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.959999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.979999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1.999999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.019999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.039999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.059999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.079999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.099999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.119999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.139999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.159999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.179999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.199999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.219999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.239999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.259999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.279999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.299999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.319999, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.339998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.359998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.379998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.399998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.419998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.439998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.459998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.479998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.499998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.519998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.539998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.559998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.579998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.599998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.619998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.639998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.659998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.679998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.699998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.719998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2.739998, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
